Tiempo,Escalas(m),Datos1(°)
2019-11-28 00:16:56,2958.0,0.7000000000000001
2019-11-28 00:17:46,1793.6,0.8
2019-11-28 00:18:36,1793.4,0.925
2019-11-28 00:19:26,1793.9,1.05
2019-11-28 00:20:15,1793.3,1.175
2019-11-28 00:22:47,1794.0,1.3
2019-11-28 00:24:55,1794.4,0.0
2019-11-28 00:29:28,1794.1,-0.4
2019-11-28 00:31:55,1794.1,0.9
2019-11-28 00:34:03,1794.6,0.4
2019-11-28 00:36:09,1794.9,0.8
2019-11-28 00:38:35,1795.3,-0.3
2019-11-28 00:41:02,1794.5,0.9
2019-11-28 00:42:50,1795.6,104.1
2019-11-28 00:51:03,1795.1,-0.1
2019-11-28 00:53:29,1794.8,0.6
2019-11-28 00:55:36,1794.5,0.9
2019-11-28 00:59:33,1794.4,0.6
2019-11-28 01:03:48,1794.8,0.8
2019-11-28 01:10:10,1794.6,0.0
2019-11-28 01:14:26,1794.8,0.0
2019-11-28 01:18:24,1673.8,34.56666666666667
2019-11-28 01:22:19,1268.2,69.13333333333334
2019-11-28 01:26:52,1795.4,103.7
2019-11-28 01:28:41,1795.5,1.0
2019-11-28 01:31:07,1795.5,0.20000000000000007
2019-11-28 01:33:33,1796.4,-0.5999999999999999
2019-11-28 01:35:23,1795.5,-1.4
2019-11-28 01:39:39,1795.2,-0.1
2019-11-28 01:42:06,1795.2,0.7
2019-11-28 01:46:05,1149.8,16.771428571428572
2019-11-28 01:48:30,984.6,32.84285714285715
2019-11-28 01:53:04,1795.1,48.914285714285725
