Tiempo,Escalas(m),Datos1(m)
2019-11-28 22:33:07,1691.4,105.3
2019-11-28 22:36:44,1691.6,105.6
2019-11-28 22:38:53,1692.2,106.7
2019-11-28 22:41:00,1691.3,101.7
2019-11-28 22:43:27,1691.7,103.6
2019-11-28 22:49:30,1290.6,106.15
2019-11-28 22:55:00,1692.4,108.7
2019-11-28 22:57:08,1691.7,107.0
2019-11-28 23:01:22,1691.8,102.1
2019-11-28 23:03:31,1692.1,105.8
2019-11-28 23:05:40,1691.9,106.9
2019-11-28 23:07:29,1647.3,106.9
2019-11-28 23:13:13,1692.3,106.9
2019-11-28 23:16:50,1692.5,107.2
2019-11-28 23:21:25,1348.2,108.16666666666667
2019-11-28 23:28:04,289.0,109.13333333333333
2019-11-28 23:32:03,1692.6,110.1
2019-11-28 23:36:19,1642.8,99.4
2019-11-28 23:38:44,1692.6,105.1
2019-11-28 23:40:52,1913.4,98.85
2019-11-28 23:43:18,1692.1,92.6
2019-11-28 23:45:44,1692.6,107.3
2019-11-28 23:49:58,1693.2,107.1
2019-11-28 23:52:08,1693.3,106.5
