Tiempo,Escalas(m),Datos1(Fa)
2019-11-28 11:11:38,573.9,2.7666666666666666
2019-11-28 11:12:46,494.4,2.033333333333333
2019-11-28 11:13:35,587.6,1.3
2019-11-28 11:14:23,592.1,9.1
2019-11-28 11:14:46,590.5,16.9
2019-11-28 11:15:09,591.7,24.7
2019-11-28 11:15:33,591.3,26.6
2019-11-28 11:15:56,591.7,28.0
2019-11-28 11:16:21,591.9,27.9
2019-11-28 11:17:10,590.6,31.0
2019-11-28 11:17:35,590.7,31.8
2019-11-28 11:18:01,590.4,31.5
2019-11-28 11:18:24,589.7,31.2
2019-11-28 11:18:50,589.4,31.0
2019-11-28 11:19:38,587.2,30.799999999999997
2019-11-28 11:20:26,657.0,30.599999999999998
2019-11-28 11:21:18,590.8,30.4
2019-11-28 11:21:42,591.6,31.3
2019-11-28 11:22:09,592.3,41.6
2019-11-28 11:22:54,666.0,51.900000000000006
2019-11-28 11:23:42,663.9,62.2
2019-11-28 11:24:53,593.1,72.5
2019-11-28 11:25:16,592.6,63.075
2019-11-28 11:26:04,659.7,53.65
2019-11-28 11:26:51,659.6,44.224999999999994
2019-11-28 11:27:37,591.8,34.8
2019-11-28 11:28:01,592.4,34.5
2019-11-28 11:28:26,592.6,34.7
2019-11-28 11:28:49,591.7,33.93333333333334
2019-11-28 11:29:36,591.9,33.166666666666664
2019-11-28 11:29:58,595.8,32.4
2019-11-28 11:30:22,592.1,31.45
2019-11-28 11:30:45,597.9,30.5
2019-11-28 11:31:09,592.5,33.9
2019-11-28 11:31:32,593.2,34.15
2019-11-28 11:31:54,592.6,34.4
2019-11-28 11:32:17,592.6,34.2
2019-11-28 11:32:42,592.3,33.7
2019-11-28 11:34:00,592.7,34.1
2019-11-28 11:34:26,592.7,34.5
2019-11-28 11:34:49,593.1,34.6
2019-11-28 11:35:12,592.7,34.7
2019-11-28 11:35:34,592.3,34.8
2019-11-28 11:35:55,592.5,34.9
2019-11-28 11:36:19,593.3,33.6
2019-11-28 11:36:42,592.4,32.8
2019-11-28 11:37:03,592.7,31.7
2019-11-28 11:37:27,592.0,32.4
2019-11-28 11:37:51,592.3,32.3
2019-11-28 11:39:05,592.0,32.6
2019-11-28 11:39:27,592.4,33.9
2019-11-28 11:41:06,592.6,33.9
2019-11-28 11:41:54,591.8,34.5
2019-11-28 11:42:18,592.3,33.2
2019-11-28 11:42:41,591.8,32.9
2019-11-28 11:43:05,591.6,33.0
2019-11-28 11:43:27,592.1,33.5
2019-11-28 11:43:51,595.9,33.75
2019-11-28 11:44:12,592.3,34.0
2019-11-28 11:44:58,592.4,35.1
2019-11-28 11:45:22,591.7,34.2
2019-11-28 11:45:47,592.7,34.150000000000006
2019-11-28 11:46:08,591.9,34.1
2019-11-28 11:46:33,591.6,34.05
2019-11-28 11:46:56,592.3,34.0
2019-11-28 11:47:20,592.6,32.4
2019-11-28 11:47:43,592.1,34.2
2019-11-28 11:48:31,592.7,36.0
2019-11-28 11:49:45,592.7,35.3
2019-11-28 11:50:08,593.1,34.6
2019-11-28 11:50:31,592.6,33.9
2019-11-28 11:50:56,592.7,36.8
2019-11-28 11:51:48,587.1,35.2
2019-11-28 11:52:38,521.6,33.6
2019-11-28 11:53:03,482.3,33.55
2019-11-28 11:53:29,445.5,33.5
