Code,Tiempo,Escalas(m),Datos1(),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Capturas 1,05:46:12,1007,7,---,---,---,---,
Capturas 1,05:46:33,1010,8,Off,---,---,---,
Capturas 1,05:46:56,1011,8,Off,---,---,---,
Capturas 1,05:47:18,1014,6,Off,---,---,---,
Capturas 1,05:47:39,1015,9,Off,---,---,---,
Capturas 1,05:48:07,---,---,---,---,---,---,
Capturas 1,05:48:33,---,---,---,---,---,---,
Capturas 1,05:48:59,---,---,---,---,---,---,
Capturas 1,05:49:24,1015,6,---,---,---,---,
Capturas 1,05:49:46,1014,2,Off,---,---,---,
Capturas 1,05:50:09,1014,2,Off,---,---,---,
Capturas 1,05:50:35,1015,1,---,---,---,---,
Capturas 1,05:50:57,1014,2,Off,---,---,---,
Capturas 1,05:51:23,1015,0,---,---,---,---,
Capturas 1,05:51:47,---,---,---,---,---,---,
Capturas 1,05:52:07,1014,8,---,---,---,---,
Capturas 1,05:52:31,1020,0,---,---,---,---,
Capturas 1,05:52:53,1015,0,Off,---,---,---,
Capturas 1,05:53:16,1013,8,---,---,---,---,
Capturas 1,05:53:40,---,---,---,---,---,---,
Capturas 1,05:54:09,---,---,---,---,---,---,
Capturas 1,05:54:34,1015,1,---,---,---,---,
Capturas 1,05:55:02,---,---,---,---,---,---,
Capturas 1,05:55:25,1019,1,---,---,---,---,
Capturas 1,05:55:53,---,---,---,---,---,---,
Capturas 1,05:56:20,---,---,---,---,---,---,
Capturas 1,05:56:48,---,---,---,---,---,---,
Capturas 1,05:57:14,---,---,---,---,---,---,
Capturas 1,05:57:38,1015,9,---,---,---,---,
Capturas 1,05:58:05,---,---,---,---,---,---,
Capturas 1,05:58:30,1016,1,---,---,---,---,
Capturas 1,05:58:54,1015,5,---,---,---,---,
Capturas 1,05:59:16,1015,1,Off,---,---,---,
Capturas 1,05:59:43,---,---,---,---,---,---,
Capturas 1,06:00:11,---,---,---,---,---,---,
Capturas 1,06:00:37,---,---,---,---,---,---,
Capturas 1,06:01:00,1015,2,Off,---,---,---,
Capturas 1,06:01:29,---,---,---,---,---,---,
Capturas 1,06:01:52,1015,9,Off,---,---,---,
Capturas 1,06:02:19,---,---,---,---,---,---,
Capturas 1,06:02:41,1016,8,Off,---,---,---,
Capturas 1,06:03:05,---,---,---,---,---,---,
Capturas 1,06:03:30,---,---,---,---,---,---,
Capturas 1,06:03:58,---,---,---,---,---,---,
Capturas 1,06:04:26,---,---,---,---,---,---,
Capturas 1,06:04:53,---,---,---,---,---,---,
Capturas 1,06:05:15,1016,0,Off,---,---,---,
Capturas 1,06:05:42,---,---,---,---,---,---,
Capturas 1,06:06:02,1015,7,Off,---,---,---,
Capturas 1,06:06:29,---,---,---,---,---,---,
Capturas 1,06:06:53,---,---,---,---,---,---,
Capturas 1,06:07:18,---,---,---,---,---,---,
Capturas 1,06:07:46,---,---,---,---,---,---,
Capturas 1,06:08:10,---,---,---,---,---,---,
Capturas 1,06:08:33,1018,9,---,---,---,---,
Capturas 1,06:08:58,---,---,---,---,---,---,
Capturas 1,06:09:19,1019,1,Off,---,---,---,
Capturas 1,06:09:44,---,---,---,---,---,---,
Capturas 1,06:10:11,---,---,---,---,---,---,
Capturas 1,06:10:34,1015,3,Off,---,---,---,
Capturas 1,06:10:58,1016,0,Off,---,---,---,
Capturas 1,06:11:24,1015,5,Off,---,---,---,
Capturas 1,06:11:46,1015,5,Off,---,---,---,
Capturas 1,06:12:12,1016,4,Off,---,---,---,
Capturas 1,06:12:37,1015,9,Off,---,---,---,
Capturas 1,06:13:01,1016,2,---,---,---,---,
Capturas 1,06:13:26,1021,3,---,---,---,---,
Capturas 1,06:13:51,1016,2,---,---,---,---,
Capturas 1,06:14:12,1016,9,Off,---,---,---,
Capturas 1,06:14:39,1016,4,---,---,---,---,
Capturas 1,06:15:07,1015,6,---,---,---,---,
Capturas 1,06:15:28,1021,0,---,---,---,---,
Capturas 1,06:15:52,1018,7,---,---,---,---,
Capturas 1,06:16:14,1016,1,Off,---,---,---,
Capturas 1,06:16:43,1016,2,---,---,---,---,
Capturas 1,06:17:06,1017,5,---,---,---,---,
Capturas 1,06:17:29,1015,7,---,---,---,---,
Capturas 1,06:17:52,---,---,---,---,---,---,
Capturas 1,06:18:17,1018,0,---,---,---,---,
Capturas 1,06:18:40,1016,9,Off,---,---,---,
Capturas 1,06:19:10,---,---,---,---,---,---,
Capturas 1,06:19:32,1016,9,Off,---,---,---,
Capturas 1,06:19:55,1017,4,---,---,---,---,
Capturas 1,06:20:19,1017,4,Off,---,---,---,
Capturas 1,06:20:43,1018,0,Off,---,---,---,
Capturas 1,06:21:07,1018,6,Off,---,---,---,
Capturas 1,06:21:29,1017,8,Off,---,---,---,
Capturas 1,06:21:54,1016,1,Off,---,---,---,
Capturas 1,06:22:19,1023,2,---,---,---,---,
Capturas 1,06:22:41,1016,1,Off,---,---,---,
Capturas 1,06:23:03,1017,1,---,---,---,---,
Capturas 1,06:23:23,1016,8,Off,---,---,---,
Capturas 1,06:23:45,1016,0,Off,---,---,---,
Capturas 1,06:24:12,1019,8,Off,---,---,---,
Capturas 1,06:24:38,1017,5,---,---,---,---,
Capturas 1,06:25:01,1017,5,Off,---,---,---,
Capturas 1,06:25:26,1018,3,---,---,---,---,
Capturas 1,06:25:54,---,---,---,---,---,---,
Capturas 1,06:26:18,1017,4,Off,---,---,---,
Capturas 1,06:26:48,---,---,---,---,---,---,
Capturas 1,06:27:09,1017,0,---,---,---,---,
Capturas 1,06:27:32,1017,8,---,---,---,---,
Capturas 1,06:27:57,1017,5,---,---,---,---,
Capturas 1,06:28:18,1017,0,Off,---,---,---,
Capturas 1,06:28:43,---,---,---,---,---,---,
Capturas 1,06:29:03,1016,8,Off,---,---,---,
Capturas 1,06:29:25,1016,6,Off,---,---,---,
Capturas 1,06:29:46,1017,1,Off,---,---,---,
Capturas 1,06:30:11,1017,5,---,---,---,---,
Capturas 1,06:30:33,1017,4,Off,---,---,---,
Capturas 1,06:30:56,1017,6,Off,---,---,---,
Capturas 1,06:31:21,1017,1,---,---,---,---,
Capturas 1,06:31:44,1016,5,Off,---,---,---,
