Code,Tiempo,Escalas(m),Datos1(°),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Starboard Door Heel,05:46:16,879,5,39,7,---,---,
Starboard Door Heel,05:46:39,877,4,47,6,---,---,
Starboard Door Heel,05:47:03,878,8,---,---,---,---,
Starboard Door Heel,05:47:24,878,7,---,---,---,---,
Starboard Door Heel,05:47:46,877,9,---,---,---,---,
Starboard Door Heel,05:48:11,878,8,43,7,---,---,
Starboard Door Heel,05:48:40,---,---,---,---,---,---,
Starboard Door Heel,05:49:06,---,---,---,---,---,---,
Starboard Door Heel,05:49:31,---,---,---,---,---,---,
Starboard Door Heel,05:49:53,878,0,---,---,---,---,
Starboard Door Heel,05:50:19,---,---,---,---,---,---,
Starboard Door Heel,05:50:40,877,9,---,---,---,---,
Starboard Door Heel,05:51:04,878,1,---,---,---,---,
Starboard Door Heel,05:51:28,877,9,---,---,---,---,
Starboard Door Heel,05:51:52,878,6,---,---,---,---,
Starboard Door Heel,05:52:15,---,---,---,---,---,---,
Starboard Door Heel,05:52:39,---,---,---,---,---,---,
Starboard Door Heel,05:53:00,878,5,---,---,---,---,
Starboard Door Heel,05:53:20,877,3,58,4,---,---,
Starboard Door Heel,05:53:47,---,---,---,---,---,---,
Starboard Door Heel,05:54:17,---,---,---,---,---,---,
Starboard Door Heel,05:54:42,---,---,---,---,---,---,
Starboard Door Heel,05:55:09,---,---,---,---,---,---,
Starboard Door Heel,05:55:32,---,---,---,---,---,---,
Starboard Door Heel,05:56:00,---,---,---,---,---,---,
Starboard Door Heel,05:56:27,---,---,---,---,---,---,
Starboard Door Heel,05:56:52,882,5,61,9,---,---,
Starboard Door Heel,05:57:18,879,7,46,3,---,---,
Starboard Door Heel,05:57:45,---,---,---,---,---,---,
Starboard Door Heel,05:58:13,---,---,---,---,---,---,
Starboard Door Heel,05:58:35,878,4,---,---,---,---,
Starboard Door Heel,05:58:59,879,1,---,---,---,---,
Starboard Door Heel,05:59:26,---,---,---,---,---,---,
Starboard Door Heel,05:59:51,---,---,---,---,---,---,
Starboard Door Heel,06:00:19,---,---,---,---,---,---,
Starboard Door Heel,06:00:44,---,---,---,---,---,---,
Starboard Door Heel,06:01:10,---,---,---,---,---,---,
Starboard Door Heel,06:01:37,---,---,---,---,---,---,
Starboard Door Heel,06:01:59,878,8,---,---,---,---,
Starboard Door Heel,06:02:24,882,4,---,---,---,---,
Starboard Door Heel,06:02:47,878,4,---,---,---,---,
Starboard Door Heel,06:03:13,---,---,---,---,---,---,
Starboard Door Heel,06:03:38,---,---,---,---,---,---,
Starboard Door Heel,06:04:06,---,---,---,---,---,---,
Starboard Door Heel,06:04:33,---,---,---,---,---,---,
Starboard Door Heel,06:05:00,---,---,---,---,---,---,
Starboard Door Heel,06:05:20,878,6,43,5,---,---,
Starboard Door Heel,06:05:46,878,3,47,4,---,---,
Starboard Door Heel,06:06:09,879,5,---,---,---,---,
Starboard Door Heel,06:06:34,878,0,---,---,---,---,
Starboard Door Heel,06:07:00,---,---,---,---,---,---,
Starboard Door Heel,06:07:25,---,---,---,---,---,---,
Starboard Door Heel,06:07:51,879,0,---,---,---,---,
Starboard Door Heel,06:08:14,879,4,57,7,---,---,
Starboard Door Heel,06:08:41,---,---,---,---,---,---,
Starboard Door Heel,06:09:03,878,2,---,---,---,---,
Starboard Door Heel,06:09:26,877,9,---,---,---,---,
Starboard Door Heel,06:09:51,---,---,---,---,---,---,
Starboard Door Heel,06:10:16,878,1,---,---,---,---,
Starboard Door Heel,06:10:43,---,---,---,---,---,---,
Starboard Door Heel,06:11:03,878,4,59,2,---,---,
Starboard Door Heel,06:11:30,878,8,47,0,---,---,
Starboard Door Heel,06:11:53,877,4,---,---,---,---,
Starboard Door Heel,06:12:21,---,---,---,---,---,---,
Starboard Door Heel,06:12:44,882,0,---,---,---,---,
Starboard Door Heel,06:13:08,---,---,---,---,---,---,
Starboard Door Heel,06:13:34,---,---,---,---,---,---,
Starboard Door Heel,06:13:55,879,2,56,2,---,---,
Starboard Door Heel,06:14:22,---,---,---,---,---,---,
Starboard Door Heel,06:14:47,---,---,---,---,---,---,
Starboard Door Heel,06:15:12,878,4,---,---,---,---,
