Code,Tiempo,Escalas(m),Datos1(),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Capturas 1,06:11:04,---,---,---,---,---,---,
Capturas 1,06:11:33,---,---,---,---,---,---,
Capturas 1,06:12:01,---,---,---,---,---,---,
Capturas 1,06:12:26,---,---,---,---,---,---,
Capturas 1,06:12:52,---,---,---,---,---,---,
Capturas 1,06:13:20,---,---,---,---,---,---,
Capturas 1,06:13:47,---,---,---,---,---,---,
Capturas 1,06:14:13,---,---,---,---,---,---,
Capturas 1,06:14:39,---,---,---,---,---,---,
Capturas 1,06:15:06,---,---,---,---,---,---,
Capturas 1,06:15:32,---,---,---,---,---,---,
Capturas 1,06:16:01,---,---,---,---,---,---,
Capturas 1,06:16:29,---,---,---,---,---,---,
Capturas 1,06:16:57,---,---,---,---,---,---,
Capturas 1,06:17:23,---,---,---,---,---,---,
Capturas 1,06:17:49,---,---,---,---,---,---,
Capturas 1,06:18:13,---,---,---,---,---,---,
Capturas 1,06:18:37,---,---,---,---,---,---,
Capturas 1,06:19:05,---,---,---,---,---,---,
Capturas 1,06:19:30,---,---,---,---,---,---,
Capturas 1,06:19:56,---,---,---,---,---,---,
Capturas 1,06:20:21,---,---,---,---,---,---,
Capturas 1,06:20:47,---,---,---,---,---,---,
Capturas 1,06:21:13,---,---,---,---,---,---,
Capturas 1,06:21:36,---,---,---,---,---,---,
Capturas 1,06:22:02,---,---,---,---,---,---,
Capturas 1,06:22:28,---,---,---,---,---,---,
Capturas 1,06:22:52,---,---,---,---,---,---,
Capturas 1,06:23:17,---,---,---,---,---,---,
Capturas 1,06:23:41,---,---,---,---,---,---,
Capturas 1,06:24:08,---,---,---,---,---,---,
Capturas 1,06:24:32,---,---,---,---,---,---,
Capturas 1,06:24:59,---,---,---,---,---,---,
Capturas 1,06:25:27,---,---,---,---,---,---,
Capturas 1,06:25:54,---,---,---,---,---,---,
Capturas 1,06:26:18,---,---,---,---,---,---,
Capturas 1,06:26:44,---,---,---,---,---,---,
Capturas 1,06:27:08,---,---,---,---,---,---,
Capturas 1,06:27:34,---,---,---,---,---,---,
Capturas 1,06:28:01,---,---,---,---,---,---,
Capturas 1,06:28:26,---,---,---,---,---,---,
Capturas 1,06:28:54,---,---,---,---,---,---,
Capturas 1,06:29:19,---,---,---,---,---,---,
Capturas 1,06:29:43,---,---,---,---,---,---,
Capturas 1,06:30:08,---,---,---,---,---,---,
Capturas 1,06:30:37,---,---,---,---,---,---,
Capturas 1,06:31:02,---,---,---,---,---,---,
Capturas 1,06:31:29,---,---,---,---,---,---,
Capturas 1,06:31:56,---,---,---,---,---,---,
Capturas 1,06:32:22,---,---,---,---,---,---,
Capturas 1,06:32:48,---,---,---,---,---,---,
Capturas 1,06:33:12,---,---,---,---,---,---,
Capturas 1,06:33:39,---,---,---,---,---,---,
Capturas 1,06:34:05,---,---,---,---,---,---,
Capturas 1,06:34:30,---,---,---,---,---,---,
Capturas 1,06:34:55,---,---,---,---,---,---,
Capturas 1,06:35:23,---,---,---,---,---,---,
Capturas 1,06:35:49,---,---,---,---,---,---,
Capturas 1,06:36:14,---,---,---,---,---,---,
Capturas 1,06:36:40,---,---,---,---,---,---,
Capturas 1,06:37:03,---,---,---,---,---,---,
Capturas 1,06:37:29,---,---,---,---,---,---,
Capturas 1,06:37:52,---,---,---,---,---,---,
Capturas 1,06:38:19,---,---,---,---,---,---,
Capturas 1,06:38:43,---,---,---,---,---,---,
Capturas 1,06:39:09,---,---,---,---,---,---,
Capturas 1,06:39:35,---,---,---,---,---,---,
Capturas 1,06:40:03,---,---,---,---,---,---,
Capturas 1,06:40:26,---,---,---,---,---,---,
Capturas 1,06:40:54,---,---,---,---,---,---,
Capturas 1,06:41:22,---,---,---,---,---,---,
Capturas 1,06:41:46,---,---,---,---,---,---,
Capturas 1,06:42:11,---,---,---,---,---,---,
Capturas 1,06:42:37,---,---,---,---,---,---,
Capturas 1,06:43:04,---,---,---,---,---,---,
Capturas 1,06:43:30,1132,4,---,---,---,---,
Capturas 1,06:43:55,---,---,---,---,---,---,
Capturas 1,06:44:21,---,---,---,---,---,---,
Capturas 1,06:44:46,---,---,---,---,---,---,
Capturas 1,06:45:09,1134,6,---,---,---,---,
Capturas 1,06:45:37,---,---,---,---,---,---,
Capturas 1,06:46:00,---,---,---,---,---,---,
Capturas 1,06:46:24,---,---,---,---,---,---,
Capturas 1,06:46:52,---,---,---,---,---,---,
Capturas 1,06:47:21,---,---,---,---,---,---,
Capturas 1,06:47:47,---,---,---,---,---,---,
Capturas 1,06:48:14,---,---,---,---,---,---,
Capturas 1,06:48:42,---,---,---,---,---,---,
Capturas 1,06:49:10,---,---,---,---,---,---,
Capturas 1,06:49:33,---,---,---,---,---,---,
Capturas 1,06:49:59,---,---,---,---,---,---,
Capturas 1,06:50:25,---,---,---,---,---,---,
Capturas 1,06:50:49,---,---,---,---,---,---,
Capturas 1,06:51:15,2556,1,---,---,---,---,
Capturas 1,06:51:39,---,---,---,---,---,---,
Capturas 1,06:52:04,---,---,---,---,---,---,
Capturas 1,06:52:29,---,---,---,---,---,---,
Capturas 1,06:52:56,---,---,---,---,---,---,
Capturas 1,06:53:20,---,---,---,---,---,---,
Capturas 1,06:53:47,---,---,---,---,---,---,
Capturas 1,06:54:14,---,---,---,---,---,---,
Capturas 1,06:54:39,---,---,---,---,---,---,
Capturas 1,06:55:06,---,---,---,---,---,---,
Capturas 1,06:55:34,---,---,---,---,---,---,
Capturas 1,06:56:00,---,---,---,---,---,---,
Capturas 1,06:56:24,---,---,---,---,---,---,
Capturas 1,06:56:51,1135,3,---,---,---,---,
Capturas 1,06:57:17,---,---,---,---,---,---,
Capturas 1,06:57:43,---,---,---,---,---,---,
Capturas 1,06:58:07,1136,5,---,---,---,---,
Capturas 1,06:58:35,---,---,---,---,---,---,
Capturas 1,06:58:57,1132,7,Off,---,---,---,
Capturas 1,06:59:24,---,---,---,---,---,---,
Capturas 1,06:59:52,---,---,---,---,---,---,
Capturas 1,07:00:16,1135,4,---,---,---,---,
Capturas 1,07:00:42,---,---,---,---,---,---,
Capturas 1,07:01:09,---,---,---,---,---,---,
Capturas 1,07:01:34,---,---,---,---,---,---,
Capturas 1,07:01:57,---,---,---,---,---,---,
Capturas 1,07:02:25,---,---,---,---,---,---,
Capturas 1,07:02:51,---,---,---,---,---,---,
Capturas 1,07:03:21,---,---,---,---,---,---,
Capturas 1,07:03:47,---,---,---,---,---,---,
Capturas 1,07:04:12,---,---,---,---,---,---,
Capturas 1,07:04:36,---,---,---,---,---,---,
Capturas 1,07:05:02,---,---,---,---,---,---,
Capturas 1,07:05:28,---,---,---,---,---,---,
Capturas 1,07:05:52,---,---,---,---,---,---,
Capturas 1,07:06:16,1133,0,---,---,---,---,
Capturas 1,07:06:40,1134,0,Off,---,---,---,
Capturas 1,07:07:04,1135,7,---,---,---,---,
Capturas 1,07:07:28,1132,9,---,---,---,---,
Capturas 1,07:07:54,---,---,---,---,---,---,
Capturas 1,07:08:18,---,---,---,---,---,---,
Capturas 1,07:08:46,---,---,---,---,---,---,
