Code,Tiempo,Escalas(m),Datos1(Fa),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Estribor,06:10:49,---,---,---,---,---,---,
Estribor,06:11:19,---,---,---,---,---,---,
Estribor,06:11:45,993,9,8,8,---,---,
Estribor,06:12:11,997,1,8,0,---,---,
Estribor,06:12:37,996,5,---,---,---,---,
Estribor,06:13:05,---,---,---,---,---,---,
Estribor,06:13:34,---,---,---,---,---,---,
Estribor,06:13:59,993,5,---,---,---,---,
Estribor,06:14:25,---,---,---,---,---,---,
Estribor,06:14:53,---,---,---,---,---,---,
Estribor,06:15:19,---,---,---,---,---,---,
Estribor,06:15:47,---,---,---,---,---,---,
Estribor,06:16:13,993,7,34,2,---,---,
Estribor,06:16:42,---,---,---,---,---,---,
Estribor,06:17:07,993,9,32,0,---,---,
Estribor,06:17:34,994,4,---,---,---,---,
Estribor,06:17:59,993,3,---,---,---,---,
Estribor,06:18:24,995,2,---,---,---,---,
Estribor,06:18:49,993,6,32,0,---,---,
Estribor,06:19:15,994,5,31,4,---,---,
Estribor,06:19:43,---,---,---,---,---,---,
Estribor,06:20:08,---,---,---,---,---,---,
Estribor,06:20:32,993,5,---,---,---,---,
Estribor,06:20:59,994,0,---,---,---,---,
Estribor,06:21:23,993,8,---,---,---,---,
Estribor,06:21:45,994,3,31,4,---,---,
Estribor,06:22:11,993,6,30,7,---,---,
Estribor,06:22:38,994,3,32,8,---,---,
Estribor,06:23:05,995,8,---,---,---,---,
Estribor,06:23:28,994,3,---,---,---,---,
Estribor,06:23:56,---,---,---,---,---,---,
Estribor,06:24:18,992,7,33,2,---,---,
Estribor,06:24:45,---,---,---,---,---,---,
Estribor,06:25:10,994,2,33,2,---,---,
Estribor,06:25:39,994,5,---,---,---,---,
Estribor,06:26:04,994,4,32,9,---,---,
Estribor,06:26:29,997,4,---,---,---,---,
Estribor,06:26:54,993,5,31,0,---,---,
Estribor,06:27:17,994,5,32,4,---,---,
Estribor,06:27:48,---,---,---,---,---,---,
Estribor,06:28:14,---,---,---,---,---,---,
Estribor,06:28:38,994,2,33,5,---,---,
Estribor,06:29:05,993,1,---,---,---,---,
Estribor,06:29:30,997,4,---,---,---,---,
Estribor,06:29:53,993,4,32,3,---,---,
Estribor,06:30:22,---,---,---,---,---,---,
Estribor,06:30:47,993,8,32,4,---,---,
Estribor,06:31:14,994,4,32,4,---,---,
Estribor,06:31:41,---,---,---,---,---,---,
Estribor,06:32:08,996,7,31,1,---,---,
Estribor,06:32:35,---,---,---,---,---,---,
Estribor,06:32:59,994,4,---,---,---,---,
Estribor,06:33:22,994,6,34,9,---,---,
Estribor,06:33:49,995,2,35,0,---,---,
Estribor,06:34:15,994,5,33,6,---,---,
Estribor,06:34:43,---,---,---,---,---,---,
Estribor,06:35:09,---,---,---,---,---,---,
Estribor,06:35:33,993,5,32,8,---,---,
Estribor,06:36:00,993,5,---,---,---,---,
Estribor,06:36:23,993,5,33,2,---,---,
Estribor,06:36:50,995,3,---,---,---,---,
Estribor,06:37:12,994,1,32,9,---,---,
Estribor,06:37:40,995,0,---,---,---,---,
Estribor,06:38:04,993,8,33,5,---,---,
Estribor,06:38:29,995,3,35,1,---,---,
Estribor,06:38:55,995,0,33,5,---,---,
Estribor,06:39:22,994,5,---,---,---,---,
Estribor,06:39:50,---,---,---,---,---,---,
Estribor,06:40:12,993,9,32,7,---,---,
Estribor,06:40:39,992,9,---,---,---,---,
Estribor,06:41:05,994,6,34,4,---,---,
Estribor,06:41:32,993,4,33,7,---,---,
Estribor,06:41:56,993,1,33,6,---,---,
Estribor,06:42:21,994,7,32,0,---,---,
Estribor,06:42:50,---,---,---,---,---,---,
Estribor,06:43:17,---,---,---,---,---,---,
Estribor,06:43:42,---,---,---,---,---,---,
Estribor,06:44:04,993,4,32,7,---,---,
Estribor,06:44:33,---,---,---,---,---,---,
Estribor,06:44:56,993,6,---,---,---,---,
Estribor,06:45:24,---,---,---,---,---,---,
Estribor,06:45:48,993,4,---,---,---,---,
Estribor,06:46:12,993,2,---,---,---,---,
Estribor,06:46:39,---,---,---,---,---,---,
Estribor,06:47:06,---,---,---,---,---,---,
Estribor,06:47:33,993,2,33,8,---,---,
Estribor,06:47:57,993,7,36,6,---,---,
Estribor,06:48:28,---,---,---,---,---,---,
Estribor,06:48:55,---,---,---,---,---,---,
Estribor,06:49:21,993,1,---,---,---,---,
Estribor,06:49:43,993,1,34,9,---,---,
Estribor,06:50:09,993,2,36,5,---,---,
Estribor,06:50:35,993,4,36,3,---,---,
Estribor,06:51:02,---,---,---,---,---,---,
Estribor,06:51:24,993,7,38,0,---,---,
Estribor,06:51:52,---,---,---,---,---,---,
Estribor,06:52:15,993,2,36,4,---,---,
Estribor,06:52:41,---,---,---,---,---,---,
