Code,Tiempo,Escalas(m),Datos1(),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Capturas 1,06:39:26,803,9,---,---,---,---,
Capturas 1,06:39:50,804,4,---,---,---,---,
Capturas 1,06:40:13,802,8,Off,---,---,---,
Capturas 1,06:40:38,803,1,Off,---,---,---,
Capturas 1,06:41:04,804,1,Off,---,---,---,
Capturas 1,06:41:28,803,1,Off,---,---,---,
Capturas 1,06:41:52,802,7,Off,---,---,---,
Capturas 1,06:42:18,803,6,Off,---,---,---,
Capturas 1,06:42:45,803,0,Off,---,---,---,
Capturas 1,06:43:10,803,0,---,---,---,---,
Capturas 1,06:43:39,---,---,---,---,---,---,
Capturas 1,06:44:03,803,0,Off,---,---,---,
Capturas 1,06:44:31,---,---,---,---,---,---,
Capturas 1,06:44:56,804,2,Off,---,---,---,
Capturas 1,06:45:22,802,2,Off,---,---,---,
Capturas 1,06:45:47,802,7,Off,---,---,---,
Capturas 1,06:46:11,802,9,Off,---,---,---,
Capturas 1,06:46:36,803,3,Off,---,---,---,
Capturas 1,06:47:02,804,5,---,---,---,---,
Capturas 1,06:47:24,803,2,Off,---,---,---,
Capturas 1,06:47:49,804,1,Off,---,---,---,
Capturas 1,06:48:14,806,7,Off,---,---,---,
Capturas 1,06:48:39,803,9,Off,---,---,---,
Capturas 1,06:49:04,803,9,Off,---,---,---,
Capturas 1,06:49:29,803,1,Off,---,---,---,
Capturas 1,06:49:54,802,6,Off,---,---,---,
Capturas 1,06:50:19,802,6,Off,---,---,---,
Capturas 1,06:50:45,802,9,Off,---,---,---,
Capturas 1,06:51:10,802,1,Off,---,---,---,
Capturas 1,06:51:34,803,3,Off,---,---,---,
Capturas 1,06:51:58,802,4,Off,---,---,---,
Capturas 1,06:52:23,803,3,Off,---,---,---,
Capturas 1,06:52:48,803,1,Off,---,---,---,
Capturas 1,06:53:12,804,0,Off,---,---,---,
Capturas 1,06:53:38,803,1,Off,---,---,---,
Capturas 1,06:54:02,803,4,Off,---,---,---,
Capturas 1,06:54:26,803,2,Off,---,---,---,
Capturas 1,06:54:52,803,9,Off,---,---,---,
Capturas 1,06:55:16,803,6,Off,---,---,---,
Capturas 1,06:55:42,803,5,Off,---,---,---,
Capturas 1,06:56:08,803,9,Off,---,---,---,
Capturas 1,06:56:33,803,7,Off,---,---,---,
Capturas 1,06:56:58,803,9,Off,---,---,---,
Capturas 1,06:57:23,803,7,Off,---,---,---,
Capturas 1,06:57:50,803,8,Off,---,---,---,
Capturas 1,06:58:15,805,6,Off,---,---,---,
Capturas 1,06:58:40,804,3,Off,---,---,---,
Capturas 1,06:59:06,804,0,Off,---,---,---,
Capturas 1,06:59:31,803,7,Off,---,---,---,
Capturas 1,06:59:58,805,1,Off,---,---,---,
Capturas 1,07:00:24,804,0,Off,---,---,---,
Capturas 1,07:00:50,803,6,Off,---,---,---,
Capturas 1,07:01:18,---,---,---,---,---,---,
Capturas 1,07:01:46,---,---,---,---,---,---,
Capturas 1,07:02:08,803,5,Off,---,---,---,
Capturas 1,07:02:31,803,7,Off,---,---,---,
Capturas 1,07:03:01,---,---,---,---,---,---,
Capturas 1,07:03:26,804,9,Off,---,---,---,
Capturas 1,07:03:54,803,9,Off,---,---,---,
Capturas 1,07:04:19,804,0,Off,---,---,---,
Capturas 1,07:04:51,---,---,---,---,---,---,
Capturas 1,07:05:16,803,1,---,---,---,---,
Capturas 1,07:05:41,803,5,Off,---,---,---,
Capturas 1,07:06:09,803,4,Off,---,---,---,
Capturas 1,07:06:40,---,---,---,---,---,---,
Capturas 1,07:07:04,803,7,Off,---,---,---,
Capturas 1,07:07:35,---,---,---,---,---,---,
Capturas 1,07:08:05,---,---,---,---,---,---,
Capturas 1,07:08:33,---,---,---,---,---,---,
Capturas 1,07:09:01,---,---,---,---,---,---,
Capturas 1,07:09:28,---,---,---,---,---,---,
Capturas 1,07:09:57,---,---,---,---,---,---,
Capturas 1,07:10:22,805,5,---,---,---,---,
Capturas 1,07:10:48,803,8,Off,---,---,---,
Capturas 1,07:11:19,---,---,---,---,---,---,
Capturas 1,07:11:44,803,9,Off,---,---,---,
Capturas 1,07:12:15,---,---,---,---,---,---,
Capturas 1,07:12:39,803,4,Off,---,---,---,
Capturas 1,07:13:05,804,4,Off,---,---,---,
Capturas 1,07:13:31,803,3,Off,---,---,---,
Capturas 1,07:14:01,---,---,---,---,---,---,
Capturas 1,07:14:28,---,---,---,---,---,---,
Capturas 1,07:14:55,---,---,---,---,---,---,
Capturas 1,07:15:22,---,---,---,---,---,---,
Capturas 1,07:15:46,803,0,Off,---,---,---,
Capturas 1,07:16:12,803,4,Off,---,---,---,
Capturas 1,07:16:44,---,---,---,---,---,---,
Capturas 1,07:17:05,803,3,Off,---,---,---,
Capturas 1,07:17:33,---,---,---,---,---,---,
Capturas 1,07:17:58,803,2,Off,---,---,---,
Capturas 1,07:18:22,803,4,Off,---,---,---,
Capturas 1,07:18:47,803,0,Off,---,---,---,
Capturas 1,07:19:14,803,2,Off,---,---,---,
Capturas 1,07:19:39,802,9,Off,---,---,---,
Capturas 1,07:20:04,804,0,Off,---,---,---,
Capturas 1,07:20:31,803,3,Off,---,---,---,
Capturas 1,07:20:56,802,3,Off,---,---,---,
Capturas 1,07:21:22,806,1,Off,---,---,---,
Capturas 1,07:21:49,805,2,---,---,---,---,
Capturas 1,07:22:15,---,---,---,---,---,---,
Capturas 1,07:22:44,---,---,---,---,---,---,
Capturas 1,07:23:06,807,0,Off,---,---,---,
Capturas 1,07:23:32,802,0,Off,---,---,---,
Capturas 1,07:23:59,803,2,Off,---,---,---,
Capturas 1,07:24:25,803,4,Off,---,---,---,
Capturas 1,07:24:49,802,7,Off,---,---,---,
Capturas 1,07:25:17,---,---,---,---,---,---,
Capturas 1,07:25:41,806,7,---,---,---,---,
Capturas 1,07:26:06,802,4,Off,---,---,---,
Capturas 1,07:26:34,---,---,---,---,---,---,
Capturas 1,07:26:58,803,2,Off,---,---,---,
Capturas 1,07:27:23,803,4,Off,---,---,---,
Capturas 1,07:27:48,803,6,Off,---,---,---,
Capturas 1,07:28:13,803,4,Off,---,---,---,
