Code,Tiempo,Escalas(m),Datos1(°),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Starboard Door Heel,06:39:31,662,8,---,---,---,---,
Starboard Door Heel,06:39:55,662,7,---,---,---,---,
Starboard Door Heel,06:40:20,663,1,---,---,---,---,
Starboard Door Heel,06:40:45,662,9,---,---,---,---,
Starboard Door Heel,06:41:10,664,4,---,---,---,---,
Starboard Door Heel,06:41:34,665,6,---,---,---,---,
Starboard Door Heel,06:41:59,662,3,---,---,---,---,
Starboard Door Heel,06:42:25,663,9,---,---,---,---,
Starboard Door Heel,06:42:52,662,4,---,---,---,---,
Starboard Door Heel,06:43:15,662,0,---,---,---,---,
Starboard Door Heel,06:43:43,662,4,---,---,---,---,
Starboard Door Heel,06:44:10,662,3,---,---,---,---,
Starboard Door Heel,06:44:38,---,---,---,---,---,---,
Starboard Door Heel,06:45:03,665,8,---,---,---,---,
Starboard Door Heel,06:45:29,662,1,---,---,---,---,
Starboard Door Heel,06:45:54,661,7,---,---,---,---,
Starboard Door Heel,06:46:18,662,3,---,---,---,---,
Starboard Door Heel,06:46:42,662,3,---,---,---,---,
Starboard Door Heel,06:47:07,662,2,---,---,---,---,
Starboard Door Heel,06:47:31,664,1,---,---,---,---,
Starboard Door Heel,06:47:56,662,8,---,---,---,---,
Starboard Door Heel,06:48:21,663,0,---,---,---,---,
Starboard Door Heel,06:48:46,663,7,---,---,---,---,
Starboard Door Heel,06:49:11,662,9,---,---,---,---,
Starboard Door Heel,06:49:36,662,4,---,---,---,---,
Starboard Door Heel,06:50:01,662,3,---,---,---,---,
Starboard Door Heel,06:50:26,662,2,---,---,---,---,
Starboard Door Heel,06:50:51,662,4,---,---,---,---,
Starboard Door Heel,06:51:16,662,9,---,---,---,---,
Starboard Door Heel,06:51:41,663,2,---,---,---,---,
Starboard Door Heel,06:52:05,662,5,---,---,---,---,
Starboard Door Heel,06:52:30,662,9,---,---,---,---,
Starboard Door Heel,06:52:55,663,1,---,---,---,---,
Starboard Door Heel,06:53:22,---,---,---,---,---,---,
Starboard Door Heel,06:53:45,662,7,---,---,---,---,
Starboard Door Heel,06:54:09,665,0,---,---,---,---,
Starboard Door Heel,06:54:33,662,4,---,---,---,---,
Starboard Door Heel,06:54:58,661,9,---,---,---,---,
Starboard Door Heel,06:55:23,663,8,---,---,---,---,
Starboard Door Heel,06:55:52,---,---,---,---,---,---,
Starboard Door Heel,06:56:15,664,0,---,---,---,---,
Starboard Door Heel,06:56:40,662,9,---,---,---,---,
Starboard Door Heel,06:57:05,662,8,---,---,---,---,
Starboard Door Heel,06:57:33,---,---,---,---,---,---,
Starboard Door Heel,06:57:56,663,1,---,---,---,---,
Starboard Door Heel,06:58:21,663,2,---,---,---,---,
Starboard Door Heel,06:58:49,---,---,---,---,---,---,
Starboard Door Heel,06:59:13,663,0,---,---,---,---,
Starboard Door Heel,06:59:38,662,7,---,---,---,---,
Starboard Door Heel,07:00:07,---,---,---,---,---,---,
Starboard Door Heel,07:00:33,---,---,---,---,---,---,
Starboard Door Heel,07:00:57,667,8,---,---,---,---,
Starboard Door Heel,07:01:25,---,---,---,---,---,---,
Starboard Door Heel,07:01:50,663,2,---,---,---,---,
Starboard Door Heel,07:02:15,665,6,---,---,---,---,
Starboard Door Heel,07:02:38,663,1,---,---,---,---,
Starboard Door Heel,07:03:06,666,7,---,---,---,---,
Starboard Door Heel,07:03:35,---,---,---,---,---,---,
Starboard Door Heel,07:04:03,---,---,---,---,---,---,
Starboard Door Heel,07:04:29,---,---,---,---,---,---,
Starboard Door Heel,07:04:58,---,---,---,---,---,---,
Starboard Door Heel,07:05:24,---,---,---,---,---,---,
Starboard Door Heel,07:05:50,---,---,---,---,---,---,
Starboard Door Heel,07:06:18,---,---,---,---,---,---,
Starboard Door Heel,07:06:48,---,---,---,---,---,---,
Starboard Door Heel,07:07:13,---,---,---,---,---,---,
Starboard Door Heel,07:07:43,---,---,---,---,---,---,
Starboard Door Heel,07:08:12,---,---,---,---,---,---,
Starboard Door Heel,07:08:40,---,---,---,---,---,---,
Starboard Door Heel,07:09:05,661,9,---,---,---,---,
Starboard Door Heel,07:09:35,---,---,---,---,---,---,
Starboard Door Heel,07:10:04,---,---,---,---,---,---,
Starboard Door Heel,07:10:29,---,---,---,---,---,---,
Starboard Door Heel,07:10:57,---,---,---,---,---,---,
Starboard Door Heel,07:11:27,---,---,---,---,---,---,
Starboard Door Heel,07:11:53,---,---,---,---,---,---,
Starboard Door Heel,07:12:20,---,---,---,---,---,---,
Starboard Door Heel,07:12:48,---,---,---,---,---,---,
Starboard Door Heel,07:13:12,663,0,---,---,---,---,
Starboard Door Heel,07:13:37,662,3,---,---,---,---,
Starboard Door Heel,07:14:05,662,0,---,---,---,---,
Starboard Door Heel,07:14:33,662,0,---,---,---,---,
Starboard Door Heel,07:15:00,662,1,---,---,---,---,
Starboard Door Heel,07:15:27,661,3,---,---,---,---,
Starboard Door Heel,07:15:53,661,9,---,---,---,---,
Starboard Door Heel,07:16:22,---,---,---,---,---,---,
Starboard Door Heel,07:16:48,662,5,---,---,---,---,
Starboard Door Heel,07:17:11,662,2,---,---,---,---,
Starboard Door Heel,07:17:38,662,1,---,---,---,---,
Starboard Door Heel,07:18:05,662,0,---,---,---,---,
Starboard Door Heel,07:18:29,661,9,---,---,---,---,
Starboard Door Heel,07:18:54,662,6,---,---,---,---,
Starboard Door Heel,07:19:20,661,7,---,---,---,---,
Starboard Door Heel,07:19:46,---,---,---,---,---,---,
Starboard Door Heel,07:20:14,---,---,---,---,---,---,
Starboard Door Heel,07:20:38,661,6,---,---,---,---,
Starboard Door Heel,07:21:05,---,---,---,---,---,---,
Starboard Door Heel,07:21:31,---,---,---,---,---,---,
Starboard Door Heel,07:21:54,662,2,---,---,---,---,
Starboard Door Heel,07:22:22,---,---,---,---,---,---,
Starboard Door Heel,07:22:49,662,4,---,---,---,---,
Starboard Door Heel,07:23:13,662,3,---,---,---,---,
Starboard Door Heel,07:23:39,662,3,---,---,---,---,
Starboard Door Heel,07:24:05,664,2,---,---,---,---,
Starboard Door Heel,07:24:32,663,3,---,---,---,---,
Starboard Door Heel,07:24:56,662,4,---,---,---,---,
Starboard Door Heel,07:25:22,662,5,---,---,---,---,
