[NOTUS TEXTFILE V3.3]
File Created: 22-oct-2019 17:27:34
Tow Date: 25-ago-2013 5:04:58


Transponder: C56S
Placement: Estribor

Code,Tiempo,Escalas(m),Datos1(Fa),Datos2(m),Latitude,Longitude,Sonda(m),Comment
C56S,05:05:07,---,---,---,---,---,---,
C56S,05:05:31,---,---,---,---,---,---,
C56S,05:05:55,587,9,---,---,---,---,---,
C56S,05:06:17,588,2,32,3,---,---,---,---,
C56S,05:06:40,588,4,32,1,---,---,---,---,
C56S,05:07:05,589,4,31,5,---,---,---,---,
C56S,05:07:29,589,4,30,9,---,---,---,---,
C56S,05:07:53,589,6,31,4,---,---,---,---,
C56S,05:08:16,591,9,29,6,---,---,---,---,
C56S,05:08:40,589,2,32,4,---,---,---,---,
C56S,05:09:04,589,5,32,2,---,---,---,---,
C56S,05:09:27,589,3,31,6,---,---,---,---,
C56S,05:09:51,589,2,31,1,---,---,---,---,
C56S,05:10:14,589,7,31,0,---,---,---,---,
C56S,05:10:38,589,2,31,2,---,---,---,---,
C56S,05:11:01,589,4,30,4,---,---,---,---,
C56S,05:11:24,588,7,30,4,---,---,---,---,
C56S,05:11:46,588,4,30,4,---,---,---,---,
C56S,05:12:10,588,4,30,3,---,---,---,---,
C56S,05:12:33,588,6,30,9,---,---,---,---,
C56S,05:12:56,588,6,30,0,---,---,---,---,
C56S,05:13:22,588,5,29,2,---,---,---,---,
C56S,05:13:45,589,2,29,4,---,---,---,---,
C56S,05:14:09,589,5,29,8,---,---,---,---,
C56S,05:14:32,589,5,30,2,---,---,---,---,
C56S,05:14:56,588,7,30,4,---,---,---,---,
C56S,05:15:19,588,9,29,2,---,---,---,---,
C56S,05:15:42,588,7,28,9,---,---,---,---,
C56S,05:16:07,588,7,28,6,---,---,---,---,
C56S,05:16:31,589,5,29,2,---,---,---,---,
C56S,05:16:55,589,9,28,8,---,---,---,---,
C56S,05:17:18,589,3,28,6,---,---,---,---,
C56S,05:17:42,589,4,29,4,---,---,---,---,
C56S,05:18:07,589,5,29,2,---,---,---,---,
C56S,05:18:30,590,3,28,4,---,---,---,---,
C56S,05:18:56,589,5,29,2,---,---,---,---,
C56S,05:19:19,589,4,29,1,---,---,---,---,
C56S,05:19:43,589,7,29,2,---,---,---,---,
C56S,05:20:06,589,2,29,2,---,---,---,---,
C56S,05:20:30,589,0,29,0,---,---,---,---,
C56S,05:20:55,589,3,28,9,---,---,---,---,
C56S,05:21:20,589,3,28,2,---,---,---,---,
C56S,05:21:43,589,2,28,6,---,---,---,---,
C56S,05:22:06,589,3,28,7,---,---,---,---,
C56S,05:22:30,589,5,28,4,---,---,---,---,
