Code,Tiempo,Escalas(m),Datos1(m),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Cabecera altura,21:19:10,1983,5,99,9,---,---,
Cabecera altura,21:19:45,---,---,---,---,---,---,
Cabecera altura,21:20:07,471,6,---,---,---,---,
Cabecera altura,21:20:29,---,---,---,---,---,---,
Cabecera altura,21:20:50,1033,9,---,---,---,---,
Cabecera altura,21:21:13,---,98,9,---,---,---,
Cabecera altura,21:21:35,1982,7,98,9,---,---,
Cabecera altura,21:21:57,---,---,---,---,---,---,
Cabecera altura,21:22:17,96,7,---,---,---,---,
Cabecera altura,21:22:39,---,---,---,---,---,---,
Cabecera altura,21:23:01,638,0,---,---,---,---,
Cabecera altura,21:23:23,---,98,9,---,---,---,
Cabecera altura,21:23:48,1982,0,98,9,---,---,
Cabecera altura,21:24:10,---,---,---,---,---,---,
Cabecera altura,21:24:32,691,3,---,---,---,---,
Cabecera altura,21:24:54,---,98,8,---,---,---,
Cabecera altura,21:25:16,1981,3,99,0,---,---,
Cabecera altura,21:26:07,---,---,---,---,---,---,
Cabecera altura,21:26:30,1981,7,98,9,---,---,
Cabecera altura,21:26:55,1983,3,98,8,---,---,
Cabecera altura,21:27:17,---,---,---,---,---,---,
Cabecera altura,21:27:40,1590,1,---,---,---,---,
Cabecera altura,21:28:03,---,98,8,---,---,---,
Cabecera altura,21:28:27,1372,7,93,4,---,---,
Cabecera altura,21:28:50,---,---,---,---,---,---,
Cabecera altura,21:29:14,1857,4,28,2,---,---,
Cabecera altura,21:29:37,---,---,---,---,---,---,
Cabecera altura,21:30:01,1959,3,---,---,---,---,
Cabecera altura,21:30:23,1983,2,98,8,---,---,
Cabecera altura,21:30:46,---,---,---,---,---,---,
Cabecera altura,21:31:10,1982,6,98,9,---,---,
Cabecera altura,21:31:35,1983,0,98,8,---,---,
Cabecera altura,21:32:00,1982,8,98,9,---,---,
Cabecera altura,21:32:25,1982,8,99,3,---,---,
Cabecera altura,21:32:47,---,100,0,---,---,---,
Cabecera altura,21:33:08,161,4,---,---,---,---,
Cabecera altura,21:33:29,---,---,---,---,---,---,
Cabecera altura,21:33:53,1255,6,---,---,---,---,
Cabecera altura,21:34:14,---,---,---,---,---,---,
Cabecera altura,21:34:35,307,3,---,---,---,---,
Cabecera altura,21:35:02,---,99,3,---,---,---,
Cabecera altura,21:35:24,---,---,---,---,---,---,
Cabecera altura,21:35:45,---,---,---,---,---,---,
Cabecera altura,21:36:10,1983,4,99,0,---,---,
Cabecera altura,21:36:33,---,---,---,---,---,---,
Cabecera altura,21:36:56,26,2,---,---,---,---,
Cabecera altura,21:37:19,---,---,---,---,---,---,
Cabecera altura,21:37:40,1983,2,98,9,---,---,
Cabecera altura,21:38:02,1982,9,98,8,---,---,
Cabecera altura,21:38:24,1983,5,98,9,---,---,
Cabecera altura,21:38:45,1985,3,98,7,---,---,
Cabecera altura,21:39:08,---,---,---,---,---,---,
Cabecera altura,21:39:30,792,8,---,---,---,---,
Cabecera altura,21:39:50,---,---,---,---,---,---,
Cabecera altura,21:40:11,417,8,---,---,---,---,
Cabecera altura,21:40:32,---,---,---,---,---,---,
Cabecera altura,21:40:55,889,6,---,---,---,---,
Cabecera altura,21:41:16,---,---,---,---,---,---,
Cabecera altura,21:41:40,1939,8,100,0,---,---,
Cabecera altura,21:42:04,---,---,---,---,---,---,
Cabecera altura,21:42:25,158,8,---,---,---,---,
Cabecera altura,21:42:47,---,---,---,---,---,---,
Cabecera altura,21:43:09,1059,0,---,---,---,---,
Cabecera altura,21:43:36,---,99,2,---,---,---,
Cabecera altura,21:44:01,1984,1,98,9,---,---,
Cabecera altura,21:44:21,---,---,---,---,---,---,
Cabecera altura,21:44:43,1983,5,99,0,---,---,
Cabecera altura,21:45:05,---,---,---,---,---,---,
Cabecera altura,21:45:27,213,0,---,---,---,---,
Cabecera altura,21:45:46,---,---,---,---,---,---,
Cabecera altura,21:46:08,1441,8,---,---,---,---,
Cabecera altura,21:46:31,---,99,0,---,---,---,
Cabecera altura,21:46:53,10,3,---,---,---,---,
Cabecera altura,21:47:16,---,---,---,---,---,---,
Cabecera altura,21:47:38,1983,6,98,9,---,---,
Cabecera altura,21:48:04,1983,9,99,0,---,---,
Cabecera altura,21:48:29,1984,7,98,8,---,---,
Cabecera altura,21:48:54,---,---,---,---,---,---,
Cabecera altura,21:49:14,---,---,---,---,---,---,
Cabecera altura,21:49:37,---,---,---,---,---,---,
Cabecera altura,21:50:00,954,4,---,---,---,---,
Cabecera altura,21:50:24,---,---,---,---,---,---,
Cabecera altura,21:50:47,1858,4,28,6,---,---,
Cabecera altura,21:51:11,1883,0,---,---,---,---,
Cabecera altura,21:51:34,---,---,---,---,---,---,
Cabecera altura,21:51:57,1769,1,---,---,---,---,
Cabecera altura,21:52:21,---,---,---,---,---,---,
Cabecera altura,21:52:42,23,9,---,---,---,---,
Cabecera altura,21:53:07,---,99,1,---,---,---,
Cabecera altura,21:53:29,1984,3,99,0,---,---,
Cabecera altura,21:53:54,---,---,---,---,---,---,
Cabecera altura,21:54:15,1487,2,---,---,---,---,
Cabecera altura,21:54:38,---,---,---,---,---,---,
Cabecera altura,21:55:01,1910,3,100,0,---,---,
Cabecera altura,21:55:22,---,99,0,---,---,---,
Cabecera altura,21:55:45,1984,4,99,0,---,---,
Cabecera altura,21:56:09,1984,6,98,9,---,---,
Cabecera altura,21:56:35,---,---,---,---,---,---,
Cabecera altura,21:57:00,1984,1,99,2,---,---,
Cabecera altura,21:57:22,---,---,---,---,---,---,
Cabecera altura,21:57:44,1810,4,---,---,---,---,
Cabecera altura,21:58:05,---,99,0,---,---,---,
Cabecera altura,21:58:29,1984,5,99,0,---,---,
Cabecera altura,21:58:49,---,---,---,---,---,---,
Cabecera altura,21:59:13,1984,7,98,9,---,---,
Cabecera altura,21:59:38,1985,0,99,0,---,---,
Cabecera altura,22:00:00,---,---,---,---,---,---,
Cabecera altura,22:00:23,207,9,---,---,---,---,
Cabecera altura,22:00:46,---,---,---,---,---,---,
Cabecera altura,22:01:04,27,9,---,---,---,---,
Cabecera altura,22:01:26,---,---,---,---,---,---,
Cabecera altura,22:01:47,428,5,---,---,---,---,
Cabecera altura,22:02:11,---,---,---,---,---,---,
Cabecera altura,22:02:32,1984,4,---,---,---,---,
Cabecera altura,22:02:53,---,---,---,---,---,---,
Cabecera altura,22:03:16,618,8,---,---,---,---,
Cabecera altura,22:03:37,---,---,---,---,---,---,
Cabecera altura,22:03:56,55,2,---,---,---,---,
Cabecera altura,22:04:21,---,99,0,---,---,---,
Cabecera altura,22:04:44,1794,8,---,---,---,---,
Cabecera altura,22:05:08,---,99,1,---,---,---,
Cabecera altura,22:05:29,761,1,---,---,---,---,
Cabecera altura,22:05:52,---,---,---,---,---,---,
Cabecera altura,22:06:11,532,3,---,---,---,---,
Cabecera altura,22:06:34,---,99,2,---,---,---,
Cabecera altura,22:06:56,1983,8,---,---,---,---,
Cabecera altura,22:07:18,---,---,---,---,---,---,
Cabecera altura,22:07:39,173,1,---,---,---,---,
Cabecera altura,22:08:01,---,---,---,---,---,---,
Cabecera altura,22:08:23,794,9,---,---,---,---,
Cabecera altura,22:08:47,---,99,3,---,---,---,
Cabecera altura,22:09:08,245,6,---,---,---,---,
Cabecera altura,22:09:30,---,---,---,---,---,---,
Cabecera altura,22:09:52,111,5,---,---,---,---,
Cabecera altura,22:10:13,---,---,---,---,---,---,
Cabecera altura,22:10:37,1367,8,---,---,---,---,
Cabecera altura,22:10:57,---,---,---,---,---,---,
Cabecera altura,22:11:19,1688,2,---,---,---,---,
Cabecera altura,22:11:39,---,---,---,---,---,---,
Cabecera altura,22:12:03,1983,1,99,1,---,---,
Cabecera altura,22:12:27,---,---,---,---,---,---,
Cabecera altura,22:12:49,795,6,---,---,---,---,
Cabecera altura,22:13:12,---,99,2,---,---,---,
Cabecera altura,22:13:35,1591,0,---,---,---,---,
Cabecera altura,22:13:57,---,99,1,---,---,---,
Cabecera altura,22:14:21,1983,9,99,1,---,---,
Cabecera altura,22:14:42,---,---,---,---,---,---,
Cabecera altura,22:15:03,335,9,---,---,---,---,
Cabecera altura,22:15:23,---,---,---,---,---,---,
Cabecera altura,22:15:43,470,0,---,---,---,---,
Cabecera altura,22:16:07,---,99,0,---,---,---,
Cabecera altura,22:16:31,1983,4,99,1,---,---,
Cabecera altura,22:16:55,1983,9,99,0,---,---,
Cabecera altura,22:17:17,1984,3,99,2,---,---,
Cabecera altura,22:17:38,---,---,---,---,---,---,
Cabecera altura,22:18:00,1984,1,99,0,---,---,
Cabecera altura,22:18:23,1984,2,99,2,---,---,
Cabecera altura,22:18:47,---,---,---,---,---,---,
Cabecera altura,22:19:09,1983,9,99,2,---,---,
Cabecera altura,22:19:28,---,---,---,---,---,---,
Cabecera altura,22:19:52,1387,4,---,---,---,---,
Cabecera altura,22:20:13,---,---,---,---,---,---,
Cabecera altura,22:20:34,0,5,---,---,---,---,
Cabecera altura,22:20:56,---,---,---,---,---,---,
Cabecera altura,22:21:21,1983,2,99,2,---,---,
Cabecera altura,22:21:44,---,---,---,---,---,---,
Cabecera altura,22:22:10,1798,3,---,---,---,---,
Cabecera altura,22:22:34,1764,8,---,---,---,---,
Cabecera altura,22:23:00,---,---,---,---,---,---,
Cabecera altura,22:23:24,1274,5,---,---,---,---,
Cabecera altura,22:23:46,---,---,---,---,---,---,
