Code,Tiempo,Escalas(m),Datos1(m),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Alineamiento de Estribor,05:37:04,1412,8,1,9,---,---,
Alineamiento de Estribor,05:37:41,---,2,4,---,---,---,
Alineamiento de Estribor,05:38:24,---,---,---,---,---,---,
Alineamiento de Estribor,05:39:07,---,---,---,---,---,---,
Alineamiento de Estribor,05:39:46,1688,8,0,4,---,---,
Alineamiento de Estribor,05:40:26,1692,1,---,---,---,---,
Alineamiento de Estribor,05:41:05,1694,4,---,---,---,---,
Alineamiento de Estribor,05:41:45,---,---,---,---,---,---,
Alineamiento de Estribor,05:42:24,1694,4,0,4,---,---,
Alineamiento de Estribor,05:43:07,1634,7,---,---,---,---,
Alineamiento de Estribor,05:43:45,---,0,5,---,---,---,
Alineamiento de Estribor,05:44:23,1693,3,0,7,---,---,
Alineamiento de Estribor,05:45:02,1692,6,0,8,---,---,
Alineamiento de Estribor,05:45:41,---,---,---,---,---,---,
Alineamiento de Estribor,05:46:17,1692,6,0,4,---,---,
Alineamiento de Estribor,05:46:54,1692,7,2,4,---,---,
Alineamiento de Estribor,05:47:31,1692,0,0,7,---,---,
Alineamiento de Estribor,05:48:09,1692,3,0,4,---,---,
Alineamiento de Estribor,05:48:46,1692,9,0,1,---,---,
Alineamiento de Estribor,05:49:23,1692,5,0,3,---,---,
Alineamiento de Estribor,05:50:00,1692,7,0,4,---,---,
Alineamiento de Estribor,05:50:37,1692,4,0,5,---,---,
Alineamiento de Estribor,05:51:15,1692,5,0,5,---,---,
Alineamiento de Estribor,05:51:55,1692,4,1,7,---,---,
Alineamiento de Estribor,05:52:32,1693,1,3,2,---,---,
Alineamiento de Estribor,05:53:10,1694,2,1,4,---,---,
Alineamiento de Estribor,05:53:50,1694,7,---,---,---,---,
Alineamiento de Estribor,05:54:27,1695,8,3,1,---,---,
Alineamiento de Estribor,05:55:06,1697,5,---,---,---,---,
Alineamiento de Estribor,05:55:44,1697,0,---,---,---,---,
Alineamiento de Estribor,05:56:23,1697,0,---,---,---,---,
Alineamiento de Estribor,05:57:01,1698,1,---,---,---,---,
Alineamiento de Estribor,05:57:38,1697,7,5,0,---,---,
Alineamiento de Estribor,05:58:15,1697,6,---,---,---,---,
