Code,Tiempo,Escalas(m),Datos1(°),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Estribor,04:00:46,---,---,---,---,---,---,
Estribor,04:01:52,1866,7,-14,6,---,---,
Estribor,04:03:08,1794,6,---,---,---,---,
Estribor,04:04:16,1795,3,8,5,---,---,
Estribor,04:05:31,1793,2,10,0,---,---,
Estribor,04:06:47,1793,3,8,3,---,---,
Estribor,04:08:03,1794,6,9,0,---,---,
Estribor,04:09:11,1794,9,7,6,---,---,
Estribor,04:10:12,1794,9,105,0,---,---,
Estribor,04:11:11,1794,8,---,---,---,---,
Estribor,04:12:19,1795,2,2,3,---,---,
Estribor,04:13:35,1797,1,2,0,---,---,
Estribor,04:14:51,1797,4,1,4,---,---,
Estribor,04:15:51,1797,6,1,2,---,---,
Estribor,04:17:07,1798,2,0,0,---,---,
Estribor,04:18:23,---,---,---,---,---,---,
Estribor,04:19:23,1798,4,1,1,---,---,
Estribor,04:20:23,1799,2,1,3,---,---,
Estribor,04:21:23,1798,7,1,2,---,---,
Estribor,04:22:24,1798,9,---,---,---,---,
Estribor,04:23:33,1798,7,---,---,---,---,
Estribor,04:24:24,1798,9,2,1,---,---,
Estribor,04:25:32,1798,5,1,4,---,---,
Estribor,04:26:41,1798,5,---,---,---,---,
Estribor,04:27:34,1798,5,---,---,---,---,
Estribor,04:28:42,1798,3,---,---,---,---,
Estribor,04:29:42,1798,2,---,---,---,---,
Estribor,04:30:34,1798,2,---,---,---,---,
Estribor,04:31:44,---,---,---,---,---,---,
Estribor,04:32:35,1798,3,---,---,---,---,
Estribor,04:33:27,1798,4,---,---,---,---,
Estribor,04:34:34,1798,4,0,6,---,---,
Estribor,04:35:50,1798,2,0,6,---,---,
Estribor,04:36:58,1798,2,0,2,---,---,
Estribor,04:38:06,1798,7,0,6,---,---,
Estribor,04:39:21,1798,2,0,1,---,---,
Estribor,04:40:29,1798,5,-1,5,---,---,
Estribor,04:41:45,1798,5,0,3,---,---,
Estribor,04:42:53,1798,3,0,8,---,---,
Estribor,04:44:01,1798,7,0,0,---,---,
Estribor,04:45:11,---,---,---,---,---,---,
Estribor,04:46:09,1798,3,1,1,---,---,
Estribor,04:47:24,1798,6,0,7,---,---,
Estribor,04:48:40,1798,7,0,0,---,---,
Estribor,04:49:40,1798,8,0,1,---,---,
Estribor,04:50:56,1799,3,-0,1,---,---,
Estribor,04:52:04,1798,9,0,8,---,---,
Estribor,04:53:20,1798,9,1,0,---,---,
Estribor,04:54:27,1799,0,0,5,---,---,
Estribor,04:55:43,1798,7,0,5,---,---,
Estribor,04:56:51,1798,8,-0,4,---,---,
Estribor,04:58:07,1799,4,-0,9,---,---,
Estribor,04:59:23,1800,0,-0,2,---,---,
Estribor,05:00:23,1799,5,-0,5,---,---,
Estribor,05:01:23,1799,3,0,8,---,---,
Estribor,05:02:32,1799,5,---,---,---,---,
Estribor,05:03:40,1799,3,---,---,---,---,
Estribor,05:04:47,1800,0,-1,0,---,---,
Estribor,05:06:03,1799,6,1,2,---,---,
Estribor,05:07:11,1799,5,-1,7,---,---,
Estribor,05:08:27,1799,2,---,---,---,---,
Estribor,05:09:34,1799,1,-0,1,---,---,
Estribor,05:10:34,1798,8,-1,8,---,---,
Estribor,05:11:34,1799,0,0,2,---,---,
Estribor,05:12:50,1798,9,0,9,---,---,
Estribor,05:13:58,1799,3,0,4,---,---,
Estribor,05:14:58,1798,9,0,0,---,---,
Estribor,05:16:06,1799,1,0,1,---,---,
Estribor,05:17:15,1799,3,---,---,---,---,
Estribor,05:18:22,1798,7,-0,4,---,---,
Estribor,05:19:30,1799,3,1,7,---,---,
Estribor,05:20:38,1799,2,0,2,---,---,
Estribor,05:21:54,1798,6,-0,1,---,---,
Estribor,05:23:01,1799,2,1,6,---,---,
Estribor,05:24:17,1799,1,---,---,---,---,
Estribor,05:25:24,1798,8,-0,4,---,---,
Estribor,05:26:32,1799,0,-2,6,---,---,
Estribor,05:27:40,1799,2,-0,5,---,---,
Estribor,05:28:56,1799,5,-0,8,---,---,
Estribor,05:30:04,1799,2,-0,2,---,---,
Estribor,05:31:12,1799,0,0,5,---,---,
Estribor,05:32:19,1799,4,0,3,---,---,
Estribor,05:33:34,1799,5,-0,6,---,---,
Estribor,05:34:42,1799,6,1,3,---,---,
Estribor,05:36:00,---,---,---,---,---,---,
Estribor,05:36:58,1799,9,1,7,---,---,
Estribor,05:38:23,1799,5,---,---,---,---,
Estribor,05:39:24,---,---,---,---,---,---,
Estribor,05:40:22,---,102,1,---,---,---,
Estribor,05:41:30,1799,3,0,4,---,---,
Estribor,05:42:45,---,---,---,---,---,---,
Estribor,05:43:53,1799,2,1,2,---,---,
Estribor,05:44:53,1799,2,0,8,---,---,
Estribor,05:45:53,1799,2,-0,5,---,---,
Estribor,05:47:01,1799,1,-0,4,---,---,
Estribor,05:48:11,---,---,---,---,---,---,
Estribor,05:49:17,1799,4,0,7,---,---,
Estribor,05:50:41,1800,1,---,---,---,---,
Estribor,05:51:41,1799,5,1,9,---,---,
Estribor,05:52:42,1800,2,---,---,---,---,
Estribor,05:53:57,1800,2,1,8,---,---,
Estribor,05:55:05,1799,9,---,---,---,---,
Estribor,05:56:20,1799,8,0,0,---,---,
Estribor,05:57:37,1800,9,---,---,---,---,
Estribor,05:58:44,1800,9,-0,2,---,---,
Estribor,05:59:52,1800,7,-1,0,---,---,
Estribor,06:01:10,---,---,---,---,---,---,
Estribor,06:02:16,1801,0,---,---,---,---,
Estribor,06:03:16,1801,2,---,---,---,---,
Estribor,06:04:39,1801,5,-0,6,---,---,
Estribor,06:05:55,1801,3,0,0,---,---,
Estribor,06:07:03,1801,3,-0,5,---,---,
Estribor,06:08:03,1801,3,-1,5,---,---,
Estribor,06:09:12,1802,1,---,---,---,---,
Estribor,06:10:20,1801,2,---,---,---,---,
Estribor,06:11:43,1801,6,-1,9,---,---,
Estribor,06:12:53,---,---,---,---,---,---,
Estribor,06:14:08,---,---,---,---,---,---,
Estribor,06:14:58,1801,5,-0,7,---,---,
Estribor,06:16:14,1801,2,-1,9,---,---,
Estribor,06:17:22,1801,4,-1,7,---,---,
Estribor,06:18:22,1801,3,-0,9,---,---,
Estribor,06:19:25,---,---,---,---,---,---,
Estribor,06:20:23,1801,0,---,---,---,---,
Estribor,06:21:23,1801,1,-0,8,---,---,
Estribor,06:22:39,1801,3,---,---,---,---,
Estribor,06:23:47,1802,7,0,2,---,---,
Estribor,06:24:56,1801,3,---,---,---,---,
Estribor,06:25:55,1800,7,-2,4,---,---,
Estribor,06:27:05,---,---,---,---,---,---,
Estribor,06:28:12,1800,9,---,---,---,---,
Estribor,06:29:19,1801,1,-0,1,---,---,
Estribor,06:30:27,1800,9,0,5,---,---,
Estribor,06:31:42,1800,6,-0,8,---,---,
Estribor,06:32:52,---,---,---,---,---,---,
Estribor,06:33:51,1801,1,---,---,---,---,
Estribor,06:34:59,1800,7,-1,4,---,---,
Estribor,06:36:09,---,---,---,---,---,---,
Estribor,06:37:16,1801,3,---,---,---,---,
Estribor,06:38:33,---,---,---,---,---,---,
Estribor,06:39:25,---,---,---,---,---,---,
Estribor,06:40:24,1800,6,---,---,---,---,
Estribor,06:41:31,1800,7,-0,1,---,---,
Estribor,06:42:34,---,---,---,---,---,---,
Estribor,06:43:40,1800,9,---,---,---,---,
Estribor,06:44:33,1800,9,---,---,---,---,
