Code,Tiempo,Escalas(m),Datos1(m),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Abertura,16:50:26,1731,8,---,---,---,---,
Abertura,16:50:53,1733,1,---,---,---,---,
Abertura,16:51:19,1732,6,---,---,---,---,
Abertura,16:51:48,---,---,---,---,---,---,
Abertura,16:52:15,1732,9,---,---,---,---,
Abertura,16:52:43,---,---,---,---,---,---,
Abertura,16:53:12,---,---,---,---,---,---,
Abertura,16:53:40,---,---,---,---,---,---,
Abertura,16:54:09,---,---,---,---,---,---,
Abertura,16:54:37,1733,0,---,---,---,---,
Abertura,16:55:05,1732,6,---,---,---,---,
Abertura,16:55:31,1733,2,---,---,---,---,
Abertura,16:55:59,---,---,---,---,---,---,
Abertura,16:56:27,1732,4,---,---,---,---,
Abertura,16:56:53,1733,0,---,---,---,---,
Abertura,16:57:20,1733,3,---,---,---,---,
Abertura,16:57:48,1733,4,---,---,---,---,
Abertura,16:58:16,---,---,---,---,---,---,
Abertura,16:58:46,---,---,---,---,---,---,
Abertura,16:59:16,---,---,---,---,---,---,
Abertura,16:59:45,---,---,---,---,---,---,
Abertura,17:00:11,---,---,---,---,---,---,
Abertura,17:00:38,---,---,---,---,---,---,
Abertura,17:01:05,1416,2,---,---,---,---,
Abertura,17:01:31,---,---,---,---,---,---,
Abertura,17:01:57,---,---,---,---,---,---,
Abertura,17:02:27,---,---,---,---,---,---,
Abertura,17:02:55,---,---,---,---,---,---,
Abertura,17:03:21,1733,4,---,---,---,---,
Abertura,17:03:46,1732,7,---,---,---,---,
Abertura,17:04:15,---,---,---,---,---,---,
Abertura,17:04:41,1734,0,---,---,---,---,
Abertura,17:05:09,---,---,---,---,---,---,
Abertura,17:05:39,---,---,---,---,---,---,
Abertura,17:06:04,1732,9,---,---,---,---,
Abertura,17:06:29,1732,6,---,---,---,---,
Abertura,17:06:56,---,---,---,---,---,---,
Abertura,17:07:23,1732,9,---,---,---,---,
Abertura,17:07:51,---,---,---,---,---,---,
Abertura,17:08:19,1732,0,---,---,---,---,
Abertura,17:08:47,---,---,---,---,---,---,
Abertura,17:09:15,---,---,---,---,---,---,
Abertura,17:09:41,1732,7,---,---,---,---,
Abertura,17:10:07,1732,3,---,---,---,---,
Abertura,17:10:35,---,---,---,---,---,---,
Abertura,17:11:03,---,---,---,---,---,---,
Abertura,17:11:29,1732,0,---,---,---,---,
Abertura,17:11:56,---,---,---,---,---,---,
Abertura,17:12:24,---,---,---,---,---,---,
Abertura,17:12:51,---,---,---,---,---,---,
Abertura,17:13:15,1733,1,---,---,---,---,
Abertura,17:13:44,1732,3,---,---,---,---,
Abertura,17:14:11,---,---,---,---,---,---,
Abertura,17:14:37,1732,7,---,---,---,---,
Abertura,17:15:05,1732,7,---,---,---,---,
Abertura,17:15:33,1733,1,---,---,---,---,
Abertura,17:15:59,1732,9,---,---,---,---,
Abertura,17:16:28,---,---,---,---,---,---,
Abertura,17:16:57,---,---,---,---,---,---,
Abertura,17:17:27,---,---,---,---,---,---,
Abertura,17:17:52,1732,9,128,2,---,---,
Abertura,17:18:18,1733,2,123,4,---,---,
Abertura,17:18:44,1733,2,121,3,---,---,
Abertura,17:19:13,---,---,---,---,---,---,
Abertura,17:19:40,1733,7,119,7,---,---,
Abertura,17:20:09,---,---,---,---,---,---,
Abertura,17:20:38,---,---,---,---,---,---,
Abertura,17:21:06,---,---,---,---,---,---,
Abertura,17:21:35,---,---,---,---,---,---,
Abertura,17:22:05,---,---,---,---,---,---,
Abertura,17:22:32,---,---,---,---,---,---,
Abertura,17:23:00,---,---,---,---,---,---,
Abertura,17:23:30,---,---,---,---,---,---,
Abertura,17:23:58,---,---,---,---,---,---,
Abertura,17:24:23,---,---,---,---,---,---,
Abertura,17:24:52,---,---,---,---,---,---,
Abertura,17:25:20,---,---,---,---,---,---,
Abertura,17:25:48,---,---,---,---,---,---,
Abertura,17:26:18,---,---,---,---,---,---,
Abertura,17:26:45,---,---,---,---,---,---,
Abertura,17:27:14,---,---,---,---,---,---,
Abertura,17:27:42,---,---,---,---,---,---,
Abertura,17:28:07,1734,4,113,7,---,---,
Abertura,17:28:35,---,---,---,---,---,---,
Abertura,17:29:05,---,---,---,---,---,---,
Abertura,17:29:33,---,---,---,---,---,---,
Abertura,17:30:01,---,---,---,---,---,---,
Abertura,17:30:30,---,---,---,---,---,---,
Abertura,17:31:00,---,---,---,---,---,---,
Abertura,17:31:27,1954,9,---,---,---,---,
Abertura,17:31:55,---,---,---,---,---,---,
Abertura,17:32:25,---,---,---,---,---,---,
Abertura,17:32:55,---,---,---,---,---,---,
Abertura,17:33:24,---,---,---,---,---,---,
Abertura,17:33:53,---,---,---,---,---,---,
Abertura,17:34:23,---,---,---,---,---,---,
Abertura,17:34:50,1733,0,---,---,---,---,
Abertura,17:35:19,---,---,---,---,---,---,
Abertura,17:35:48,---,---,---,---,---,---,
Abertura,17:36:15,1731,9,---,---,---,---,
Abertura,17:36:44,---,---,---,---,---,---,
Abertura,17:37:13,---,---,---,---,---,---,
Abertura,17:37:43,---,---,---,---,---,---,
Abertura,17:38:11,---,---,---,---,---,---,
Abertura,17:40:27,1731,8,---,---,---,---,
Abertura,17:42:41,---,---,---,---,---,---,
Abertura,17:44:53,---,---,---,---,---,---,
Abertura,17:47:05,---,---,---,---,---,---,
Abertura,17:49:15,1730,8,110,3,---,---,
Abertura,17:51:57,---,---,---,---,---,---,
Abertura,17:54:09,1733,4,---,---,---,---,
Abertura,17:56:22,---,---,---,---,---,---,
Abertura,17:59:00,1732,3,111,8,---,---,
Abertura,18:02:10,---,---,---,---,---,---,
Abertura,18:04:48,1732,2,109,7,---,---,
Abertura,18:07:58,---,---,---,---,---,---,
Abertura,18:10:10,---,---,---,---,---,---,
