Code,Tiempo,Escalas(m),Datos1(°),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Babor,03:50:13,---,---,---,---,---,---,
Babor,03:50:37,---,---,---,---,---,---,
Babor,03:51:01,---,---,---,---,---,---,
Babor,03:51:25,---,---,---,---,---,---,
Babor,03:51:49,---,---,---,---,---,---,
Babor,03:52:14,---,---,---,---,---,---,
Babor,03:52:38,---,---,---,---,---,---,
Babor,03:53:02,---,---,---,---,---,---,
Babor,03:53:26,---,---,---,---,---,---,
Babor,03:53:51,---,---,---,---,---,---,
Babor,03:54:15,---,---,---,---,---,---,
Babor,03:54:39,---,---,---,---,---,---,
Babor,03:55:03,---,---,---,---,---,---,
Babor,03:55:27,---,---,---,---,---,---,
Babor,03:55:51,---,---,---,---,---,---,
Babor,03:56:15,---,---,---,---,---,---,
Babor,03:56:40,---,---,---,---,---,---,
Babor,03:57:04,---,---,---,---,---,---,
Babor,03:57:28,---,---,---,---,---,---,
Babor,03:57:52,---,---,---,---,---,---,
Babor,03:58:16,---,---,---,---,---,---,
Babor,03:58:40,---,---,---,---,---,---,
Babor,03:59:04,---,---,---,---,---,---,
Babor,03:59:29,---,---,---,---,---,---,
Babor,03:59:53,---,---,---,---,---,---,
Babor,04:00:17,---,---,---,---,---,---,
Babor,04:00:41,---,---,---,---,---,---,
Babor,04:01:05,---,---,---,---,---,---,
Babor,04:01:32,---,---,---,---,---,---,
Babor,04:01:56,---,---,---,---,---,---,
Babor,04:02:21,---,---,---,---,---,---,
Babor,04:02:45,---,---,---,---,---,---,
Babor,04:03:09,---,---,---,---,---,---,
Babor,04:03:33,---,---,---,---,---,---,
Babor,04:03:57,---,---,---,---,---,---,
Babor,04:04:21,---,---,---,---,---,---,
Babor,04:04:46,---,---,---,---,---,---,
Babor,04:05:10,---,---,---,---,---,---,
Babor,04:05:34,---,---,---,---,---,---,
Babor,04:05:58,---,---,---,---,---,---,
Babor,04:06:22,---,---,---,---,---,---,
Babor,04:06:47,---,---,---,---,---,---,
Babor,04:07:11,---,---,---,---,---,---,
Babor,04:07:35,---,---,---,---,---,---,
Babor,04:07:59,---,---,---,---,---,---,
Babor,04:08:23,---,---,---,---,---,---,
Babor,04:08:47,---,---,---,---,---,---,
Babor,04:09:11,---,---,---,---,---,---,
Babor,04:09:36,---,---,---,---,---,---,
Babor,04:10:00,---,---,---,---,---,---,
Babor,04:10:27,---,---,---,---,---,---,
Babor,04:10:54,---,---,---,---,---,---,
Babor,04:11:18,---,---,---,---,---,---,
Babor,04:11:43,---,---,---,---,---,---,
Babor,04:12:07,---,---,---,---,---,---,
Babor,04:12:31,---,---,---,---,---,---,
Babor,04:12:55,---,---,---,---,---,---,
Babor,04:13:19,---,---,---,---,---,---,
Babor,04:13:47,---,---,---,---,---,---,
Babor,04:14:11,---,---,---,---,---,---,
Babor,04:14:35,---,---,---,---,---,---,
Babor,04:14:59,---,---,---,---,---,---,
Babor,04:15:24,---,---,---,---,---,---,
Babor,04:15:48,---,---,---,---,---,---,
Babor,04:16:12,---,---,---,---,---,---,
Babor,04:16:37,---,---,---,---,---,---,
Babor,04:17:01,---,---,---,---,---,---,
Babor,04:17:25,---,---,---,---,---,---,
Babor,04:17:49,---,---,---,---,---,---,
Babor,04:18:13,---,---,---,---,---,---,
Babor,04:18:37,---,---,---,---,---,---,
Babor,04:19:02,---,---,---,---,---,---,
Babor,04:19:26,---,---,---,---,---,---,
Babor,04:19:50,---,---,---,---,---,---,
Babor,04:20:14,---,---,---,---,---,---,
Babor,04:20:38,---,---,---,---,---,---,
Babor,04:21:02,---,---,---,---,---,---,
Babor,04:21:26,---,---,---,---,---,---,
Babor,04:21:51,---,---,---,---,---,---,
Babor,04:22:15,---,---,---,---,---,---,
Babor,04:22:39,---,---,---,---,---,---,
Babor,04:23:03,---,---,---,---,---,---,
Babor,04:23:27,---,---,---,---,---,---,
Babor,04:23:51,---,---,---,---,---,---,
Babor,04:24:16,---,---,---,---,---,---,
Babor,04:24:40,---,---,---,---,---,---,
Babor,04:25:04,---,---,---,---,---,---,
Babor,04:25:28,---,---,---,---,---,---,
Babor,04:25:52,---,---,---,---,---,---,
Babor,04:26:17,---,---,---,---,---,---,
Babor,04:26:41,---,---,---,---,---,---,
Babor,04:27:05,---,---,---,---,---,---,
Babor,04:27:32,---,---,---,---,---,---,
Babor,04:27:56,---,---,---,---,---,---,
Babor,04:28:20,---,---,---,---,---,---,
Babor,04:28:44,---,---,---,---,---,---,
Babor,04:29:08,---,---,---,---,---,---,
Babor,04:29:32,---,---,---,---,---,---,
Babor,04:29:57,---,---,---,---,---,---,
Babor,04:30:21,---,---,---,---,---,---,
Babor,04:30:45,---,---,---,---,---,---,
Babor,04:31:09,---,---,---,---,---,---,
Babor,04:31:33,---,---,---,---,---,---,
Babor,04:31:57,---,---,---,---,---,---,
Babor,04:32:24,---,---,---,---,---,---,
Babor,04:32:49,---,---,---,---,---,---,
Babor,04:33:13,---,---,---,---,---,---,
Babor,04:33:37,---,---,---,---,---,---,
Babor,04:34:01,---,---,---,---,---,---,
Babor,04:34:28,---,---,---,---,---,---,
Babor,04:34:53,---,---,---,---,---,---,
Babor,04:35:17,---,---,---,---,---,---,
Babor,04:35:41,---,---,---,---,---,---,
Babor,04:36:05,---,---,---,---,---,---,
Babor,04:36:30,---,---,---,---,---,---,
Babor,04:36:54,---,---,---,---,---,---,
Babor,04:37:18,---,---,---,---,---,---,
Babor,04:37:45,---,---,---,---,---,---,
Babor,04:38:09,---,---,---,---,---,---,
Babor,04:38:34,---,---,---,---,---,---,
Babor,04:38:58,---,---,---,---,---,---,
Babor,04:39:22,---,---,---,---,---,---,
Babor,04:39:46,---,---,---,---,---,---,
Babor,04:40:10,---,---,---,---,---,---,
Babor,04:40:34,---,---,---,---,---,---,
Babor,04:40:59,---,---,---,---,---,---,
Babor,04:41:23,---,---,---,---,---,---,
Babor,04:41:47,---,---,---,---,---,---,
Babor,04:42:14,---,---,---,---,---,---,
Babor,04:42:38,---,---,---,---,---,---,
Babor,04:43:05,---,---,---,---,---,---,
Babor,04:43:29,---,---,---,---,---,---,
Babor,04:43:53,---,---,---,---,---,---,
Babor,04:44:18,---,---,---,---,---,---,
Babor,04:44:42,---,---,---,---,---,---,
Babor,04:45:09,---,---,---,---,---,---,
Babor,04:45:33,---,---,---,---,---,---,
Babor,04:45:57,---,---,---,---,---,---,
Babor,04:46:23,---,---,---,---,---,---,
Babor,04:46:47,---,---,---,---,---,---,
Babor,04:47:11,---,---,---,---,---,---,
Babor,04:47:35,---,---,---,---,---,---,
Babor,04:47:59,---,---,---,---,---,---,
Babor,04:48:24,---,---,---,---,---,---,
Babor,04:48:48,---,---,---,---,---,---,
Babor,04:49:12,---,---,---,---,---,---,
Babor,04:49:36,---,---,---,---,---,---,
Babor,04:50:00,---,---,---,---,---,---,
Babor,04:50:27,---,---,---,---,---,---,
Babor,04:50:51,---,---,---,---,---,---,
Babor,04:51:15,---,---,---,---,---,---,
Babor,04:51:40,---,---,---,---,---,---,
Babor,04:52:04,---,---,---,---,---,---,
Babor,04:52:28,---,---,---,---,---,---,
Babor,04:52:52,---,---,---,---,---,---,
Babor,04:53:16,---,---,---,---,---,---,
Babor,04:53:40,---,---,---,---,---,---,
Babor,04:54:04,---,---,---,---,---,---,
Babor,04:54:29,---,---,---,---,---,---,
Babor,04:54:53,---,---,---,---,---,---,
Babor,04:55:17,---,---,---,---,---,---,
Babor,04:55:41,---,---,---,---,---,---,
Babor,04:56:05,---,---,---,---,---,---,
Babor,04:56:29,---,---,---,---,---,---,
Babor,04:56:53,---,---,---,---,---,---,
