[NOTUS TEXTFILE V3.3]
File Created: 26-nov-2019 17:48:57
Tow Date: 28-mar-2016 16:13:44


Transponder: E16G
Placement: Estribor

Code,Tiempo,Escalas(m),Datos1(°),Datos2(m),Latitude,Longitude,Sonda(m),Comment
E16G,16:13:53,---,---,---,---,---,---,
E16G,16:14:25,---,---,---,---,---,---,
E16G,16:14:57,---,---,---,---,---,---,
E16G,16:15:29,---,---,---,---,---,---,
E16G,16:16:01,---,---,---,---,---,---,
E16G,16:16:34,---,---,---,---,---,---,
E16G,16:17:06,---,---,---,---,---,---,
E16G,16:17:38,---,---,---,---,---,---,
E16G,16:18:10,---,---,---,---,---,---,
E16G,16:18:42,---,---,---,---,---,---,
E16G,16:19:14,---,---,---,---,---,---,
E16G,16:19:47,---,---,---,---,---,---,
E16G,16:20:19,---,---,---,---,---,---,
E16G,16:20:51,---,---,---,---,---,---,
E16G,16:21:23,---,---,---,---,---,---,
E16G,16:21:55,---,---,---,---,---,---,
E16G,16:22:28,---,---,---,---,---,---,
E16G,16:23:00,---,---,---,---,---,---,
E16G,16:23:32,---,---,---,---,---,---,
E16G,16:24:04,---,---,---,---,---,---,
E16G,16:24:36,---,---,---,---,---,---,
E16G,16:25:08,---,---,---,---,---,---,
E16G,16:25:41,---,---,---,---,---,---,
E16G,16:26:13,---,---,---,---,---,---,
E16G,16:26:45,---,---,---,---,---,---,
E16G,16:27:17,---,---,---,---,---,---,
E16G,16:27:49,---,---,---,---,---,---,
E16G,16:28:22,---,---,---,---,---,---,
E16G,16:28:54,---,---,---,---,---,---,
E16G,16:29:26,---,---,---,---,---,---,
E16G,16:29:58,---,---,---,---,---,---,
E16G,16:30:30,---,---,---,---,---,---,
E16G,16:31:02,---,---,---,---,---,---,
E16G,16:31:35,---,---,---,---,---,---,
E16G,16:32:07,---,---,---,---,---,---,
E16G,16:32:39,---,---,---,---,---,---,
E16G,16:33:11,---,---,---,---,---,---,
E16G,16:33:43,---,---,---,---,---,---,
E16G,16:34:16,---,---,---,---,---,---,
E16G,16:34:48,---,---,---,---,---,---,
E16G,16:35:20,---,---,---,---,---,---,
E16G,16:35:52,---,---,---,---,---,---,
E16G,16:36:24,---,---,---,---,---,---,
E16G,16:36:57,---,---,---,---,---,---,
E16G,16:37:29,---,---,---,---,---,---,
E16G,16:38:01,---,---,---,---,---,---,
E16G,16:38:33,---,---,---,---,---,---,
E16G,16:39:05,---,---,---,---,---,---,
E16G,16:39:37,---,---,---,---,---,---,
E16G,16:40:10,---,---,---,---,---,---,
E16G,16:40:42,---,---,---,---,---,---,
E16G,16:41:14,---,---,---,---,---,---,
E16G,16:41:46,---,---,---,---,---,---,
E16G,16:42:18,---,---,---,---,---,---,
E16G,16:42:51,---,---,---,---,---,---,
E16G,16:43:23,---,---,---,---,---,---,
E16G,16:43:55,---,---,---,---,---,---,
E16G,16:44:27,---,---,---,---,---,---,
E16G,16:44:59,---,---,---,---,---,---,
E16G,16:45:31,---,---,---,---,---,---,
E16G,16:46:04,---,---,---,---,---,---,
E16G,16:46:36,---,---,---,---,---,---,
E16G,16:47:08,---,---,---,---,---,---,
E16G,16:47:40,---,---,---,---,---,---,
E16G,16:48:12,---,---,---,---,---,---,
E16G,16:48:45,---,---,---,---,---,---,
E16G,16:49:17,---,---,---,---,---,---,
E16G,16:49:49,---,---,---,---,---,---,
E16G,16:50:21,---,---,---,---,---,---,
E16G,16:50:53,---,---,---,---,---,---,
E16G,16:51:25,---,---,---,---,---,---,
E16G,16:51:58,---,---,---,---,---,---,
E16G,16:52:30,---,---,---,---,---,---,
E16G,16:53:02,---,---,---,---,---,---,
E16G,16:53:34,---,---,---,---,---,---,
E16G,16:54:06,---,---,---,---,---,---,
E16G,16:54:39,---,---,---,---,---,---,
E16G,16:55:11,---,---,---,---,---,---,
E16G,16:55:43,---,---,---,---,---,---,
E16G,16:56:15,---,---,---,---,---,---,
E16G,16:56:47,---,---,---,---,---,---,
E16G,16:57:19,---,---,---,---,---,---,
E16G,16:57:52,---,---,---,---,---,---,
E16G,16:58:24,---,---,---,---,---,---,
E16G,16:58:56,---,---,---,---,---,---,
E16G,16:59:28,---,---,---,---,---,---,
E16G,17:00:00,---,---,---,---,---,---,
E16G,17:00:33,---,---,---,---,---,---,
E16G,17:01:05,---,---,---,---,---,---,
E16G,17:01:37,---,---,---,---,---,---,
E16G,17:02:09,---,---,---,---,---,---,
E16G,17:02:41,---,---,---,---,---,---,
E16G,17:03:13,---,---,---,---,---,---,
E16G,17:03:46,---,---,---,---,---,---,
E16G,17:04:18,---,---,---,---,---,---,
E16G,17:04:50,---,---,---,---,---,---,
E16G,17:05:22,---,---,---,---,---,---,
E16G,17:05:54,---,---,---,---,---,---,
E16G,17:06:27,---,---,---,---,---,---,
E16G,17:06:59,---,---,---,---,---,---,
E16G,17:07:31,---,---,---,---,---,---,
E16G,17:08:03,---,---,---,---,---,---,
E16G,17:08:35,---,---,---,---,---,---,
E16G,17:09:07,---,---,---,---,---,---,
E16G,17:09:40,---,---,---,---,---,---,
E16G,17:10:12,---,---,---,---,---,---,
E16G,17:10:44,---,---,---,---,---,---,
E16G,17:11:16,---,---,---,---,---,---,
E16G,17:11:48,---,---,---,---,---,---,
E16G,17:12:21,---,---,---,---,---,---,
E16G,17:12:53,---,---,---,---,---,---,
E16G,17:13:25,---,---,---,---,---,---,
E16G,17:13:57,---,---,---,---,---,---,
E16G,17:14:29,---,---,---,---,---,---,
E16G,17:15:01,---,---,---,---,---,---,
E16G,17:15:34,---,---,---,---,---,---,
E16G,17:16:06,---,---,---,---,---,---,
E16G,17:16:38,---,---,---,---,---,---,
E16G,17:17:10,---,---,---,---,---,---,
E16G,17:17:42,---,---,---,---,---,---,
E16G,17:18:15,---,---,---,---,---,---,
E16G,17:18:47,---,---,---,---,---,---,
