Code,Tiempo,Escalas(m),Datos1(°),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Babor,09:10:03,732,9,51,1,---,---,
Babor,09:10:33,---,---,---,---,---,---,
Babor,09:10:58,738,6,---,---,---,---,
Babor,09:11:21,733,3,---,---,---,---,
Babor,09:11:45,733,9,---,---,---,---,
Babor,09:12:10,732,9,---,---,---,---,
Babor,09:12:36,734,5,45,4,---,---,
Babor,09:13:01,733,5,---,---,---,---,
Babor,09:13:26,736,6,---,---,---,---,
Babor,09:13:52,732,5,50,1,---,---,
Babor,09:14:18,732,9,46,1,---,---,
Babor,09:14:46,732,6,---,---,---,---,
Babor,09:15:12,732,5,47,3,---,---,
Babor,09:15:40,733,6,45,0,---,---,
Babor,09:16:06,732,5,49,6,---,---,
Babor,09:16:30,732,4,48,1,---,---,
Babor,09:16:54,733,4,45,6,---,---,
Babor,09:17:18,732,8,49,6,---,---,
Babor,09:17:42,733,7,---,---,---,---,
Babor,09:18:08,732,9,---,---,---,---,
Babor,09:18:32,733,2,47,9,---,---,
Babor,09:18:58,732,6,---,---,---,---,
Babor,09:19:23,732,6,42,3,---,---,
Babor,09:19:51,733,2,---,---,---,---,
Babor,09:20:15,733,7,44,7,---,---,
Babor,09:20:40,733,5,---,---,---,---,
Babor,09:21:05,733,2,44,5,---,---,
Babor,09:21:34,738,2,---,---,---,---,
Babor,09:21:59,737,1,---,---,---,---,
Babor,09:22:22,---,---,---,---,---,---,
Babor,09:22:47,738,7,---,---,---,---,
Babor,09:23:12,732,9,---,---,---,---,
Babor,09:23:42,---,---,---,---,---,---,
Babor,09:24:07,732,9,---,---,---,---,
Babor,09:24:34,734,8,---,---,---,---,
Babor,09:24:55,733,0,49,5,---,---,
Babor,09:25:23,733,7,47,6,---,---,
Babor,09:25:55,---,---,---,---,---,---,
Babor,09:26:22,733,5,---,---,---,---,
Babor,09:26:49,---,---,---,---,---,---,
Babor,09:27:14,733,5,---,---,---,---,
Babor,09:27:44,---,---,---,---,---,---,
Babor,09:28:08,734,3,---,---,---,---,
Babor,09:28:35,732,2,---,---,---,---,
Babor,09:28:58,735,4,44,9,---,---,
Babor,09:29:22,732,9,---,---,---,---,
Babor,09:29:48,737,6,---,---,---,---,
Babor,09:30:12,734,8,42,4,---,---,
Babor,09:30:41,733,5,---,---,---,---,
Babor,09:31:04,733,7,45,6,---,---,
Babor,09:31:28,733,7,---,---,---,---,
Babor,09:31:55,733,7,---,---,---,---,
Babor,09:32:20,734,1,46,3,---,---,
Babor,09:32:45,732,8,45,2,---,---,
Babor,09:33:14,733,6,---,---,---,---,
Babor,09:33:39,733,3,48,5,---,---,
Babor,09:34:03,736,3,47,8,---,---,
Babor,09:34:25,733,5,46,7,---,---,
Babor,09:34:51,733,5,50,9,---,---,
Babor,09:35:17,733,6,---,---,---,---,
Babor,09:35:43,734,2,---,---,---,---,
Babor,09:36:10,733,7,---,---,---,---,
Babor,09:36:33,733,4,46,9,---,---,
Babor,09:36:59,734,4,---,---,---,---,
Babor,09:37:20,733,5,46,6,---,---,
Babor,09:37:46,733,8,50,1,---,---,
Babor,09:38:14,733,3,48,3,---,---,
Babor,09:38:40,733,3,47,2,---,---,
Babor,09:39:06,733,1,45,6,---,---,
Babor,09:39:35,736,7,---,---,---,---,
Babor,09:39:59,734,6,46,2,---,---,
Babor,09:40:25,733,3,47,8,---,---,
Babor,09:40:50,733,0,45,9,---,---,
Babor,09:41:18,734,2,---,---,---,---,
Babor,09:41:45,734,0,---,---,---,---,
Babor,09:42:07,732,3,43,7,---,---,
Babor,09:42:35,732,9,---,---,---,---,
Babor,09:42:57,735,0,39,8,---,---,
Babor,09:43:21,734,2,41,6,---,---,
Babor,09:43:46,733,6,43,2,---,---,
Babor,09:44:13,733,6,---,---,---,---,
Babor,09:44:39,734,0,---,---,---,---,
Babor,09:45:00,732,7,---,---,---,---,
Babor,09:45:23,732,4,---,---,---,---,
Babor,09:45:51,---,---,---,---,---,---,
Babor,09:46:16,734,3,---,---,---,---,
Babor,09:46:42,736,2,---,---,---,---,
Babor,09:47:08,733,4,---,---,---,---,
Babor,09:47:29,732,7,---,---,---,---,
Babor,09:47:51,733,9,43,4,---,---,
Babor,09:48:21,---,---,---,---,---,---,
Babor,09:48:46,733,2,44,1,---,---,
Babor,09:49:12,733,2,---,---,---,---,
Babor,09:49:35,733,0,39,3,---,---,
Babor,09:50:00,733,9,---,---,---,---,
Babor,09:50:26,733,4,39,4,---,---,
Babor,09:50:51,733,0,---,---,---,---,
Babor,09:51:15,733,2,42,2,---,---,
Babor,09:51:43,---,---,---,---,---,---,
Babor,09:52:09,736,4,40,1,---,---,
Babor,09:52:41,---,---,---,---,---,---,
Babor,09:53:08,---,---,---,---,---,---,
Babor,09:53:34,735,8,---,---,---,---,
Babor,09:54:02,---,---,---,---,---,---,
Babor,09:54:30,---,---,---,---,---,---,
Babor,09:54:53,732,8,---,---,---,---,
Babor,09:55:18,---,---,---,---,---,---,
Babor,09:55:46,---,---,---,---,---,---,
Babor,09:56:14,---,---,---,---,---,---,
Babor,09:56:43,---,---,---,---,---,---,
Babor,09:57:10,---,---,---,---,---,---,
Babor,09:57:31,734,0,44,0,---,---,
Babor,09:57:56,734,2,---,---,---,---,
Babor,09:58:18,736,4,---,---,---,---,
Babor,09:58:44,---,---,---,---,---,---,
Babor,09:59:07,735,0,---,---,---,---,
Babor,09:59:33,---,---,---,---,---,---,
Babor,09:59:57,735,0,---,---,---,---,
Babor,10:00:21,---,---,---,---,---,---,
Babor,10:00:44,769,7,47,6,---,---,
Babor,10:01:11,769,3,---,---,---,---,
Babor,10:01:38,---,---,---,---,---,---,
Babor,10:02:08,---,---,---,---,---,---,
Babor,10:02:33,771,2,48,3,---,---,
Babor,10:03:01,770,9,44,6,---,---,
Babor,10:03:28,---,---,---,---,---,---,
Babor,10:03:53,770,0,45,3,---,---,
Babor,10:04:18,769,0,---,---,---,---,
Babor,10:04:44,771,9,---,---,---,---,
Babor,10:05:09,769,6,---,---,---,---,
