Code,Tiempo,Escalas(m),Datos1(Fa),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Estribor,04:58:36,---,---,---,---,---,---,
Estribor,04:59:00,527,7,27,2,---,---,
Estribor,04:59:26,522,4,---,---,---,---,
Estribor,04:59:52,522,6,29,8,---,---,
Estribor,05:00:19,522,5,---,---,---,---,
Estribor,05:00:43,522,6,---,---,---,---,
Estribor,05:01:07,522,4,31,3,---,---,
Estribor,05:01:35,---,---,---,---,---,---,
Estribor,05:01:58,528,4,25,5,---,---,
Estribor,05:02:23,---,---,---,---,---,---,
Estribor,05:02:47,522,4,---,---,---,---,
Estribor,05:03:12,522,4,---,---,---,---,
Estribor,05:03:36,522,6,---,---,---,---,
Estribor,05:04:01,522,5,---,---,---,---,
Estribor,05:04:25,522,7,---,---,---,---,
Estribor,05:04:49,522,5,27,9,---,---,
Estribor,05:05:16,522,6,---,---,---,---,
Estribor,05:05:39,522,6,---,---,---,---,
Estribor,05:06:02,522,6,---,---,---,---,
Estribor,05:06:26,522,2,---,---,---,---,
Estribor,05:06:48,523,0,27,7,---,---,
Estribor,05:07:15,522,8,---,---,---,---,
Estribor,05:07:38,522,6,---,---,---,---,
Estribor,05:08:03,522,5,---,---,---,---,
Estribor,05:08:25,522,6,27,3,---,---,
Estribor,05:08:48,522,6,---,---,---,---,
Estribor,05:09:11,522,5,29,7,---,---,
Estribor,05:09:37,522,7,27,3,---,---,
Estribor,05:10:02,522,4,---,---,---,---,
Estribor,05:10:28,522,6,---,---,---,---,
Estribor,05:10:50,527,8,24,4,---,---,
Estribor,05:11:15,522,7,---,---,---,---,
Estribor,05:11:41,523,3,---,---,---,---,
Estribor,05:12:09,---,---,---,---,---,---,
Estribor,05:12:32,522,5,---,---,---,---,
Estribor,05:12:54,522,7,---,---,---,---,
Estribor,05:13:18,525,6,---,---,---,---,
Estribor,05:13:41,522,5,---,---,---,---,
Estribor,05:14:08,522,1,---,---,---,---,
Estribor,05:14:36,---,---,---,---,---,---,
Estribor,05:14:58,524,3,25,9,---,---,
Estribor,05:15:27,522,6,---,---,---,---,
Estribor,05:15:50,522,7,---,---,---,---,
Estribor,05:16:13,522,8,---,---,---,---,
Estribor,05:16:39,---,---,---,---,---,---,
Estribor,05:17:02,522,9,---,---,---,---,
Estribor,05:17:25,523,3,25,9,---,---,
Estribor,05:17:50,523,0,---,---,---,---,
Estribor,05:18:16,522,8,---,---,---,---,
Estribor,05:18:39,522,6,---,---,---,---,
Estribor,05:19:04,522,6,28,2,---,---,
Estribor,05:19:29,523,4,---,---,---,---,
Estribor,05:19:57,---,---,---,---,---,---,
Estribor,05:20:19,---,---,---,---,---,---,
Estribor,05:20:44,552,2,---,---,---,---,
Estribor,05:21:10,551,3,---,---,---,---,
Estribor,05:21:35,551,5,27,5,---,---,
Estribor,05:22:01,551,3,---,---,---,---,
Estribor,05:22:25,553,0,---,---,---,---,
Estribor,05:22:48,551,6,---,---,---,---,
