Code,Tiempo,Escalas(m),Datos1(°),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Starboard Door Heel,05:15:38,665,3,---,---,---,---,
Starboard Door Heel,05:16:02,665,3,---,---,---,---,
Starboard Door Heel,05:16:32,---,---,---,---,---,---,
Starboard Door Heel,05:16:55,666,0,---,---,---,---,
Starboard Door Heel,05:17:22,665,8,---,---,---,---,
Starboard Door Heel,05:17:48,667,2,---,---,---,---,
Starboard Door Heel,05:18:15,666,7,---,---,---,---,
Starboard Door Heel,05:18:39,665,7,---,---,---,---,
Starboard Door Heel,05:19:08,---,---,---,---,---,---,
Starboard Door Heel,05:19:34,666,0,---,---,---,---,
Starboard Door Heel,05:20:00,---,---,---,---,---,---,
Starboard Door Heel,05:20:23,668,1,---,---,---,---,
Starboard Door Heel,05:20:47,665,8,---,---,---,---,
Starboard Door Heel,05:21:13,665,8,---,---,---,---,
Starboard Door Heel,05:21:38,665,7,---,---,---,---,
Starboard Door Heel,05:22:02,666,0,---,---,---,---,
Starboard Door Heel,05:22:26,665,6,---,---,---,---,
Starboard Door Heel,05:22:51,665,7,---,---,---,---,
Starboard Door Heel,05:23:16,665,6,---,---,---,---,
Starboard Door Heel,05:23:40,666,7,---,---,---,---,
Starboard Door Heel,05:24:07,667,2,---,---,---,---,
Starboard Door Heel,05:24:32,666,1,---,---,---,---,
Starboard Door Heel,05:24:56,665,8,---,---,---,---,
Starboard Door Heel,05:25:24,---,---,---,---,---,---,
Starboard Door Heel,05:25:48,665,8,---,---,---,---,
Starboard Door Heel,05:26:13,665,8,---,---,---,---,
Starboard Door Heel,05:26:40,---,---,---,---,---,---,
Starboard Door Heel,05:27:03,671,4,---,---,---,---,
Starboard Door Heel,05:27:28,665,7,---,---,---,---,
Starboard Door Heel,05:27:54,667,4,---,---,---,---,
Starboard Door Heel,05:28:23,---,---,---,---,---,---,
Starboard Door Heel,05:28:46,666,0,---,---,---,---,
Starboard Door Heel,05:29:09,666,0,---,---,---,---,
Starboard Door Heel,05:29:34,666,1,---,---,---,---,
Starboard Door Heel,05:30:02,665,8,---,---,---,---,
Starboard Door Heel,05:30:28,---,---,---,---,---,---,
Starboard Door Heel,05:30:54,665,7,---,---,---,---,
Starboard Door Heel,05:31:20,666,2,---,---,---,---,
Starboard Door Heel,05:31:45,665,9,---,---,---,---,
Starboard Door Heel,05:32:11,---,---,---,---,---,---,
Starboard Door Heel,05:32:34,666,1,---,---,---,---,
Starboard Door Heel,05:33:02,---,---,---,---,---,---,
Starboard Door Heel,05:33:26,666,5,---,---,---,---,
Starboard Door Heel,05:33:50,666,1,---,---,---,---,
Starboard Door Heel,05:34:15,665,8,---,---,---,---,
Starboard Door Heel,05:34:40,665,9,---,---,---,---,
Starboard Door Heel,05:35:05,665,4,---,---,---,---,
Starboard Door Heel,05:35:27,665,9,---,---,---,---,
Starboard Door Heel,05:35:51,668,4,---,---,---,---,
Starboard Door Heel,05:36:15,665,3,---,---,---,---,
Starboard Door Heel,05:36:40,665,0,---,---,---,---,
Starboard Door Heel,05:37:04,665,0,---,---,---,---,
Starboard Door Heel,05:37:29,665,3,---,---,---,---,
Starboard Door Heel,05:37:54,665,6,---,---,---,---,
Starboard Door Heel,05:38:19,665,3,---,---,---,---,
Starboard Door Heel,05:38:42,665,4,---,---,---,---,
Starboard Door Heel,05:39:08,665,2,---,---,---,---,
Starboard Door Heel,05:39:35,665,1,---,---,---,---,
Starboard Door Heel,05:39:59,665,1,---,---,---,---,
Starboard Door Heel,05:40:28,---,---,---,---,---,---,
Starboard Door Heel,05:40:53,665,4,---,---,---,---,
Starboard Door Heel,05:41:19,665,3,---,---,---,---,
