Code,Tiempo,Escalas(m),Datos1(),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Capturas 1,05:40:25,---,---,---,---,---,---,
Capturas 1,05:40:50,---,---,---,---,---,---,
Capturas 1,05:41:15,---,---,---,---,---,---,
Capturas 1,05:41:39,---,---,---,---,---,---,
Capturas 1,05:42:06,---,---,---,---,---,---,
Capturas 1,05:42:32,---,---,---,---,---,---,
Capturas 1,05:42:59,---,---,---,---,---,---,
Capturas 1,05:43:23,---,---,---,---,---,---,
Capturas 1,05:43:51,---,---,---,---,---,---,
Capturas 1,05:44:16,---,---,---,---,---,---,
Capturas 1,05:44:43,---,---,---,---,---,---,
Capturas 1,05:45:08,---,---,---,---,---,---,
Capturas 1,05:45:33,---,---,---,---,---,---,
Capturas 1,05:45:58,---,---,---,---,---,---,
Capturas 1,05:46:23,---,---,---,---,---,---,
Capturas 1,05:46:49,---,---,---,---,---,---,
Capturas 1,05:47:14,---,---,---,---,---,---,
Capturas 1,05:47:39,---,---,---,---,---,---,
Capturas 1,05:48:01,---,---,---,---,---,---,
Capturas 1,05:48:27,---,---,---,---,---,---,
Capturas 1,05:48:52,---,---,---,---,---,---,
Capturas 1,05:49:15,---,---,---,---,---,---,
Capturas 1,05:49:40,---,---,---,---,---,---,
Capturas 1,05:50:04,---,---,---,---,---,---,
Capturas 1,05:50:31,---,---,---,---,---,---,
Capturas 1,05:50:59,---,---,---,---,---,---,
Capturas 1,05:51:23,---,---,---,---,---,---,
Capturas 1,05:51:50,---,---,---,---,---,---,
Capturas 1,05:52:17,---,---,---,---,---,---,
Capturas 1,05:52:43,---,---,---,---,---,---,
Capturas 1,05:53:08,---,---,---,---,---,---,
Capturas 1,05:53:35,---,---,---,---,---,---,
Capturas 1,05:54:01,---,---,---,---,---,---,
Capturas 1,05:54:26,---,---,---,---,---,---,
Capturas 1,05:54:53,---,---,---,---,---,---,
Capturas 1,05:55:16,---,---,---,---,---,---,
Capturas 1,05:55:43,---,---,---,---,---,---,
Capturas 1,05:56:09,---,---,---,---,---,---,
Capturas 1,05:56:36,---,---,---,---,---,---,
Capturas 1,05:57:05,---,---,---,---,---,---,
Capturas 1,05:57:32,---,---,---,---,---,---,
Capturas 1,05:58:00,---,---,---,---,---,---,
Capturas 1,05:58:23,---,---,---,---,---,---,
Capturas 1,05:58:46,---,---,---,---,---,---,
Capturas 1,05:59:13,---,---,---,---,---,---,
Capturas 1,05:59:40,---,---,---,---,---,---,
Capturas 1,06:00:07,---,---,---,---,---,---,
Capturas 1,06:00:34,---,---,---,---,---,---,
Capturas 1,06:00:59,---,---,---,---,---,---,
Capturas 1,06:01:24,---,---,---,---,---,---,
Capturas 1,06:01:49,---,---,---,---,---,---,
Capturas 1,06:02:17,---,---,---,---,---,---,
Capturas 1,06:02:44,---,---,---,---,---,---,
Capturas 1,06:03:11,---,---,---,---,---,---,
Capturas 1,06:03:35,---,---,---,---,---,---,
Capturas 1,06:04:02,---,---,---,---,---,---,
Capturas 1,06:04:29,---,---,---,---,---,---,
Capturas 1,06:04:53,---,---,---,---,---,---,
Capturas 1,06:05:18,---,---,---,---,---,---,
Capturas 1,06:05:45,---,---,---,---,---,---,
Capturas 1,06:06:12,---,---,---,---,---,---,
Capturas 1,06:06:40,---,---,---,---,---,---,
Capturas 1,06:07:07,---,---,---,---,---,---,
Capturas 1,06:07:34,---,---,---,---,---,---,
Capturas 1,06:07:59,---,---,---,---,---,---,
Capturas 1,06:08:28,---,---,---,---,---,---,
Capturas 1,06:08:56,---,---,---,---,---,---,
Capturas 1,06:09:21,---,---,---,---,---,---,
Capturas 1,06:09:49,---,---,---,---,---,---,
Capturas 1,06:10:16,---,---,---,---,---,---,
Capturas 1,06:10:41,---,---,---,---,---,---,
Capturas 1,06:11:09,---,---,---,---,---,---,
Capturas 1,06:11:38,---,---,---,---,---,---,
Capturas 1,06:12:08,---,---,---,---,---,---,
Capturas 1,06:12:33,---,---,---,---,---,---,
Capturas 1,06:13:01,---,---,---,---,---,---,
Capturas 1,06:13:24,---,---,---,---,---,---,
Capturas 1,06:13:49,---,---,---,---,---,---,
Capturas 1,06:14:15,---,---,---,---,---,---,
Capturas 1,06:14:42,---,---,---,---,---,---,
Capturas 1,06:15:07,---,---,---,---,---,---,
Capturas 1,06:15:35,---,---,---,---,---,---,
Capturas 1,06:16:02,---,---,---,---,---,---,
Capturas 1,06:16:29,---,---,---,---,---,---,
Capturas 1,06:16:56,---,---,---,---,---,---,
Capturas 1,06:17:23,---,---,---,---,---,---,
Capturas 1,06:17:51,---,---,---,---,---,---,
Capturas 1,06:18:16,---,---,---,---,---,---,
Capturas 1,06:18:41,---,---,---,---,---,---,
Capturas 1,06:19:07,---,---,---,---,---,---,
Capturas 1,06:19:30,---,---,---,---,---,---,
Capturas 1,06:19:57,---,---,---,---,---,---,
Capturas 1,06:20:26,---,---,---,---,---,---,
Capturas 1,06:20:54,---,---,---,---,---,---,
Capturas 1,06:21:16,---,---,---,---,---,---,
Capturas 1,06:21:44,---,---,---,---,---,---,
Capturas 1,06:22:09,---,---,---,---,---,---,
Capturas 1,06:22:39,---,---,---,---,---,---,
Capturas 1,06:23:06,---,---,---,---,---,---,
Capturas 1,06:23:35,---,---,---,---,---,---,
Capturas 1,06:24:03,---,---,---,---,---,---,
Capturas 1,06:24:32,---,---,---,---,---,---,
Capturas 1,06:25:00,---,---,---,---,---,---,
Capturas 1,06:25:27,---,---,---,---,---,---,
Capturas 1,06:25:55,---,---,---,---,---,---,
Capturas 1,06:26:22,---,---,---,---,---,---,
Capturas 1,06:26:49,---,---,---,---,---,---,
Capturas 1,06:27:19,---,---,---,---,---,---,
Capturas 1,06:27:46,---,---,---,---,---,---,
Capturas 1,06:28:15,---,---,---,---,---,---,
Capturas 1,06:28:43,---,---,---,---,---,---,
Capturas 1,06:29:12,---,---,---,---,---,---,
Capturas 1,06:29:39,---,---,---,---,---,---,
Capturas 1,06:30:08,---,---,---,---,---,---,
Capturas 1,06:30:34,---,---,---,---,---,---,
Capturas 1,06:30:56,---,---,---,---,---,---,
Capturas 1,06:31:22,---,---,---,---,---,---,
Capturas 1,06:31:45,---,---,---,---,---,---,
Capturas 1,06:32:12,---,---,---,---,---,---,
Capturas 1,06:32:37,---,---,---,---,---,---,
Capturas 1,06:33:01,---,---,---,---,---,---,
Capturas 1,06:33:25,---,---,---,---,---,---,
Capturas 1,06:33:49,---,---,---,---,---,---,
Capturas 1,06:34:15,---,---,---,---,---,---,
Capturas 1,06:34:40,---,---,---,---,---,---,
Capturas 1,06:35:06,---,---,---,---,---,---,
Capturas 1,06:35:33,---,---,---,---,---,---,
Capturas 1,06:35:59,---,---,---,---,---,---,
Capturas 1,06:36:24,---,---,---,---,---,---,
Capturas 1,06:36:51,---,---,---,---,---,---,
Capturas 1,06:37:14,---,---,---,---,---,---,
Capturas 1,06:37:40,---,---,---,---,---,---,
Capturas 1,06:38:02,---,---,---,---,---,---,
Capturas 1,06:38:26,---,---,---,---,---,---,
