Code,Tiempo,Escalas(m),Datos1(m),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Babor,02:26:25,55,6,19,5,---,---,
Babor,02:26:48,---,27,4,---,---,---,
Babor,02:27:12,156,0,32,1,---,---,
Babor,02:27:36,---,36,2,---,---,---,
Babor,02:27:59,264,1,36,7,---,---,
Babor,02:28:23,---,39,5,---,---,---,
Babor,02:28:47,386,9,44,7,---,---,
Babor,02:29:11,---,52,9,---,---,---,
Babor,02:29:34,510,2,57,3,---,---,
Babor,02:29:58,---,56,2,---,---,---,
Babor,02:30:22,648,0,45,5,---,---,
Babor,02:30:46,---,44,9,---,---,---,
Babor,02:31:11,792,4,46,6,---,---,
Babor,02:31:36,---,47,0,---,---,---,
Babor,02:32:00,938,9,47,1,---,---,
Babor,02:32:25,---,49,3,---,---,---,
Babor,02:32:50,1095,9,50,2,---,---,
Babor,02:33:13,---,49,1,---,---,---,
Babor,02:33:38,1186,1,47,3,---,---,
Babor,02:34:04,1186,5,48,4,---,---,
Babor,02:34:27,1186,1,48,6,---,---,
Babor,02:34:50,1186,0,47,8,---,---,
Babor,02:35:14,1185,6,47,7,---,---,
Babor,02:35:38,1185,6,47,9,---,---,
Babor,02:36:01,1185,3,47,6,---,---,
Babor,02:36:26,1186,5,47,3,---,---,
Babor,02:36:50,1184,6,48,8,---,---,
Babor,02:37:14,1188,2,45,8,---,---,
Babor,02:37:37,1184,8,48,9,---,---,
Babor,02:38:02,1184,9,48,8,---,---,
Babor,02:38:29,---,---,---,---,---,---,
Babor,02:38:51,1184,9,49,1,---,---,
Babor,02:39:17,---,---,---,---,---,---,
Babor,02:39:40,1185,0,51,0,---,---,
Babor,02:40:03,1184,6,52,3,---,---,
Babor,02:40:27,1184,4,49,9,---,---,
Babor,02:40:51,1184,7,49,4,---,---,
Babor,02:41:16,1185,1,46,6,---,---,
Babor,02:41:45,---,---,---,---,---,---,
Babor,02:42:12,---,---,---,---,---,---,
Babor,02:42:38,---,---,---,---,---,---,
Babor,02:43:00,1185,2,49,9,---,---,
Babor,02:43:24,1185,5,52,4,---,---,
Babor,02:43:49,1185,2,54,6,---,---,
Babor,02:44:14,1185,8,53,8,---,---,
Babor,02:44:41,---,---,---,---,---,---,
Babor,02:45:03,1185,8,53,8,---,---,
Babor,02:45:30,---,---,---,---,---,---,
Babor,02:45:55,---,---,---,---,---,---,
Babor,02:46:21,---,---,---,---,---,---,
Babor,02:46:45,1187,6,51,7,---,---,
Babor,02:47:09,1189,3,48,1,---,---,
Babor,02:47:35,---,---,---,---,---,---,
Babor,02:48:01,---,---,---,---,---,---,
Babor,02:48:23,1184,8,54,7,---,---,
Babor,02:48:47,1188,2,52,3,---,---,
Babor,02:49:10,1184,5,56,3,---,---,
Babor,02:49:34,1184,9,56,2,---,---,
Babor,02:49:58,1184,3,57,3,---,---,
Babor,02:50:21,1184,6,57,1,---,---,
Babor,02:50:45,1184,6,55,7,---,---,
Babor,02:51:09,1184,6,54,5,---,---,
Babor,02:51:33,1184,0,56,8,---,---,
Babor,02:51:56,1185,4,54,4,---,---,
Babor,02:52:20,1184,7,53,3,---,---,
Babor,02:52:44,1185,2,52,9,---,---,
Babor,02:53:07,1184,8,53,3,---,---,
Babor,02:53:31,1184,8,53,3,---,---,
Babor,02:53:55,1185,0,52,9,---,---,
Babor,02:54:18,1184,9,52,9,---,---,
Babor,02:54:42,1184,8,53,8,---,---,
Babor,02:55:06,1185,0,53,8,---,---,
Babor,02:55:29,1184,8,53,4,---,---,
Babor,02:55:53,1184,7,52,5,---,---,
Babor,02:56:17,1184,7,52,1,---,---,
Babor,02:56:40,1184,6,51,6,---,---,
Babor,02:57:04,1184,7,52,6,---,---,
Babor,02:57:28,1184,8,53,0,---,---,
Babor,02:57:51,1184,7,52,3,---,---,
Babor,02:58:16,1184,5,51,9,---,---,
Babor,02:58:40,1184,6,52,5,---,---,
Babor,02:59:06,---,---,---,---,---,---,
Babor,02:59:28,1183,9,54,5,---,---,
Babor,02:59:52,1185,2,53,1,---,---,
Babor,03:00:16,1184,7,55,1,---,---,
Babor,03:00:39,1185,3,55,1,---,---,
Babor,03:01:03,1184,8,56,3,---,---,
Babor,03:01:28,1185,8,54,6,---,---,
Babor,03:01:51,1186,2,53,9,---,---,
Babor,03:02:15,1185,1,55,0,---,---,
Babor,03:02:40,1186,7,52,3,---,---,
Babor,03:03:04,1185,1,53,7,---,---,
Babor,03:03:29,1184,9,55,1,---,---,
Babor,03:03:52,1184,8,55,3,---,---,
Babor,03:04:20,---,---,---,---,---,---,
Babor,03:04:44,1184,8,54,7,---,---,
Babor,03:05:07,1185,0,53,8,---,---,
Babor,03:05:32,1184,7,54,0,---,---,
Babor,03:05:55,1184,5,53,9,---,---,
Babor,03:06:18,1184,4,54,2,---,---,
Babor,03:06:42,1184,3,54,7,---,---,
Babor,03:07:06,1184,1,---,---,---,---,
Babor,03:07:28,1184,8,53,2,---,---,
Babor,03:07:54,1184,7,---,---,---,---,
Babor,03:08:16,1184,0,53,0,---,---,
Babor,03:08:39,1184,5,52,7,---,---,
Babor,03:09:03,1184,2,51,7,---,---,
Babor,03:09:27,1183,6,54,0,---,---,
Babor,03:09:52,1184,2,53,3,---,---,
Babor,03:10:17,1183,8,59,4,---,---,
Babor,03:10:40,1184,0,55,0,---,---,
Babor,03:11:04,1184,2,53,9,---,---,
Babor,03:11:27,1184,2,54,9,---,---,
Babor,03:11:51,1184,0,56,7,---,---,
Babor,03:12:14,1183,9,55,5,---,---,
Babor,03:12:39,1184,2,54,5,---,---,
Babor,03:13:02,1184,5,54,1,---,---,
Babor,03:13:26,1184,0,54,1,---,---,
Babor,03:13:50,1184,2,54,1,---,---,
Babor,03:14:13,1183,9,54,9,---,---,
Babor,03:14:37,1188,4,53,0,---,---,
Babor,03:15:00,1184,2,57,0,---,---,
Babor,03:15:23,1184,3,56,2,---,---,
Babor,03:15:47,1184,0,56,0,---,---,
Babor,03:16:11,1183,9,---,---,---,---,
Babor,03:16:33,1184,0,60,1,---,---,
Babor,03:16:56,1184,0,55,7,---,---,
Babor,03:17:20,1187,9,50,2,---,---,
Babor,03:17:43,1187,3,50,6,---,---,
Babor,03:18:08,1184,8,---,---,---,---,
Babor,03:18:33,---,---,---,---,---,---,
Babor,03:18:57,1184,4,50,3,---,---,
Babor,03:19:23,---,---,---,---,---,---,
Babor,03:19:45,1183,6,50,2,---,---,
Babor,03:20:12,---,---,---,---,---,---,
Babor,03:20:35,1184,0,49,4,---,---,
Babor,03:21:03,---,---,---,---,---,---,
Babor,03:21:29,---,---,---,---,---,---,
Babor,03:21:55,---,---,---,---,---,---,
Babor,03:22:21,---,---,---,---,---,---,
Babor,03:22:45,1184,3,50,4,---,---,
Babor,03:23:10,1183,7,49,6,---,---,
Babor,03:23:34,1184,2,50,2,---,---,
Babor,03:23:58,1183,9,52,0,---,---,
Babor,03:24:25,---,---,---,---,---,---,
Babor,03:24:48,1184,9,52,5,---,---,
Babor,03:25:12,1183,3,54,1,---,---,
Babor,03:25:36,1183,9,51,7,---,---,
Babor,03:26:00,1183,1,52,4,---,---,
Babor,03:26:26,---,---,---,---,---,---,
Babor,03:26:48,1183,7,53,9,---,---,
Babor,03:27:11,1189,3,47,4,---,---,
Babor,03:27:38,---,---,---,---,---,---,
Babor,03:28:02,1183,4,49,7,---,---,
Babor,03:28:25,1184,3,48,7,---,---,
Babor,03:28:50,1183,7,48,9,---,---,
Babor,03:29:15,1183,5,48,4,---,---,
Babor,03:29:43,---,---,---,---,---,---,
Babor,03:30:06,1183,7,49,9,---,---,
Babor,03:30:29,1183,6,51,2,---,---,
Babor,03:30:53,1183,6,51,9,---,---,
Babor,03:31:17,1183,6,53,7,---,---,
Babor,03:31:40,1183,6,56,0,---,---,
Babor,03:32:05,1184,8,56,6,---,---,
Babor,03:32:29,1183,5,54,1,---,---,
Babor,03:32:52,1183,6,52,2,---,---,
Babor,03:33:15,1191,8,54,9,---,---,
Babor,03:33:43,---,---,---,---,---,---,
Babor,03:34:08,---,---,---,---,---,---,
Babor,03:34:34,---,---,---,---,---,---,
Babor,03:34:59,889,5,---,---,---,---,
Babor,03:35:24,---,---,---,---,---,---,
Babor,03:35:48,751,3,---,---,---,---,
Babor,03:36:10,715,5,57,0,---,---,
Babor,03:36:34,698,3,56,5,---,---,
Babor,03:36:57,700,6,56,7,---,---,
