Code,Tiempo,Escalas(m),Datos1(Fa),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Estribor,02:26:19,397,9,---,---,---,---,
Estribor,02:26:42,---,---,---,---,---,---,
Estribor,02:27:06,135,6,---,---,---,---,
Estribor,02:27:30,---,3,6,---,---,---,
Estribor,02:27:53,247,9,13,8,---,---,
Estribor,02:28:17,---,22,7,---,---,---,
Estribor,02:28:41,377,0,31,1,---,---,
Estribor,02:29:05,---,41,7,---,---,---,
Estribor,02:29:28,516,1,51,1,---,---,
Estribor,02:29:52,---,58,1,---,---,---,
Estribor,02:30:16,637,5,59,3,---,---,
Estribor,02:30:39,---,62,6,---,---,---,
Estribor,02:31:05,777,0,66,7,---,---,
Estribor,02:31:30,---,81,7,---,---,---,
Estribor,02:31:54,923,4,88,8,---,---,
Estribor,02:32:19,---,96,4,---,---,---,
Estribor,02:32:44,1085,9,108,4,---,---,
Estribor,02:33:07,---,116,1,---,---,---,
Estribor,02:33:33,1187,0,124,6,---,---,
Estribor,02:33:58,1187,5,129,1,---,---,
Estribor,02:34:21,1187,3,136,3,---,---,
Estribor,02:34:44,1186,8,141,3,---,---,
Estribor,02:35:08,1186,5,149,2,---,---,
Estribor,02:35:32,1186,3,154,9,---,---,
Estribor,02:35:55,1186,1,162,1,---,---,
Estribor,02:36:20,1186,0,172,6,---,---,
Estribor,02:36:44,1186,1,175,9,---,---,
Estribor,02:37:08,1186,6,184,3,---,---,
Estribor,02:37:31,1185,8,188,1,---,---,
Estribor,02:37:57,1185,6,196,3,---,---,
Estribor,02:38:20,1185,8,201,2,---,---,
Estribor,02:38:45,1185,9,206,2,---,---,
Estribor,02:39:09,1185,6,212,7,---,---,
Estribor,02:39:34,1185,6,215,8,---,---,
Estribor,02:39:57,1190,3,213,2,---,---,
Estribor,02:40:21,1184,6,219,7,---,---,
Estribor,02:40:45,1184,8,220,3,---,---,
Estribor,02:41:11,---,---,---,---,---,---,
Estribor,02:41:38,---,---,---,---,---,---,
Estribor,02:42:03,1184,9,225,6,---,---,
Estribor,02:42:29,1184,4,228,4,---,---,
Estribor,02:42:54,1184,7,228,8,---,---,
Estribor,02:43:18,1184,9,229,9,---,---,
Estribor,02:43:43,1184,7,232,3,---,---,
Estribor,02:44:08,1184,8,233,4,---,---,
Estribor,02:44:32,1185,0,234,6,---,---,
Estribor,02:44:57,1184,5,238,2,---,---,
Estribor,02:45:21,1184,8,238,0,---,---,
Estribor,02:45:46,1185,5,239,8,---,---,
Estribor,02:46:13,1184,7,243,5,---,---,
Estribor,02:46:41,---,---,---,---,---,---,
Estribor,02:47:03,1184,9,246,5,---,---,
Estribor,02:47:27,1189,7,242,3,---,---,
Estribor,02:47:52,1186,6,247,0,---,---,
Estribor,02:48:17,1189,9,244,3,---,---,
Estribor,02:48:41,1184,4,250,4,---,---,
Estribor,02:49:04,1185,4,250,3,---,---,
Estribor,02:49:28,1184,9,251,0,---,---,
Estribor,02:49:52,1184,5,252,3,---,---,
Estribor,02:50:16,1185,0,252,1,---,---,
Estribor,02:50:39,1186,9,250,0,---,---,
Estribor,02:51:03,1185,1,253,4,---,---,
Estribor,02:51:27,1185,1,253,7,---,---,
Estribor,02:51:50,1186,7,253,0,---,---,
Estribor,02:52:14,1185,2,256,1,---,---,
Estribor,02:52:38,1185,1,257,5,---,---,
Estribor,02:53:02,1185,8,257,6,---,---,
Estribor,02:53:25,1185,0,258,5,---,---,
Estribor,02:53:49,1185,1,260,8,---,---,
Estribor,02:54:13,1185,1,262,4,---,---,
Estribor,02:54:36,1185,0,263,8,---,---,
Estribor,02:55:00,1185,1,263,4,---,---,
Estribor,02:55:24,1185,0,264,0,---,---,
Estribor,02:55:47,1185,0,265,6,---,---,
Estribor,02:56:11,1185,1,265,4,---,---,
Estribor,02:56:35,1184,9,266,6,---,---,
Estribor,02:56:58,1185,1,266,8,---,---,
Estribor,02:57:22,1185,0,267,8,---,---,
Estribor,02:57:45,1185,1,267,7,---,---,
Estribor,02:58:10,1185,0,269,4,---,---,
Estribor,02:58:34,1185,2,270,1,---,---,
Estribor,02:58:58,1184,9,270,2,---,---,
Estribor,02:59:23,1184,9,271,7,---,---,
Estribor,02:59:46,1185,0,272,5,---,---,
Estribor,03:00:10,1184,8,272,5,---,---,
Estribor,03:00:33,1185,0,273,9,---,---,
Estribor,03:00:57,1184,7,275,4,---,---,
Estribor,03:01:22,1184,8,278,2,---,---,
Estribor,03:01:46,1184,7,276,1,---,---,
Estribor,03:02:09,1184,7,275,5,---,---,
Estribor,03:02:34,1184,8,276,3,---,---,
Estribor,03:02:58,1184,6,281,2,---,---,
Estribor,03:03:23,1185,2,281,8,---,---,
Estribor,03:03:46,1184,4,282,3,---,---,
Estribor,03:04:13,---,---,---,---,---,---,
Estribor,03:04:39,---,---,---,---,---,---,
Estribor,03:05:02,1183,7,286,2,---,---,
Estribor,03:05:27,---,---,---,---,---,---,
Estribor,03:05:49,1185,2,287,3,---,---,
Estribor,03:06:12,1185,2,291,6,---,---,
Estribor,03:06:36,1184,1,292,4,---,---,
Estribor,03:06:59,1184,3,292,8,---,---,
Estribor,03:07:22,1184,2,297,1,---,---,
Estribor,03:07:49,---,---,---,---,---,---,
Estribor,03:08:10,1184,2,294,7,---,---,
Estribor,03:08:33,1184,0,299,5,---,---,
Estribor,03:08:57,1183,9,295,9,---,---,
Estribor,03:09:21,1184,0,296,2,---,---,
Estribor,03:09:47,---,---,---,---,---,---,
Estribor,03:10:12,---,---,---,---,---,---,
Estribor,03:10:34,1184,0,299,4,---,---,
Estribor,03:10:58,1184,1,306,1,---,---,
Estribor,03:11:21,1184,4,---,---,---,---,
Estribor,03:11:45,1184,0,301,2,---,---,
Estribor,03:12:09,1184,1,302,1,---,---,
Estribor,03:12:34,---,---,---,---,---,---,
Estribor,03:12:57,1185,1,302,3,---,---,
Estribor,03:13:20,1184,0,304,1,---,---,
Estribor,03:13:44,1184,1,304,5,---,---,
