Code,Tiempo,Escalas(m),Datos1(m),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Abertura Vertical,02:28:41,---,---,---,---,---,---,
Abertura Vertical,02:29:07,---,---,---,---,---,---,
Abertura Vertical,02:29:32,---,---,---,---,---,---,
Abertura Vertical,02:29:57,---,---,---,---,---,---,
Abertura Vertical,02:30:22,---,---,---,---,---,---,
Abertura Vertical,02:30:46,---,---,---,---,---,---,
Abertura Vertical,02:31:10,---,---,---,---,---,---,
Abertura Vertical,02:31:35,---,---,---,---,---,---,
Abertura Vertical,02:31:59,---,---,---,---,---,---,
Abertura Vertical,02:32:24,---,---,---,---,---,---,
Abertura Vertical,02:32:48,---,---,---,---,---,---,
Abertura Vertical,02:33:12,---,---,---,---,---,---,
Abertura Vertical,02:33:36,---,---,---,---,---,---,
Abertura Vertical,02:34:00,---,---,---,---,---,---,
Abertura Vertical,02:34:27,---,---,---,---,---,---,
Abertura Vertical,02:34:52,---,---,---,---,---,---,
Abertura Vertical,02:35:17,---,---,---,---,---,---,
Abertura Vertical,02:35:42,---,---,---,---,---,---,
Abertura Vertical,02:36:04,1398,7,4,5,---,---,
Abertura Vertical,02:36:29,1396,7,---,---,---,---,
Abertura Vertical,02:36:52,1396,3,6,2,---,---,
Abertura Vertical,02:37:15,1396,2,5,8,---,---,
Abertura Vertical,02:37:39,1397,7,4,3,---,---,
Abertura Vertical,02:38:02,1395,9,5,7,---,---,
Abertura Vertical,02:38:25,1395,7,5,7,---,---,
Abertura Vertical,02:38:48,1395,4,5,9,---,---,
Abertura Vertical,02:39:11,1395,4,5,7,---,---,
Abertura Vertical,02:39:34,1395,5,5,5,---,---,
Abertura Vertical,02:39:57,1395,8,5,6,---,---,
Abertura Vertical,02:40:20,1395,6,6,0,---,---,
Abertura Vertical,02:40:43,1395,4,5,7,---,---,
Abertura Vertical,02:41:06,1395,7,6,0,---,---,
Abertura Vertical,02:41:29,1395,6,6,0,---,---,
Abertura Vertical,02:41:53,1395,5,6,1,---,---,
Abertura Vertical,02:42:16,1395,9,5,8,---,---,
Abertura Vertical,02:42:39,1395,1,5,9,---,---,
Abertura Vertical,02:43:02,1395,2,5,9,---,---,
Abertura Vertical,02:43:25,1395,3,6,0,---,---,
Abertura Vertical,02:43:49,1395,6,6,0,---,---,
Abertura Vertical,02:44:12,1395,7,6,0,---,---,
Abertura Vertical,02:44:36,1395,9,6,2,---,---,
Abertura Vertical,02:45:00,1396,0,6,1,---,---,
Abertura Vertical,02:45:23,1396,7,5,9,---,---,
Abertura Vertical,02:45:47,1396,2,6,2,---,---,
Abertura Vertical,02:46:11,1396,7,6,0,---,---,
Abertura Vertical,02:46:34,1396,6,5,9,---,---,
Abertura Vertical,02:46:58,1397,1,6,3,---,---,
Abertura Vertical,02:47:22,1398,7,6,0,---,---,
Abertura Vertical,02:47:46,1399,9,6,1,---,---,
Abertura Vertical,02:48:09,1400,6,5,9,---,---,
Abertura Vertical,02:48:33,1400,9,5,9,---,---,
Abertura Vertical,02:48:56,1401,7,5,4,---,---,
