Tiempo,Escalas(m)Babor,Datos1(°)Babor,Datos2(m)Babor,Escalas(m)Starboard Door Heel,Datos1(°)Starboard Door Heel,Datos2(m)Starboard Door Heel,Escalas(m)Estribor,Datos1(Fa)Estribor,Datos2(m)Estribor,Escalas(m)Capturas 1,Datos1()Capturas 1,Datos2(m)Capturas 1
2019-11-06 12:41:00,802.3333333333334,6.333333333333333,47.666666666666664,804.5,5.5,52.5,804.0,7.0,3.8333333333333335,918.0,3.833333333333333,0.0
2019-11-06 12:42:00,808.0,3.5,50.16666666666667,808.0,2.5,45.5,809.0,4.0,7.5,936.0,3.777777777777778,0.0
2019-11-06 12:43:00,805.3333333333334,4.333333333333333,51.0,806.5,7.0,42.125,808.5,4.5,17.0,943.0,5.5,0.0
2019-11-06 12:44:00,805.0,1.5,51.83333333333333,806.6666666666666,4.0,44.0,808.0,3.0,27.0,947.0,1.3333333333333333,0.0
2019-11-06 12:45:00,805.8333333333334,3.1666666666666665,52.666666666666664,809.5,1.0,45.875,807.6666666666666,5.333333333333333,35.666666666666664,945.5,4.5,0.6666666666666666
2019-11-06 12:46:00,808.0,0.5,53.5,806.3333333333334,5.666666666666667,61.083333333333336,809.0,4.0,37.333333333333336,943.0,1.5,0.0
2019-11-06 12:47:00,806.3333333333334,3.6666666666666665,54.333333333333336,806.5,6.0,56.625,808.5,5.0,38.0,943.0,5.5,0.0
2019-11-06 12:48:00,807.3333333333333,5.333333333333334,54.83333333333333,807.0,3.6666666666666665,52.416666666666664,807.6666666666666,4.666666666666667,37.333333333333336,944.875,7.625,0.0
2019-11-06 12:49:00,808.888888888889,2.2222222222222228,54.0,810.0,2.5,49.125,809.5,6.5,34.0,947.375,7.125,0.0
2019-11-06 12:50:00,809.8333333333333,0.33333333333333337,53.16666666666667,809.0,4.0,43.0,808.25,6.25,32.75,1080.909090909091,6.272727272727273,0.0
2019-11-06 12:51:00,810.75,0.5,52.5,808.0,4.0,44.0,808.0,8.25,33.0,1247.0454545454545,5.363636363636363,0.0
2019-11-06 12:52:00,809.5,3.0,51.666666666666664,807.5,2.5,43.0,809.3333333333334,2.8333333333333335,32.6,1379.9545454545455,4.636363636363637,0.0
