Tiempo,Escalas(m),Datos1(°)
2019-11-28 22:56:53,1794.6,-0.1
2019-11-28 22:57:18,1794.4,-1.4
2019-11-28 22:57:44,1794.8,0.9
2019-11-28 22:58:07,1795.8,-0.15000000000000002
2019-11-28 22:58:55,1794.1,-1.2
2019-11-28 22:59:19,1794.1,-0.4
2019-11-28 22:59:44,1794.0,-1.2
2019-11-28 23:00:06,1793.9,-0.5
2019-11-28 23:00:30,1794.1,-0.5333333333333333
2019-11-28 23:00:56,1794.0,-0.5666666666666667
2019-11-28 23:01:23,1794.0,-0.6
2019-11-28 23:01:50,1794.6,-1.1
2019-11-28 23:02:14,1793.9,-0.5
2019-11-28 23:02:39,1794.1,0.4
2019-11-28 23:03:29,1793.7,-0.04999999999999999
2019-11-28 23:03:54,1793.8,-0.5
2019-11-28 23:04:37,1793.9,-0.1
2019-11-28 23:05:26,1794.0,-0.2
2019-11-28 23:06:14,1794.6,-0.30000000000000004
2019-11-28 23:06:35,1793.7,-0.4
2019-11-28 23:07:20,1873.6,-0.65
2019-11-28 23:08:09,1794.0,-0.9
2019-11-28 23:08:32,1793.6,0.2
2019-11-28 23:08:58,1794.6,-0.8
