Tiempo,Escalas(m),Datos1(m)
2019-11-28 15:46:41,1797.0,88.3
2019-11-28 15:47:02,1796.9,105.35
2019-11-28 15:47:26,1797.0,122.4
2019-11-28 15:47:52,1797.1,122.3
2019-11-28 15:48:14,1800.9,117.1
2019-11-28 15:48:59,1797.3,119.1
2019-11-28 15:49:42,1797.4,118.2
2019-11-28 15:50:06,1793.7,122.2
2019-11-28 15:50:29,1797.5,118.0
2019-11-28 15:50:53,1797.1,117.95
2019-11-28 15:51:18,1796.9,117.9
2019-11-28 15:52:05,1796.7,116.3
2019-11-28 15:52:28,1796.7,115.8
2019-11-28 15:53:18,2678.2,116.35
2019-11-28 15:54:06,1795.9,116.9
2019-11-28 15:54:50,1796.2,116.0
