Tiempo,Escalas(m),Datos1(Fa)
2019-11-28 06:11:49,663.1,
2019-11-28 06:22:52,665.1,
2019-11-28 06:23:15,666.4,
2019-11-28 06:23:38,664.5,
2019-11-28 06:24:03,663.0,
2019-11-28 06:24:28,664.6,22.5
2019-11-28 06:25:21,663.7,21.9
2019-11-28 06:25:45,664.5,21.3
2019-11-28 06:27:13,663.8,21.266666666666666
2019-11-28 06:28:02,663.9,21.233333333333334
2019-11-28 06:32:10,663.7,21.200000000000003
2019-11-28 06:41:32,662.8,21.166666666666668
2019-11-28 06:41:58,664.4,21.133333333333333
2019-11-28 06:48:55,662.1,21.1
2019-11-28 06:49:20,642.9,22.1
2019-11-28 06:49:46,600.9,21.7
2019-11-28 06:50:39,514.3,21.7
2019-11-28 06:51:05,476.9,21.7
2019-11-28 06:51:30,442.9,21.7
2019-11-28 06:51:55,411.0,21.7
2019-11-28 06:52:22,375.9,21.3
