Code,Tiempo,Escalas(m),Datos1(),Datos2(m),Latitude,Longitude,Sonda(m),Comment
D20C,06:05:19,726,7,Off,---,---,---,---,
D20C,06:05:44,727,0,---,---,---,---,---,
D20C,06:06:11,---,---,---,---,---,---,
D20C,06:06:34,725,7,Off,---,---,---,---,
D20C,06:06:59,725,8,Off,---,---,---,---,
D20C,06:07:23,725,9,Off,---,---,---,---,
D20C,06:07:50,---,---,---,---,---,---,
D20C,06:08:15,---,---,---,---,---,---,
D20C,06:08:37,726,6,---,---,---,---,---,
D20C,06:08:59,726,7,Off,---,---,---,---,
D20C,06:09:26,727,3,Off,---,---,---,---,
D20C,06:09:51,726,6,Off,---,---,---,---,
D20C,06:10:14,725,9,Off,---,---,---,---,
D20C,06:10:38,726,9,Off,---,---,---,---,
D20C,06:11:04,727,2,---,---,---,---,---,
D20C,06:11:26,726,8,Off,---,---,---,---,
D20C,06:11:51,726,4,Off,---,---,---,---,
D20C,06:12:16,725,7,---,---,---,---,---,
D20C,06:12:37,726,4,Off,---,---,---,---,
D20C,06:13:00,725,7,Off,---,---,---,---,
D20C,06:13:24,727,3,Off,---,---,---,---,
D20C,06:13:46,727,4,Off,---,---,---,---,
D20C,06:14:10,726,9,Off,---,---,---,---,
D20C,06:14:35,725,9,---,---,---,---,---,
D20C,06:14:57,726,9,Off,---,---,---,---,
D20C,06:15:20,727,5,Off,---,---,---,---,
D20C,06:15:49,---,---,---,---,---,---,
D20C,06:16:13,728,3,Off,---,---,---,---,
D20C,06:16:38,727,5,Off,---,---,---,---,
D20C,06:17:02,728,5,Off,---,---,---,---,
D20C,06:17:25,728,6,Off,---,---,---,---,
D20C,06:17:49,727,9,Off,---,---,---,---,
D20C,06:18:14,727,7,Off,---,---,---,---,
D20C,06:18:38,727,9,Off,---,---,---,---,
D20C,06:19:03,729,1,Off,---,---,---,---,
D20C,06:19:26,728,2,Off,---,---,---,---,
D20C,06:19:51,728,0,---,---,---,---,---,
D20C,06:20:13,728,8,Off,---,---,---,---,
D20C,06:20:39,---,---,---,---,---,---,
D20C,06:21:03,729,5,---,---,---,---,---,
D20C,06:21:25,730,0,Off,---,---,---,---,
D20C,06:21:48,728,1,Off,---,---,---,---,
D20C,06:22:12,728,7,Off,---,---,---,---,
D20C,06:22:36,728,8,Off,---,---,---,---,
D20C,06:22:58,729,0,Off,---,---,---,---,
D20C,06:23:23,727,7,Off,---,---,---,---,
D20C,06:23:47,728,7,Off,---,---,---,---,
D20C,06:24:10,728,8,Off,---,---,---,---,
D20C,06:24:34,728,2,Off,---,---,---,---,
D20C,06:24:59,727,9,Off,---,---,---,---,
D20C,06:25:23,728,3,Off,---,---,---,---,
D20C,06:25:47,727,4,Off,---,---,---,---,
D20C,06:26:10,728,9,Off,---,---,---,---,
D20C,06:26:34,732,1,Off,---,---,---,---,
D20C,06:26:59,728,7,Off,---,---,---,---,
D20C,06:27:24,728,3,Off,---,---,---,---,
D20C,06:27:47,728,6,Off,---,---,---,---,
D20C,06:28:10,728,4,Off,---,---,---,---,
D20C,06:28:34,728,8,Off,---,---,---,---,
D20C,06:28:57,728,6,Off,---,---,---,---,
D20C,06:29:25,---,---,---,---,---,---,
D20C,06:29:48,729,3,Off,---,---,---,---,
D20C,06:30:15,---,---,---,---,---,---,
D20C,06:30:36,728,6,Off,---,---,---,---,
D20C,06:31:00,729,1,Off,---,---,---,---,
D20C,06:31:23,728,2,Off,---,---,---,---,
D20C,06:31:47,728,9,Off,---,---,---,---,
D20C,06:32:11,727,9,Off,---,---,---,---,
D20C,06:32:34,728,7,Off,---,---,---,---,
D20C,06:32:58,735,5,Off,---,---,---,---,
D20C,06:33:21,743,2,Off,---,---,---,---,
D20C,06:33:45,750,8,Off,---,---,---,---,
D20C,06:34:12,---,Off,---,---,---,---,
D20C,06:34:35,763,2,Off,---,---,---,---,
D20C,06:34:59,764,9,Off,---,---,---,---,
D20C,06:35:23,764,2,Off,---,---,---,---,
D20C,06:35:48,763,6,Off,---,---,---,---,
D20C,06:36:13,764,0,Off,---,---,---,---,
D20C,06:36:40,---,Off,---,---,---,---,
D20C,06:37:06,---,---,---,---,---,---,
D20C,06:37:29,765,0,Off,---,---,---,---,
D20C,06:37:52,764,2,Off,---,---,---,---,
D20C,06:38:17,764,3,---,---,---,---,---,
D20C,06:38:38,764,6,Off,---,---,---,---,
D20C,06:39:02,765,5,Off,---,---,---,---,
D20C,06:39:27,764,8,---,---,---,---,---,
D20C,06:39:53,764,6,Off,---,---,---,---,
D20C,06:40:17,763,6,Off,---,---,---,---,
D20C,06:40:40,764,2,Off,---,---,---,---,
D20C,06:41:04,764,0,Off,---,---,---,---,
D20C,06:41:31,763,9,Off,---,---,---,---,
D20C,06:41:55,764,0,Off,---,---,---,---,
D20C,06:42:18,764,5,Off,---,---,---,---,
D20C,06:42:44,765,0,Off,---,---,---,---,
D20C,06:43:07,764,7,Off,---,---,---,---,
D20C,06:43:31,765,2,Off,---,---,---,---,
D20C,06:43:55,764,6,Off,---,---,---,---,
D20C,06:44:18,764,9,Off,---,---,---,---,
D20C,06:44:42,765,3,Off,---,---,---,---,
D20C,06:45:07,765,4,---,---,---,---,---,
D20C,06:45:32,---,---,---,---,---,---,
D20C,06:45:57,---,---,---,---,---,---,
D20C,06:46:19,765,0,Off,---,---,---,---,
D20C,06:46:42,---,Off,---,---,---,---,
D20C,06:47:06,763,9,Off,---,---,---,---,
D20C,06:47:31,763,9,Off,---,---,---,---,
D20C,06:47:55,765,5,Off,---,---,---,---,
D20C,06:48:19,764,8,Off,---,---,---,---,
D20C,06:48:43,764,8,Off,---,---,---,---,
D20C,06:49:05,764,8,Off,---,---,---,---,
D20C,06:49:29,765,2,Off,---,---,---,---,
D20C,06:49:53,764,2,Off,---,---,---,---,
D20C,06:50:17,764,5,Off,---,---,---,---,
D20C,06:50:40,764,2,Off,---,---,---,---,
D20C,06:51:06,763,9,Off,---,---,---,---,
D20C,06:51:29,764,1,Off,---,---,---,---,
D20C,06:51:53,764,8,Off,---,---,---,---,
D20C,06:52:18,764,4,Off,---,---,---,---,
D20C,06:52:42,764,5,Off,---,---,---,---,
D20C,06:53:06,764,8,Off,---,---,---,---,
D20C,06:53:30,764,8,Off,---,---,---,---,
D20C,06:53:55,764,5,Off,---,---,---,---,
D20C,06:54:21,765,9,Off,---,---,---,---,
D20C,06:54:45,765,6,Off,---,---,---,---,
D20C,06:55:10,765,1,Off,---,---,---,---,
D20C,06:55:34,764,0,Off,---,---,---,---,
D20C,06:55:57,764,5,Off,---,---,---,---,
D20C,06:56:22,765,2,Off,---,---,---,---,
