Code,Tiempo,Escalas(m),Datos1(Fa),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Estribor,05:07:39,---,---,---,---,---,---,
Estribor,05:08:05,---,---,---,---,---,---,
Estribor,05:08:28,715,7,29,3,---,---,
Estribor,05:08:53,715,2,29,3,---,---,
Estribor,05:09:20,715,1,31,3,---,---,
Estribor,05:09:45,715,1,29,5,---,---,
Estribor,05:10:09,715,3,29,4,---,---,
Estribor,05:10:34,715,2,29,5,---,---,
Estribor,05:11:00,716,6,29,0,---,---,
Estribor,05:11:27,715,7,29,6,---,---,
Estribor,05:11:55,716,9,29,6,---,---,
Estribor,05:12:19,714,9,31,7,---,---,
Estribor,05:12:46,715,1,31,5,---,---,
Estribor,05:13:12,714,9,27,4,---,---,
Estribor,05:13:40,715,3,26,9,---,---,
Estribor,05:14:07,716,1,26,6,---,---,
Estribor,05:14:33,715,1,26,7,---,---,
Estribor,05:14:57,715,1,28,3,---,---,
Estribor,05:15:21,714,9,29,4,---,---,
Estribor,05:15:45,714,9,30,0,---,---,
Estribor,05:16:12,715,2,30,6,---,---,
Estribor,05:16:37,714,6,30,7,---,---,
Estribor,05:17:01,716,8,31,4,---,---,
Estribor,05:17:25,714,8,29,5,---,---,
Estribor,05:17:50,714,4,28,6,---,---,
Estribor,05:18:15,714,1,28,0,---,---,
Estribor,05:18:40,714,6,29,3,---,---,
Estribor,05:19:05,714,5,28,4,---,---,
Estribor,05:19:30,714,7,27,3,---,---,
Estribor,05:19:55,714,5,27,3,---,---,
Estribor,05:20:22,714,8,28,0,---,---,
Estribor,05:20:50,---,---,---,---,---,---,
Estribor,05:21:13,714,6,28,3,---,---,
Estribor,05:21:39,714,8,---,---,---,---,
Estribor,05:22:02,714,7,25,9,---,---,
Estribor,05:22:27,715,2,25,8,---,---,
Estribor,05:22:52,715,2,26,2,---,---,
Estribor,05:23:17,714,7,25,9,---,---,
Estribor,05:23:45,---,---,---,---,---,---,
Estribor,05:24:08,714,7,25,6,---,---,
Estribor,05:24:33,714,4,25,4,---,---,
Estribor,05:24:58,715,7,25,5,---,---,
Estribor,05:25:24,714,7,25,8,---,---,
Estribor,05:25:50,715,0,26,5,---,---,
Estribor,05:26:15,715,5,25,4,---,---,
Estribor,05:26:39,714,8,26,0,---,---,
Estribor,05:27:04,714,7,25,0,---,---,
Estribor,05:27:30,714,9,---,---,---,---,
Estribor,05:27:53,715,1,24,8,---,---,
Estribor,05:28:18,714,7,25,4,---,---,
Estribor,05:28:43,714,8,26,4,---,---,
Estribor,05:29:09,714,9,29,1,---,---,
Estribor,05:29:37,---,---,---,---,---,---,
Estribor,05:30:00,714,8,27,5,---,---,
Estribor,05:30:30,---,---,---,---,---,---,
Estribor,05:30:55,717,4,27,1,---,---,
Estribor,05:31:20,716,1,27,5,---,---,
Estribor,05:31:45,714,9,26,6,---,---,
Estribor,05:32:17,---,---,---,---,---,---,
Estribor,05:32:41,714,5,26,7,---,---,
Estribor,05:33:08,714,9,26,6,---,---,
Estribor,05:33:34,715,1,27,3,---,---,
Estribor,05:33:59,715,1,26,7,---,---,
Estribor,05:34:26,714,2,26,5,---,---,
Estribor,05:34:51,714,7,---,---,---,---,
Estribor,05:35:18,---,---,---,---,---,---,
Estribor,05:35:39,714,5,24,9,---,---,
Estribor,05:36:04,714,4,25,7,---,---,
Estribor,05:36:29,714,4,25,8,---,---,
Estribor,05:36:54,714,9,26,6,---,---,
Estribor,05:37:24,---,---,---,---,---,---,
Estribor,05:37:49,715,2,25,2,---,---,
Estribor,05:38:19,---,---,---,---,---,---,
Estribor,05:38:48,---,---,---,---,---,---,
Estribor,05:39:14,---,---,---,---,---,---,
Estribor,05:39:39,715,5,---,---,---,---,
Estribor,05:40:08,---,---,---,---,---,---,
Estribor,05:40:30,714,1,26,0,---,---,
Estribor,05:40:59,---,---,---,---,---,---,
Estribor,05:41:27,---,---,---,---,---,---,
Estribor,05:41:53,---,---,---,---,---,---,
Estribor,05:42:16,714,9,---,---,---,---,
Estribor,05:42:40,715,1,---,---,---,---,
Estribor,05:43:03,715,0,24,7,---,---,
Estribor,05:43:27,714,7,25,0,---,---,
Estribor,05:43:57,---,---,---,---,---,---,
Estribor,05:44:20,714,9,25,6,---,---,
Estribor,05:44:45,714,8,24,5,---,---,
Estribor,05:45:11,716,8,---,---,---,---,
Estribor,05:45:38,---,---,---,---,---,---,
Estribor,05:46:02,715,0,25,7,---,---,
Estribor,05:46:26,714,2,25,4,---,---,
Estribor,05:46:50,714,8,24,9,---,---,
Estribor,05:47:16,715,3,---,---,---,---,
Estribor,05:47:45,---,---,---,---,---,---,
Estribor,05:48:07,714,6,25,1,---,---,
Estribor,05:48:34,716,0,---,---,---,---,
Estribor,05:48:57,715,4,24,4,---,---,
Estribor,05:49:22,715,9,23,7,---,---,
Estribor,05:49:51,---,---,---,---,---,---,
Estribor,05:50:14,714,8,25,1,---,---,
Estribor,05:50:42,---,---,---,---,---,---,
Estribor,05:51:04,716,8,24,7,---,---,
Estribor,05:51:29,714,9,25,1,---,---,
Estribor,05:51:55,716,2,23,1,---,---,
Estribor,05:52:20,714,7,24,4,---,---,
Estribor,05:52:46,719,0,---,---,---,---,
Estribor,05:53:11,714,7,---,---,---,---,
Estribor,05:53:35,714,6,24,8,---,---,
Estribor,05:53:59,719,2,25,3,---,---,
Estribor,05:54:25,731,2,---,---,---,---,
Estribor,05:54:49,738,9,---,---,---,---,
Estribor,05:55:13,750,6,---,---,---,---,
Estribor,05:55:38,753,9,28,7,---,---,
Estribor,05:56:08,---,---,---,---,---,---,
Estribor,05:56:31,757,4,24,3,---,---,
Estribor,05:56:57,753,2,25,5,---,---,
Estribor,05:57:24,---,---,---,---,---,---,
Estribor,05:57:47,754,5,25,6,---,---,
Estribor,05:58:12,753,4,26,2,---,---,
Estribor,05:58:42,---,---,---,---,---,---,
Estribor,05:59:05,753,7,---,---,---,---,
Estribor,05:59:30,753,5,25,7,---,---,
Estribor,05:59:58,---,---,---,---,---,---,
Estribor,06:00:21,753,9,24,8,---,---,
Estribor,06:00:46,754,3,24,5,---,---,
Estribor,06:01:11,753,5,25,2,---,---,
Estribor,06:01:38,753,5,25,0,---,---,
Estribor,06:02:06,---,---,---,---,---,---,
Estribor,06:02:35,---,---,---,---,---,---,
Estribor,06:03:03,---,---,---,---,---,---,
Estribor,06:03:27,753,8,25,5,---,---,
Estribor,06:03:55,---,---,---,---,---,---,
Estribor,06:04:19,753,9,25,7,---,---,
Estribor,06:04:44,752,9,26,7,---,---,
Estribor,06:05:11,---,---,---,---,---,---,
Estribor,06:05:34,756,9,24,4,---,---,
Estribor,06:06:04,---,---,---,---,---,---,
Estribor,06:06:33,---,---,---,---,---,---,
Estribor,06:06:56,754,5,26,2,---,---,
Estribor,06:07:23,754,2,---,---,---,---,
Estribor,06:07:51,---,---,---,---,---,---,
Estribor,06:08:20,---,---,---,---,---,---,
Estribor,06:08:45,---,---,---,---,---,---,
Estribor,06:09:12,754,1,---,---,---,---,
Estribor,06:09:39,---,---,---,---,---,---,
Estribor,06:10:06,---,---,---,---,---,---,
Estribor,06:10:34,---,---,---,---,---,---,
Estribor,06:11:02,---,---,---,---,---,---,
Estribor,06:11:27,754,0,25,3,---,---,
Estribor,06:11:54,753,4,26,0,---,---,
Estribor,06:12:19,755,8,---,---,---,---,
Estribor,06:12:48,---,---,---,---,---,---,
Estribor,06:13:16,---,---,---,---,---,---,
Estribor,06:13:39,753,9,24,4,---,---,
Estribor,06:14:05,753,8,24,8,---,---,
Estribor,06:14:30,753,5,---,---,---,---,
Estribor,06:14:58,---,---,---,---,---,---,
Estribor,06:15:26,---,---,---,---,---,---,
Estribor,06:15:51,---,---,---,---,---,---,
Estribor,06:16:20,---,---,---,---,---,---,
Estribor,06:16:49,---,---,---,---,---,---,
Estribor,06:17:17,---,---,---,---,---,---,
Estribor,06:17:42,753,2,---,---,---,---,
Estribor,06:18:06,753,8,27,9,---,---,
Estribor,06:18:30,753,5,27,3,---,---,
Estribor,06:18:59,---,---,---,---,---,---,
Estribor,06:19:28,---,---,---,---,---,---,
Estribor,06:19:53,754,2,---,---,---,---,
Estribor,06:20:17,756,4,24,7,---,---,
Estribor,06:20:47,---,---,---,---,---,---,
Estribor,06:21:12,---,---,---,---,---,---,
Estribor,06:21:35,755,9,---,---,---,---,
Estribor,06:22:02,---,---,---,---,---,---,
Estribor,06:22:32,---,---,---,---,---,---,
Estribor,06:23:01,---,---,---,---,---,---,
Estribor,06:23:27,753,8,25,3,---,---,
Estribor,06:23:58,---,---,---,---,---,---,
Estribor,06:24:25,754,1,---,---,---,---,
Estribor,06:24:55,---,---,---,---,---,---,
Estribor,06:25:23,---,---,---,---,---,---,
Estribor,06:25:52,---,---,---,---,---,---,
Estribor,06:26:19,---,---,---,---,---,---,
Estribor,06:26:45,753,0,25,7,---,---,
Estribor,06:27:13,---,---,---,---,---,---,
Estribor,06:27:40,---,---,---,---,---,---,
Estribor,06:28:08,---,---,---,---,---,---,
Estribor,06:28:36,---,---,---,---,---,---,
Estribor,06:29:00,753,2,---,---,---,---,
Estribor,06:29:29,---,---,---,---,---,---,
Estribor,06:29:56,---,---,---,---,---,---,
Estribor,06:30:23,---,---,---,---,---,---,
Estribor,06:30:53,---,---,---,---,---,---,
Estribor,06:31:22,---,---,---,---,---,---,
Estribor,06:31:47,754,7,---,---,---,---,
Estribor,06:32:13,---,---,---,---,---,---,
Estribor,06:32:38,---,---,---,---,---,---,
Estribor,06:33:04,753,7,26,1,---,---,
Estribor,06:33:32,755,0,---,---,---,---,
Estribor,06:33:56,753,4,27,5,---,---,
Estribor,06:34:24,---,---,---,---,---,---,
Estribor,06:34:49,753,8,---,---,---,---,
Estribor,06:35:19,---,---,---,---,---,---,
Estribor,06:35:44,753,6,---,---,---,---,
Estribor,06:36:12,---,---,---,---,---,---,
Estribor,06:36:38,753,7,25,1,---,---,
Estribor,06:37:08,---,---,---,---,---,---,
Estribor,06:37:36,---,---,---,---,---,---,
Estribor,06:38:05,---,---,---,---,---,---,
Estribor,06:38:33,---,---,---,---,---,---,
Estribor,06:39:02,---,---,---,---,---,---,
Estribor,06:39:32,---,---,---,---,---,---,
Estribor,06:39:57,754,4,---,---,---,---,
Estribor,06:40:21,753,7,25,8,---,---,
Estribor,06:40:51,---,---,---,---,---,---,
Estribor,06:41:15,755,8,25,7,---,---,
Estribor,06:41:45,---,---,---,---,---,---,
Estribor,06:42:12,758,0,---,---,---,---,
Estribor,06:42:38,754,1,---,---,---,---,
Estribor,06:43:04,---,---,---,---,---,---,
