Code,Tiempo,Escalas(m),Datos1(Fa),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Estribor,05:46:00,---,---,---,---,---,---,
Estribor,05:46:22,879,6,23,0,---,---,
Estribor,05:46:45,878,7,26,4,---,---,
Estribor,05:47:08,878,9,---,---,---,---,
Estribor,05:47:30,880,2,---,---,---,---,
Estribor,05:47:53,---,---,---,---,---,---,
Estribor,05:48:20,---,---,---,---,---,---,
Estribor,05:48:46,884,2,---,---,---,---,
Estribor,05:49:14,---,---,---,---,---,---,
Estribor,05:49:36,879,9,---,---,---,---,
Estribor,05:50:00,---,---,---,---,---,---,
Estribor,05:50:24,880,7,---,---,---,---,
Estribor,05:50:48,---,---,---,---,---,---,
Estribor,05:51:12,---,---,---,---,---,---,
Estribor,05:51:33,881,7,---,---,---,---,
Estribor,05:51:57,879,1,---,---,---,---,
Estribor,05:52:20,879,5,---,---,---,---,
Estribor,05:52:44,879,8,---,---,---,---,
Estribor,05:53:05,878,8,---,---,---,---,
Estribor,05:53:27,878,8,---,---,---,---,
Estribor,05:53:55,---,---,---,---,---,---,
Estribor,05:54:24,---,---,---,---,---,---,
Estribor,05:54:47,880,3,---,---,---,---,
Estribor,05:55:14,879,7,---,---,---,---,
Estribor,05:55:39,---,---,---,---,---,---,
Estribor,05:56:07,---,---,---,---,---,---,
Estribor,05:56:35,---,---,---,---,---,---,
Estribor,05:57:01,---,---,---,---,---,---,
Estribor,05:57:27,---,---,---,---,---,---,
Estribor,05:57:53,---,---,---,---,---,---,
Estribor,05:58:20,---,---,---,---,---,---,
Estribor,05:58:43,---,---,---,---,---,---,
Estribor,05:59:06,---,---,---,---,---,---,
Estribor,05:59:31,880,3,---,---,---,---,
Estribor,05:59:58,---,---,---,---,---,---,
Estribor,06:00:24,881,0,---,---,---,---,
Estribor,06:00:49,880,6,34,4,---,---,
Estribor,06:01:15,878,7,---,---,---,---,
Estribor,06:01:42,880,1,---,---,---,---,
Estribor,06:02:04,881,0,---,---,---,---,
Estribor,06:02:31,---,---,---,---,---,---,
Estribor,06:02:53,879,9,---,---,---,---,
Estribor,06:03:18,880,1,---,---,---,---,
Estribor,06:03:45,---,---,---,---,---,---,
Estribor,06:04:13,---,---,---,---,---,---,
Estribor,06:04:40,---,---,---,---,---,---,
Estribor,06:05:05,880,6,---,---,---,---,
Estribor,06:05:30,---,---,---,---,---,---,
Estribor,06:05:53,882,1,---,---,---,---,
Estribor,06:06:17,---,---,---,---,---,---,
Estribor,06:06:40,879,2,---,---,---,---,
Estribor,06:07:05,881,5,---,---,---,---,
Estribor,06:07:33,---,---,---,---,---,---,
Estribor,06:07:56,878,9,---,---,---,---,
Estribor,06:08:23,---,---,---,---,---,---,
Estribor,06:08:46,882,2,---,---,---,---,
Estribor,06:09:09,878,5,---,---,---,---,
Estribor,06:09:31,879,2,---,---,---,---,
Estribor,06:09:58,---,---,---,---,---,---,
Estribor,06:10:24,---,---,---,---,---,---,
Estribor,06:10:48,878,9,---,---,---,---,
Estribor,06:11:13,---,---,---,---,---,---,
Estribor,06:11:37,879,6,---,---,---,---,
Estribor,06:12:01,---,---,---,---,---,---,
Estribor,06:12:25,878,6,36,2,---,---,
Estribor,06:12:48,879,7,36,4,---,---,
Estribor,06:13:16,---,---,---,---,---,---,
Estribor,06:13:41,---,---,---,---,---,---,
Estribor,06:14:02,880,6,---,---,---,---,
Estribor,06:14:29,---,---,---,---,---,---,
Estribor,06:14:54,---,---,---,---,---,---,
Estribor,06:15:17,879,4,---,---,---,---,
Estribor,06:15:41,879,5,---,---,---,---,
Estribor,06:16:04,880,2,---,---,---,---,
Estribor,06:16:30,---,---,---,---,---,---,
Estribor,06:16:54,879,4,33,1,---,---,
Estribor,06:17:17,885,2,---,---,---,---,
Estribor,06:17:40,880,0,---,---,---,---,
Estribor,06:18:07,---,---,---,---,---,---,
Estribor,06:18:30,882,9,---,---,---,---,
Estribor,06:18:55,---,---,---,---,---,---,
Estribor,06:19:22,879,7,---,---,---,---,
Estribor,06:19:44,879,8,---,---,---,---,
Estribor,06:20:10,---,---,---,---,---,---,
Estribor,06:20:33,---,---,---,---,---,---,
Estribor,06:20:58,---,---,---,---,---,---,
Estribor,06:21:19,881,1,---,---,---,---,
Estribor,06:21:42,879,4,32,9,---,---,
Estribor,06:22:06,879,5,34,0,---,---,
Estribor,06:22:31,880,1,---,---,---,---,
Estribor,06:22:53,879,5,---,---,---,---,
Estribor,06:23:14,879,5,---,---,---,---,
Estribor,06:23:35,879,9,---,---,---,---,
Estribor,06:24:02,---,---,---,---,---,---,
Estribor,06:24:28,---,---,---,---,---,---,
