Code,Tiempo,Escalas(m),Datos1(),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Capturas 1,06:03:25,833,1,---,---,---,---,
Capturas 1,06:03:50,---,---,---,---,---,---,
Capturas 1,06:04:15,---,---,---,---,---,---,
Capturas 1,06:04:37,837,7,Off,---,---,---,
Capturas 1,06:05:02,835,1,---,---,---,---,
Capturas 1,06:05:25,836,6,---,---,---,---,
Capturas 1,06:05:48,836,5,---,---,---,---,
Capturas 1,06:06:13,---,---,---,---,---,---,
Capturas 1,06:06:35,---,---,---,---,---,---,
Capturas 1,06:06:55,837,7,---,---,---,---,
Capturas 1,06:07:17,840,2,---,---,---,---,
Capturas 1,06:07:39,837,7,---,---,---,---,
Capturas 1,06:08:03,---,---,---,---,---,---,
Capturas 1,06:08:26,841,4,---,---,---,---,
Capturas 1,06:08:48,840,8,---,---,---,---,
Capturas 1,06:09:09,840,1,---,---,---,---,
Capturas 1,06:09:34,840,8,---,---,---,---,
Capturas 1,06:10:02,840,5,---,---,---,---,
Capturas 1,06:10:24,836,9,---,---,---,---,
Capturas 1,06:10:49,---,---,---,---,---,---,
Capturas 1,06:11:08,836,9,Off,---,---,---,
Capturas 1,06:11:31,837,9,---,---,---,---,
Capturas 1,06:11:53,837,6,Off,---,---,---,
Capturas 1,06:12:19,838,4,---,---,---,---,
Capturas 1,06:12:40,837,4,Off,---,---,---,
Capturas 1,06:13:08,---,---,---,---,---,---,
Capturas 1,06:13:34,---,---,---,---,---,---,
Capturas 1,06:13:54,838,1,---,---,---,---,
Capturas 1,06:14:15,837,9,Off,---,---,---,
Capturas 1,06:14:39,839,3,---,---,---,---,
Capturas 1,06:15:02,---,---,---,---,---,---,
Capturas 1,06:15:24,---,---,---,---,---,---,
Capturas 1,06:15:47,838,6,Off,---,---,---,
Capturas 1,06:16:11,838,6,Off,---,---,---,
Capturas 1,06:16:36,---,---,---,---,---,---,
Capturas 1,06:16:59,843,0,---,---,---,---,
Capturas 1,06:17:20,842,9,---,---,---,---,
Capturas 1,06:17:41,839,7,---,---,---,---,
Capturas 1,06:18:05,---,---,---,---,---,---,
Capturas 1,06:18:29,---,---,---,---,---,---,
Capturas 1,06:18:52,838,1,---,---,---,---,
Capturas 1,06:19:13,839,4,---,---,---,---,
Capturas 1,06:19:35,837,7,---,---,---,---,
Capturas 1,06:19:58,838,4,---,---,---,---,
Capturas 1,06:20:21,---,---,---,---,---,---,
Capturas 1,06:20:46,---,---,---,---,---,---,
Capturas 1,06:21:06,840,3,---,---,---,---,
Capturas 1,06:21:26,839,1,Off,---,---,---,
Capturas 1,06:21:51,840,5,Off,---,---,---,
Capturas 1,06:22:19,---,---,---,---,---,---,
Capturas 1,06:22:41,838,7,---,---,---,---,
Capturas 1,06:23:00,840,0,Off,---,---,---,
Capturas 1,06:23:29,---,---,---,---,---,---,
Capturas 1,06:23:53,839,0,---,---,---,---,
Capturas 1,06:24:17,839,2,---,---,---,---,
Capturas 1,06:24:43,---,---,---,---,---,---,
Capturas 1,06:25:04,839,1,---,---,---,---,
Capturas 1,06:25:27,839,4,---,---,---,---,
Capturas 1,06:25:52,---,---,---,---,---,---,
Capturas 1,06:26:16,841,2,---,---,---,---,
Capturas 1,06:26:42,---,---,---,---,---,---,
Capturas 1,06:27:06,---,---,---,---,---,---,
Capturas 1,06:27:30,---,---,---,---,---,---,
Capturas 1,06:27:54,---,---,---,---,---,---,
Capturas 1,06:28:18,---,---,---,---,---,---,
Capturas 1,06:28:48,---,---,---,---,---,---,
Capturas 1,06:29:16,---,---,---,---,---,---,
Capturas 1,06:29:39,---,---,---,---,---,---,
