Code,Tiempo,Escalas(m),Datos1(m),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Abertura,15:31:32,649,9,93,7,---,---,
Abertura,15:32:02,---,---,---,---,---,---,
Abertura,15:32:27,---,108,2,---,---,---,
Abertura,15:32:53,1004,8,112,0,---,---,
Abertura,15:33:24,---,---,---,---,---,---,
Abertura,15:33:50,---,---,---,---,---,---,
Abertura,15:34:16,1380,5,125,2,---,---,
Abertura,15:34:46,---,---,---,---,---,---,
Abertura,15:35:16,---,---,---,---,---,---,
Abertura,15:35:44,---,---,---,---,---,---,
Abertura,15:36:13,---,---,---,---,---,---,
Abertura,15:36:41,---,---,---,---,---,---,
Abertura,15:37:09,---,---,---,---,---,---,
Abertura,15:37:35,1724,0,---,---,---,---,
Abertura,15:38:04,---,---,---,---,---,---,
Abertura,15:38:31,---,---,---,---,---,---,
Abertura,15:39:00,---,---,---,---,---,---,
Abertura,15:39:27,---,---,---,---,---,---,
Abertura,15:39:57,---,---,---,---,---,---,
Abertura,15:40:25,---,---,---,---,---,---,
Abertura,15:40:52,---,---,---,---,---,---,
Abertura,15:41:17,1730,9,92,8,---,---,
Abertura,15:41:42,1730,8,---,---,---,---,
Abertura,15:42:09,---,---,---,---,---,---,
Abertura,15:42:35,1730,6,90,5,---,---,
Abertura,15:43:00,1730,2,90,4,---,---,
Abertura,15:43:25,1729,7,91,8,---,---,
Abertura,15:43:50,1729,6,93,6,---,---,
Abertura,15:44:15,1729,6,94,1,---,---,
Abertura,15:44:44,---,---,---,---,---,---,
Abertura,15:45:14,---,---,---,---,---,---,
Abertura,15:45:43,---,---,---,---,---,---,
Abertura,15:46:12,---,---,---,---,---,---,
Abertura,15:46:42,---,---,---,---,---,---,
Abertura,15:47:11,---,---,---,---,---,---,
Abertura,15:47:40,---,---,---,---,---,---,
Abertura,15:48:10,---,---,---,---,---,---,
Abertura,15:48:39,---,---,---,---,---,---,
Abertura,15:49:09,---,---,---,---,---,---,
Abertura,15:49:38,---,---,---,---,---,---,
Abertura,15:50:07,---,---,---,---,---,---,
Abertura,15:50:37,---,---,---,---,---,---,
Abertura,15:51:06,---,---,---,---,---,---,
Abertura,15:51:35,---,---,---,---,---,---,
Abertura,15:52:05,---,---,---,---,---,---,
Abertura,15:52:34,---,---,---,---,---,---,
Abertura,15:53:04,---,---,---,---,---,---,
Abertura,15:53:33,---,---,---,---,---,---,
Abertura,15:54:02,---,---,---,---,---,---,
Abertura,15:54:32,---,---,---,---,---,---,
Abertura,15:55:01,---,---,---,---,---,---,
Abertura,15:55:31,---,---,---,---,---,---,
Abertura,15:56:00,---,---,---,---,---,---,
Abertura,15:56:29,---,---,---,---,---,---,
Abertura,15:56:59,---,---,---,---,---,---,
Abertura,15:57:28,---,---,---,---,---,---,
Abertura,15:57:57,---,---,---,---,---,---,
Abertura,15:58:25,---,---,---,---,---,---,
Abertura,15:58:55,---,---,---,---,---,---,
Abertura,15:59:24,---,---,---,---,---,---,
Abertura,15:59:54,---,---,---,---,---,---,
Abertura,16:00:23,---,---,---,---,---,---,
Abertura,16:00:49,1702,3,125,2,---,---,
Abertura,16:01:17,---,---,---,---,---,---,
Abertura,16:01:45,---,---,---,---,---,---,
Abertura,16:02:10,1663,2,126,5,---,---,
Abertura,16:02:39,---,---,---,---,---,---,
Abertura,16:03:09,---,---,---,---,---,---,
Abertura,16:03:38,---,---,---,---,---,---,
Abertura,16:04:07,---,---,---,---,---,---,
Abertura,16:04:33,1723,2,---,---,---,---,
Abertura,16:05:03,---,---,---,---,---,---,
Abertura,16:05:33,---,---,---,---,---,---,
Abertura,16:06:02,---,---,---,---,---,---,
Abertura,16:06:32,---,---,---,---,---,---,
Abertura,16:07:01,---,---,---,---,---,---,
Abertura,16:07:30,---,---,---,---,---,---,
Abertura,16:08:00,---,---,---,---,---,---,
Abertura,16:08:29,---,---,---,---,---,---,
Abertura,16:08:59,---,---,---,---,---,---,
Abertura,16:09:28,---,---,---,---,---,---,
Abertura,16:09:57,---,---,---,---,---,---,
Abertura,16:10:27,---,---,---,---,---,---,
Abertura,16:10:56,---,---,---,---,---,---,
Abertura,16:11:25,---,---,---,---,---,---,
Abertura,16:11:55,---,---,---,---,---,---,
Abertura,16:12:24,---,---,---,---,---,---,
Abertura,16:12:54,---,---,---,---,---,---,
Abertura,16:13:23,---,---,---,---,---,---,
Abertura,16:13:52,---,---,---,---,---,---,
Abertura,16:14:22,---,---,---,---,---,---,
Abertura,16:14:51,---,---,---,---,---,---,
Abertura,16:15:20,---,---,---,---,---,---,
Abertura,16:15:50,---,---,---,---,---,---,
Abertura,16:16:19,---,---,---,---,---,---,
Abertura,16:16:49,---,---,---,---,---,---,
Abertura,16:17:18,---,---,---,---,---,---,
Abertura,16:17:47,---,---,---,---,---,---,
Abertura,16:18:17,---,---,---,---,---,---,
Abertura,16:18:46,---,---,---,---,---,---,
Abertura,16:19:16,---,---,---,---,---,---,
Abertura,16:19:44,---,---,---,---,---,---,
Abertura,16:20:13,---,---,---,---,---,---,
Abertura,16:20:42,---,---,---,---,---,---,
Abertura,16:21:10,---,---,---,---,---,---,
Abertura,16:21:38,1732,8,122,8,---,---,
Abertura,16:22:08,---,---,---,---,---,---,
Abertura,16:22:37,---,---,---,---,---,---,
Abertura,16:23:06,---,---,---,---,---,---,
Abertura,16:23:34,---,---,---,---,---,---,
Abertura,16:24:04,---,---,---,---,---,---,
Abertura,16:24:33,---,---,---,---,---,---,
Abertura,16:25:02,---,---,---,---,---,---,
