Code,Tiempo,Escalas(m),Datos1(°C),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Starboard Temperature,18:08:35,1696,2,10,9,---,---,
Starboard Temperature,18:09:12,1696,0,10,9,---,---,
Starboard Temperature,18:12:57,1696,2,10,9,---,---,
Starboard Temperature,18:18:37,---,---,---,---,---,---,
Starboard Temperature,18:23:45,1696,3,10,8,---,---,
Starboard Temperature,18:29:23,1695,7,10,8,---,---,
Starboard Temperature,18:35:10,1695,7,10,8,---,---,
Starboard Temperature,18:35:48,1696,0,10,7,---,---,
Starboard Temperature,18:36:25,1695,9,10,8,---,---,
Starboard Temperature,18:37:02,1695,6,10,8,---,---,
Starboard Temperature,18:37:38,1695,8,10,8,---,---,
Starboard Temperature,18:38:15,1696,0,10,8,---,---,
Starboard Temperature,18:38:52,1695,7,10,8,---,---,
Starboard Temperature,18:39:29,1695,9,10,7,---,---,
Starboard Temperature,18:40:06,1696,4,10,7,---,---,
Starboard Temperature,18:40:43,1696,2,10,7,---,---,
Starboard Temperature,18:41:22,1696,0,10,7,---,---,
Starboard Temperature,18:41:58,1696,1,10,7,---,---,
Starboard Temperature,18:42:35,1696,3,10,7,---,---,
Starboard Temperature,18:43:12,1695,9,10,7,---,---,
Starboard Temperature,18:43:49,1696,3,10,7,---,---,
Starboard Temperature,18:44:26,1696,0,10,7,---,---,
Starboard Temperature,18:45:03,1696,2,10,7,---,---,
Starboard Temperature,18:45:41,1696,3,10,7,---,---,
Starboard Temperature,18:46:18,1695,9,10,7,---,---,
Starboard Temperature,18:46:55,1696,3,10,7,---,---,
Starboard Temperature,18:47:31,1696,2,10,7,---,---,
Starboard Temperature,18:48:08,1696,2,10,7,---,---,
Starboard Temperature,18:48:45,1696,2,10,7,---,---,
Starboard Temperature,18:49:22,1696,1,10,8,---,---,
Starboard Temperature,18:49:59,1696,0,10,8,---,---,
Starboard Temperature,18:50:36,1696,0,10,7,---,---,
Starboard Temperature,18:51:13,1695,9,10,8,---,---,
Starboard Temperature,18:51:50,1696,0,10,7,---,---,
Starboard Temperature,18:52:27,1695,6,10,7,---,---,
Starboard Temperature,18:53:04,1695,8,10,7,---,---,
Starboard Temperature,18:53:41,1695,9,10,8,---,---,
Starboard Temperature,18:54:18,1696,0,10,7,---,---,
Starboard Temperature,18:54:55,1695,9,10,7,---,---,
Starboard Temperature,18:55:33,1696,2,10,8,---,---,
Starboard Temperature,18:56:10,1695,9,10,7,---,---,
Starboard Temperature,18:56:47,1696,0,10,8,---,---,
Starboard Temperature,18:57:24,1695,7,10,7,---,---,
Starboard Temperature,18:58:01,1696,1,10,7,---,---,
Starboard Temperature,18:58:38,1695,8,10,8,---,---,
Starboard Temperature,18:59:15,1696,2,10,8,---,---,
Starboard Temperature,18:59:52,1696,0,10,8,---,---,
Starboard Temperature,19:00:29,1696,1,10,8,---,---,
Starboard Temperature,19:01:06,1695,9,10,7,---,---,
Starboard Temperature,19:01:43,1696,2,10,8,---,---,
Starboard Temperature,19:02:20,1696,1,10,8,---,---,
Starboard Temperature,19:02:57,1696,1,10,8,---,---,
Starboard Temperature,19:03:33,1696,2,10,7,---,---,
Starboard Temperature,19:04:11,1696,4,10,7,---,---,
Starboard Temperature,19:04:48,1695,9,10,8,---,---,
Starboard Temperature,19:05:25,1696,2,10,8,---,---,
Starboard Temperature,19:06:02,1696,1,10,7,---,---,
Starboard Temperature,19:06:39,1696,1,10,7,---,---,
Starboard Temperature,19:07:16,1696,4,10,7,---,---,
Starboard Temperature,19:07:56,1696,2,10,7,---,---,
Starboard Temperature,19:08:34,1696,0,10,7,---,---,
Starboard Temperature,19:09:11,1697,1,10,7,---,---,
Starboard Temperature,19:09:49,1695,9,10,7,---,---,
Starboard Temperature,19:10:26,1696,2,10,7,---,---,
Starboard Temperature,19:11:03,1696,1,10,6,---,---,
Starboard Temperature,19:11:40,1696,1,10,7,---,---,
Starboard Temperature,19:12:17,1696,0,10,6,---,---,
