Code,Tiempo,Escalas(m),Datos1(m),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Alineamiento de Estribor,12:36:53,1550,1,0,5,---,---,
Alineamiento de Estribor,12:37:30,1549,2,0,4,---,---,
Alineamiento de Estribor,12:38:08,1549,2,---,---,---,---,
Alineamiento de Estribor,12:38:44,1549,3,1,5,---,---,
Alineamiento de Estribor,12:39:21,1549,2,0,4,---,---,
Alineamiento de Estribor,12:39:57,1548,9,2,2,---,---,
Alineamiento de Estribor,12:40:34,1549,2,0,2,---,---,
Alineamiento de Estribor,12:41:14,1549,5,---,---,---,---,
Alineamiento de Estribor,12:41:51,1549,1,---,---,---,---,
Alineamiento de Estribor,12:42:26,1549,0,1,1,---,---,
Alineamiento de Estribor,12:43:05,1549,3,0,4,---,---,
Alineamiento de Estribor,12:43:43,1548,9,---,---,---,---,
Alineamiento de Estribor,12:44:19,1548,8,0,4,---,---,
Alineamiento de Estribor,12:44:55,1548,9,0,7,---,---,
Alineamiento de Estribor,12:45:32,1549,9,0,7,---,---,
Alineamiento de Estribor,12:46:10,1549,3,0,7,---,---,
Alineamiento de Estribor,12:46:49,1548,9,---,---,---,---,
Alineamiento de Estribor,12:47:25,1550,9,0,4,---,---,
Alineamiento de Estribor,12:48:02,1549,6,3,0,---,---,
Alineamiento de Estribor,12:48:39,1549,7,1,0,---,---,
Alineamiento de Estribor,12:49:16,1549,7,1,0,---,---,
Alineamiento de Estribor,12:49:53,1549,7,0,2,---,---,
Alineamiento de Estribor,12:50:31,1551,7,---,---,---,---,
Alineamiento de Estribor,12:51:08,1549,8,2,3,---,---,
Alineamiento de Estribor,12:51:45,1550,2,0,5,---,---,
Alineamiento de Estribor,12:52:22,1549,4,1,0,---,---,
Alineamiento de Estribor,12:52:59,1550,2,0,2,---,---,
Alineamiento de Estribor,12:53:36,1549,8,0,2,---,---,
Alineamiento de Estribor,12:54:13,1550,1,0,6,---,---,
Alineamiento de Estribor,12:54:50,1549,8,0,5,---,---,
Alineamiento de Estribor,12:55:27,1550,3,2,9,---,---,
Alineamiento de Estribor,12:56:04,1549,9,0,1,---,---,
Alineamiento de Estribor,12:56:41,1550,3,0,1,---,---,
Alineamiento de Estribor,12:57:18,1549,9,0,4,---,---,
Alineamiento de Estribor,12:57:56,1550,2,1,4,---,---,
Alineamiento de Estribor,12:58:37,---,---,---,---,---,---,
Alineamiento de Estribor,12:59:13,1549,7,---,---,---,---,
Alineamiento de Estribor,12:59:50,1550,4,0,5,---,---,
Alineamiento de Estribor,13:00:28,1550,3,0,2,---,---,
Alineamiento de Estribor,13:01:05,1550,0,0,6,---,---,
Alineamiento de Estribor,13:01:42,1549,9,0,4,---,---,
Alineamiento de Estribor,13:02:19,1549,5,0,2,---,---,
Alineamiento de Estribor,13:02:55,1549,6,0,5,---,---,
Alineamiento de Estribor,13:03:32,1549,4,0,3,---,---,
Alineamiento de Estribor,13:04:09,1549,6,0,2,---,---,
Alineamiento de Estribor,13:04:46,1549,6,0,2,---,---,
Alineamiento de Estribor,13:05:23,1549,5,0,4,---,---,
Alineamiento de Estribor,13:06:00,1549,9,---,---,---,---,
Alineamiento de Estribor,13:06:37,1549,2,0,6,---,---,
Alineamiento de Estribor,13:07:14,1549,7,0,7,---,---,
Alineamiento de Estribor,13:07:50,1550,6,0,2,---,---,
Alineamiento de Estribor,13:08:27,1549,7,0,5,---,---,
Alineamiento de Estribor,13:09:04,1549,6,0,6,---,---,
Alineamiento de Estribor,13:09:41,1549,8,0,7,---,---,
Alineamiento de Estribor,13:10:18,1549,6,0,7,---,---,
Alineamiento de Estribor,13:10:55,1549,6,---,---,---,---,
Alineamiento de Estribor,13:11:32,1549,3,1,1,---,---,
Alineamiento de Estribor,13:12:09,1549,6,0,5,---,---,
Alineamiento de Estribor,13:12:46,1549,2,0,6,---,---,
Alineamiento de Estribor,13:13:23,1549,5,0,7,---,---,
Alineamiento de Estribor,13:13:59,1549,2,0,4,---,---,
Alineamiento de Estribor,13:14:36,1549,3,0,1,---,---,
Alineamiento de Estribor,13:15:13,1549,3,0,4,---,---,
Alineamiento de Estribor,13:15:51,1549,3,---,---,---,---,
Alineamiento de Estribor,13:16:28,1549,3,2,3,---,---,
Alineamiento de Estribor,13:17:05,1549,3,0,6,---,---,
Alineamiento de Estribor,13:17:42,1549,5,1,1,---,---,
Alineamiento de Estribor,13:18:19,1549,4,0,6,---,---,
Alineamiento de Estribor,13:18:56,1549,6,1,9,---,---,
Alineamiento de Estribor,13:19:33,1549,7,0,4,---,---,
Alineamiento de Estribor,13:20:10,1550,0,0,1,---,---,
Alineamiento de Estribor,13:20:47,1549,4,1,4,---,---,
Alineamiento de Estribor,13:21:24,1549,5,0,7,---,---,
Alineamiento de Estribor,13:22:01,1549,7,0,1,---,---,
Alineamiento de Estribor,13:22:38,1550,0,0,5,---,---,
Alineamiento de Estribor,13:23:15,1550,1,0,2,---,---,
Alineamiento de Estribor,13:23:52,1550,3,1,0,---,---,
Alineamiento de Estribor,13:24:29,1549,3,0,5,---,---,
Alineamiento de Estribor,13:25:05,1549,2,0,5,---,---,
Alineamiento de Estribor,13:25:42,1549,6,0,4,---,---,
Alineamiento de Estribor,13:26:19,1550,1,0,6,---,---,
Alineamiento de Estribor,13:26:57,1549,7,1,0,---,---,
Alineamiento de Estribor,13:27:33,1550,3,0,5,---,---,
Alineamiento de Estribor,13:28:10,1549,7,0,9,---,---,
Alineamiento de Estribor,13:28:47,1549,6,0,6,---,---,
Alineamiento de Estribor,13:29:24,1549,9,0,1,---,---,
Alineamiento de Estribor,13:30:01,1549,9,0,7,---,---,
Alineamiento de Estribor,13:30:38,1550,1,0,4,---,---,
Alineamiento de Estribor,13:31:15,1550,1,0,5,---,---,
Alineamiento de Estribor,13:31:52,1550,3,0,2,---,---,
Alineamiento de Estribor,13:32:29,1551,0,---,---,---,---,
Alineamiento de Estribor,13:33:06,1550,4,0,4,---,---,
Alineamiento de Estribor,13:33:43,1550,4,0,2,---,---,
Alineamiento de Estribor,13:34:20,1550,4,0,4,---,---,
Alineamiento de Estribor,13:34:57,1550,4,0,2,---,---,
Alineamiento de Estribor,13:35:34,1550,7,0,1,---,---,
Alineamiento de Estribor,13:36:12,1550,8,0,5,---,---,
Alineamiento de Estribor,13:36:49,1550,7,1,0,---,---,
