Code,Tiempo,Escalas(m),Datos1(m),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Cabecera altura,18:08:54,---,---,---,---,---,---,
Cabecera altura,18:09:31,---,---,---,---,---,---,
Cabecera altura,18:10:08,---,---,---,---,---,---,
Cabecera altura,18:10:45,---,---,---,---,---,---,
Cabecera altura,18:11:22,---,---,---,---,---,---,
Cabecera altura,18:11:59,---,---,---,---,---,---,
Cabecera altura,18:12:35,---,---,---,---,---,---,
Cabecera altura,18:13:12,---,---,---,---,---,---,
Cabecera altura,18:13:49,---,---,---,---,---,---,
Cabecera altura,18:14:26,---,---,---,---,---,---,
Cabecera altura,18:15:03,---,---,---,---,---,---,
Cabecera altura,18:15:40,---,---,---,---,---,---,
Cabecera altura,18:16:17,---,---,---,---,---,---,
Cabecera altura,18:16:54,---,---,---,---,---,---,
Cabecera altura,18:17:31,---,---,---,---,---,---,
Cabecera altura,18:18:08,---,---,---,---,---,---,
Cabecera altura,18:18:45,---,---,---,---,---,---,
Cabecera altura,18:19:21,---,---,---,---,---,---,
Cabecera altura,18:20:00,---,---,---,---,---,---,
Cabecera altura,18:20:37,---,---,---,---,---,---,
Cabecera altura,18:21:13,---,---,---,---,---,---,
Cabecera altura,18:21:50,---,---,---,---,---,---,
Cabecera altura,18:22:27,---,---,---,---,---,---,
Cabecera altura,18:23:04,---,---,---,---,---,---,
Cabecera altura,18:23:41,---,---,---,---,---,---,
Cabecera altura,18:24:18,---,---,---,---,---,---,
Cabecera altura,18:24:55,---,---,---,---,---,---,
Cabecera altura,18:25:32,---,---,---,---,---,---,
Cabecera altura,18:26:09,---,---,---,---,---,---,
Cabecera altura,18:26:46,---,---,---,---,---,---,
Cabecera altura,18:27:25,---,---,---,---,---,---,
Cabecera altura,18:28:02,---,---,---,---,---,---,
Cabecera altura,18:28:39,---,---,---,---,---,---,
Cabecera altura,18:29:16,---,---,---,---,---,---,
Cabecera altura,18:29:56,---,---,---,---,---,---,
Cabecera altura,18:30:33,---,---,---,---,---,---,
Cabecera altura,18:31:10,---,---,---,---,---,---,
Cabecera altura,18:31:47,---,---,---,---,---,---,
Cabecera altura,18:32:24,---,---,---,---,---,---,
Cabecera altura,18:33:01,---,---,---,---,---,---,
Cabecera altura,18:33:38,---,---,---,---,---,---,
Cabecera altura,18:34:15,---,---,---,---,---,---,
Cabecera altura,18:34:52,---,---,---,---,---,---,
Cabecera altura,18:35:29,---,---,---,---,---,---,
Cabecera altura,18:36:06,---,---,---,---,---,---,
Cabecera altura,18:36:43,---,---,---,---,---,---,
Cabecera altura,18:37:20,---,---,---,---,---,---,
Cabecera altura,18:37:57,---,---,---,---,---,---,
Cabecera altura,18:38:34,---,---,---,---,---,---,
Cabecera altura,18:39:11,---,---,---,---,---,---,
Cabecera altura,18:39:49,---,---,---,---,---,---,
Cabecera altura,18:40:27,---,---,---,---,---,---,
Cabecera altura,18:41:06,---,---,---,---,---,---,
Cabecera altura,18:41:42,---,---,---,---,---,---,
Cabecera altura,18:42:19,---,---,---,---,---,---,
Cabecera altura,18:42:56,---,---,---,---,---,---,
Cabecera altura,18:43:33,---,---,---,---,---,---,
Cabecera altura,18:44:10,---,---,---,---,---,---,
Cabecera altura,18:44:47,---,---,---,---,---,---,
Cabecera altura,18:45:24,---,---,---,---,---,---,
Cabecera altura,18:46:01,---,---,---,---,---,---,
Cabecera altura,18:46:38,---,---,---,---,---,---,
Cabecera altura,18:47:15,---,---,---,---,---,---,
Cabecera altura,18:47:52,---,---,---,---,---,---,
Cabecera altura,18:48:30,---,---,---,---,---,---,
Cabecera altura,18:49:07,---,---,---,---,---,---,
Cabecera altura,18:49:44,---,---,---,---,---,---,
Cabecera altura,18:50:21,---,---,---,---,---,---,
Cabecera altura,18:50:59,---,---,---,---,---,---,
Cabecera altura,18:51:36,---,---,---,---,---,---,
Cabecera altura,18:52:13,---,---,---,---,---,---,
Cabecera altura,18:52:51,---,---,---,---,---,---,
Cabecera altura,18:53:28,---,---,---,---,---,---,
Cabecera altura,18:54:05,---,---,---,---,---,---,
Cabecera altura,18:54:43,---,---,---,---,---,---,
Cabecera altura,18:55:20,---,---,---,---,---,---,
Cabecera altura,18:55:57,---,---,---,---,---,---,
