Code,Tiempo,Escalas(m),Datos1(°),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Babor,16:53:01,---,---,---,---,---,---,
Babor,16:53:31,---,---,---,---,---,---,
Babor,16:54:01,---,---,---,---,---,---,
Babor,16:54:30,---,---,---,---,---,---,
Babor,16:54:59,---,---,---,---,---,---,
Babor,16:55:29,---,---,---,---,---,---,
Babor,16:55:57,---,---,---,---,---,---,
Babor,16:56:25,1472,2,---,---,---,---,
Babor,16:56:54,---,---,---,---,---,---,
Babor,16:57:21,---,---,---,---,---,---,
Babor,16:57:48,1742,7,-9,7,---,---,
Babor,16:58:17,1743,9,---,---,---,---,
Babor,16:58:46,---,---,---,---,---,---,
Babor,16:59:15,---,---,---,---,---,---,
Babor,16:59:46,---,---,---,---,---,---,
Babor,17:00:15,---,---,---,---,---,---,
Babor,17:00:45,---,---,---,---,---,---,
Babor,17:01:13,---,---,---,---,---,---,
Babor,17:01:43,---,---,---,---,---,---,
Babor,17:02:13,---,---,---,---,---,---,
Babor,17:02:42,---,---,---,---,---,---,
Babor,17:03:06,---,---,---,---,---,---,
Babor,17:03:36,---,---,---,---,---,---,
Babor,17:04:05,---,---,---,---,---,---,
Babor,17:04:34,2628,4,---,---,---,---,
Babor,17:05:04,---,---,---,---,---,---,
Babor,17:05:33,---,---,---,---,---,---,
Babor,17:06:03,---,---,---,---,---,---,
Babor,17:06:31,---,---,---,---,---,---,
Babor,17:07:01,---,---,---,---,---,---,
Babor,17:07:30,---,---,---,---,---,---,
Babor,17:07:58,---,---,---,---,---,---,
Babor,17:08:28,---,---,---,---,---,---,
Babor,17:08:56,---,---,---,---,---,---,
Babor,17:09:25,---,---,---,---,---,---,
Babor,17:09:51,---,-11,4,---,---,---,
Babor,17:10:21,---,---,---,---,---,---,
Babor,17:10:50,---,---,---,---,---,---,
Babor,17:11:17,---,---,---,---,---,---,
Babor,17:11:44,847,4,---,---,---,---,
Babor,17:12:10,---,---,---,---,---,---,
Babor,17:12:40,---,---,---,---,---,---,
Babor,17:13:08,1466,0,---,---,---,---,
Babor,17:13:37,---,---,---,---,---,---,
Babor,17:14:07,---,---,---,---,---,---,
Babor,17:14:37,---,---,---,---,---,---,
Babor,17:15:07,---,---,---,---,---,---,
Babor,17:15:32,---,---,---,---,---,---,
Babor,17:16:01,1910,2,77,8,---,---,
Babor,17:16:31,---,---,---,---,---,---,
Babor,17:17:00,---,---,---,---,---,---,
Babor,17:17:29,---,---,---,---,---,---,
Babor,17:17:59,---,---,---,---,---,---,
Babor,17:18:27,---,---,---,---,---,---,
Babor,17:18:56,---,---,---,---,---,---,
Babor,17:19:26,---,---,---,---,---,---,
Babor,17:19:54,---,---,---,---,---,---,
Babor,17:20:24,---,---,---,---,---,---,
Babor,17:20:50,---,---,---,---,---,---,
Babor,17:21:20,---,---,---,---,---,---,
Babor,17:21:49,---,---,---,---,---,---,
Babor,17:22:19,---,---,---,---,---,---,
Babor,17:22:48,---,---,---,---,---,---,
Babor,17:23:17,---,---,---,---,---,---,
Babor,17:23:45,---,---,---,---,---,---,
Babor,17:24:13,---,---,---,---,---,---,
Babor,17:24:43,---,---,---,---,---,---,
Babor,17:25:12,---,---,---,---,---,---,
Babor,17:25:42,---,---,---,---,---,---,
Babor,17:26:11,---,---,---,---,---,---,
Babor,17:26:40,---,---,---,---,---,---,
Babor,17:27:10,---,---,---,---,---,---,
Babor,17:27:56,---,---,---,---,---,---,
Babor,17:29:28,---,---,---,---,---,---,
Babor,17:31:00,---,---,---,---,---,---,
Babor,17:32:30,755,1,---,---,---,---,
Babor,17:34:22,---,---,---,---,---,---,
Babor,17:35:52,---,-9,7,---,---,---,
Babor,17:37:44,---,---,---,---,---,---,
Babor,17:39:13,153,9,---,---,---,---,
Babor,17:40:46,---,76,7,---,---,---,
Babor,17:42:36,1341,5,---,---,---,---,
Babor,17:44:28,---,---,---,---,---,---,
Babor,17:46:00,---,---,---,---,---,---,
Babor,17:47:34,---,---,---,---,---,---,
Babor,17:49:07,---,---,---,---,---,---,
Babor,17:50:36,1742,1,-8,6,---,---,
Babor,17:52:47,---,---,---,---,---,---,
Babor,17:54:17,1910,8,76,8,---,---,
Babor,17:56:09,---,---,---,---,---,---,
Babor,17:57:40,---,---,---,---,---,---,
Babor,17:59:14,---,---,---,---,---,---,
Babor,18:00:45,---,---,---,---,---,---,
Babor,18:02:18,---,---,---,---,---,---,
Babor,18:03:52,---,---,---,---,---,---,
Babor,18:05:42,---,---,---,---,---,---,
Babor,18:07:32,---,---,---,---,---,---,
Babor,18:09:04,---,---,---,---,---,---,
Babor,18:10:36,---,---,---,---,---,---,
Babor,18:12:08,---,---,---,---,---,---,
Babor,18:13:41,---,---,---,---,---,---,
Babor,18:15:13,---,---,---,---,---,---,
Babor,18:16:44,1282,9,---,---,---,---,
Babor,18:18:18,---,---,---,---,---,---,
Babor,18:19:50,---,---,---,---,---,---,
Babor,18:21:22,---,---,---,---,---,---,
Babor,18:23:13,---,---,---,---,---,---,
Babor,18:24:46,---,---,---,---,---,---,
Babor,18:26:17,---,---,---,---,---,---,
Babor,18:27:50,---,---,---,---,---,---,
Babor,18:29:22,---,---,---,---,---,---,
Babor,18:31:10,1910,7,76,4,---,---,
Babor,18:33:02,---,---,---,---,---,---,
Babor,18:34:34,---,---,---,---,---,---,
Babor,18:36:24,---,---,---,---,---,---,
Babor,18:37:57,---,---,---,---,---,---,
Babor,18:39:47,---,---,---,---,---,---,
Babor,18:41:37,---,---,---,---,---,---,
Babor,18:43:09,---,---,---,---,---,---,
Babor,18:44:41,---,---,---,---,---,---,
Babor,18:46:13,---,---,---,---,---,---,
Babor,18:47:46,---,---,---,---,---,---,
Babor,18:49:17,---,---,---,---,---,---,
Babor,18:50:50,---,---,---,---,---,---,
Babor,18:52:22,---,---,---,---,---,---,
Babor,18:53:54,---,---,---,---,---,---,
Babor,18:55:26,---,---,---,---,---,---,
Babor,18:56:58,---,---,---,---,---,---,
Babor,18:58:30,---,---,---,---,---,---,
Babor,19:00:02,---,---,---,---,---,---,
Babor,19:01:34,---,---,---,---,---,---,
Babor,19:03:06,---,---,---,---,---,---,
Babor,19:04:38,---,---,---,---,---,---,
Babor,19:06:11,---,---,---,---,---,---,
Babor,19:07:41,1206,2,---,---,---,---,
Babor,19:09:16,---,---,---,---,---,---,
Babor,19:10:49,---,---,---,---,---,---,
Babor,19:12:39,---,---,---,---,---,---,
Babor,19:14:11,---,---,---,---,---,---,
Babor,19:15:43,---,---,---,---,---,---,
Babor,19:17:33,---,---,---,---,---,---,
Babor,19:19:06,---,---,---,---,---,---,
Babor,19:20:56,---,---,---,---,---,---,
Babor,19:22:28,---,---,---,---,---,---,
Babor,19:24:00,---,---,---,---,---,---,
Babor,19:25:33,---,---,---,---,---,---,
Babor,19:27:05,---,---,---,---,---,---,
Babor,19:28:55,---,---,---,---,---,---,
Babor,19:30:27,---,---,---,---,---,---,
Babor,19:31:59,---,---,---,---,---,---,
Babor,19:33:49,---,---,---,---,---,---,
Babor,19:35:55,1745,2,-9,8,---,---,
Babor,19:38:03,1743,8,-11,8,---,---,
Babor,19:40:13,---,---,---,---,---,---,
Babor,19:41:45,---,---,---,---,---,---,
Babor,19:43:18,---,---,---,---,---,---,
Babor,19:44:50,---,---,---,---,---,---,
Babor,19:46:22,---,---,---,---,---,---,
