Code,Tiempo,Escalas(m),Datos1(°),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Estribor,03:50:05,---,---,---,---,---,---,
Estribor,03:50:29,---,---,---,---,---,---,
Estribor,03:50:53,---,---,---,---,---,---,
Estribor,03:51:16,1671,5,---,---,---,---,
Estribor,03:51:41,---,---,---,---,---,---,
Estribor,03:52:05,---,---,---,---,---,---,
Estribor,03:52:30,---,---,---,---,---,---,
Estribor,03:52:52,1672,6,---,---,---,---,
Estribor,03:53:17,1673,4,---,---,---,---,
Estribor,03:53:41,1673,9,---,---,---,---,
Estribor,03:54:05,1673,3,---,---,---,---,
Estribor,03:54:31,---,---,---,---,---,---,
Estribor,03:54:55,---,---,---,---,---,---,
Estribor,03:55:19,---,---,---,---,---,---,
Estribor,03:55:43,---,---,---,---,---,---,
Estribor,03:56:07,---,---,---,---,---,---,
Estribor,03:56:32,---,---,---,---,---,---,
Estribor,03:56:56,---,---,---,---,---,---,
Estribor,03:57:20,---,---,---,---,---,---,
Estribor,03:57:44,---,---,---,---,---,---,
Estribor,03:58:08,---,---,---,---,---,---,
Estribor,03:58:32,---,---,---,---,---,---,
Estribor,03:58:56,---,---,---,---,---,---,
Estribor,03:59:21,---,---,---,---,---,---,
Estribor,03:59:43,1672,9,---,---,---,---,
Estribor,04:00:09,---,---,---,---,---,---,
Estribor,04:00:33,---,---,---,---,---,---,
Estribor,04:00:57,---,---,---,---,---,---,
Estribor,04:01:19,1673,6,-1,6,---,---,
Estribor,04:01:47,1673,8,---,---,---,---,
Estribor,04:02:13,---,---,---,---,---,---,
Estribor,04:02:37,---,---,---,---,---,---,
Estribor,04:03:01,---,---,---,---,---,---,
Estribor,04:03:25,---,---,---,---,---,---,
Estribor,04:03:49,---,---,---,---,---,---,
Estribor,04:04:13,---,---,---,---,---,---,
Estribor,04:04:36,1673,4,---,---,---,---,
Estribor,04:05:02,---,---,---,---,---,---,
Estribor,04:05:24,1673,8,---,---,---,---,
Estribor,04:05:50,---,---,---,---,---,---,
Estribor,04:06:14,---,---,---,---,---,---,
Estribor,04:06:37,1673,7,---,---,---,---,
Estribor,04:07:03,---,---,---,---,---,---,
Estribor,04:07:27,---,---,---,---,---,---,
Estribor,04:07:50,1673,1,---,---,---,---,
Estribor,04:08:15,---,---,---,---,---,---,
Estribor,04:08:39,---,---,---,---,---,---,
