Code,Tiempo,Escalas(m),Datos1(°),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Starboard Door Heel,06:13:52,772,9,37,8,---,---,
Starboard Door Heel,06:14:18,774,5,---,---,---,---,
Starboard Door Heel,06:14:42,773,7,---,---,---,---,
Starboard Door Heel,06:15:05,774,1,---,---,---,---,
Starboard Door Heel,06:15:29,773,4,---,---,---,---,
Starboard Door Heel,06:15:53,773,0,44,7,---,---,
Starboard Door Heel,06:16:18,776,2,45,9,---,---,
Starboard Door Heel,06:16:44,772,8,---,---,---,---,
Starboard Door Heel,06:17:07,773,7,41,2,---,---,
Starboard Door Heel,06:17:35,773,2,---,---,---,---,
Starboard Door Heel,06:17:59,774,3,---,---,---,---,
Starboard Door Heel,06:18:26,---,---,---,---,---,---,
Starboard Door Heel,06:18:51,773,0,45,8,---,---,
Starboard Door Heel,06:19:17,772,3,54,0,---,---,
Starboard Door Heel,06:19:47,---,---,---,---,---,---,
Starboard Door Heel,06:20:11,772,8,51,8,---,---,
Starboard Door Heel,06:20:40,---,---,---,---,---,---,
Starboard Door Heel,06:21:05,774,2,---,---,---,---,
Starboard Door Heel,06:21:29,772,7,---,---,---,---,
Starboard Door Heel,06:21:54,772,6,51,4,---,---,
Starboard Door Heel,06:22:18,772,9,47,6,---,---,
Starboard Door Heel,06:22:43,773,1,---,---,---,---,
Starboard Door Heel,06:23:07,772,9,---,---,---,---,
Starboard Door Heel,06:23:31,773,5,---,---,---,---,
Starboard Door Heel,06:23:58,772,2,---,---,---,---,
Starboard Door Heel,06:24:21,772,4,---,---,---,---,
Starboard Door Heel,06:24:45,772,3,---,---,---,---,
Starboard Door Heel,06:25:11,771,9,---,---,---,---,
Starboard Door Heel,06:25:38,772,2,---,---,---,---,
Starboard Door Heel,06:26:06,---,---,---,---,---,---,
Starboard Door Heel,06:26:34,---,---,---,---,---,---,
Starboard Door Heel,06:26:58,772,5,---,---,---,---,
Starboard Door Heel,06:27:27,---,---,---,---,---,---,
Starboard Door Heel,06:27:54,---,---,---,---,---,---,
Starboard Door Heel,06:28:20,772,5,---,---,---,---,
Starboard Door Heel,06:28:47,773,7,---,---,---,---,
Starboard Door Heel,06:29:14,773,5,---,---,---,---,
Starboard Door Heel,06:29:39,772,6,---,---,---,---,
Starboard Door Heel,06:30:04,775,2,---,---,---,---,
Starboard Door Heel,06:30:31,772,7,54,6,---,---,
Starboard Door Heel,06:31:01,---,---,---,---,---,---,
Starboard Door Heel,06:31:29,---,---,---,---,---,---,
Starboard Door Heel,06:31:52,772,6,50,5,---,---,
Starboard Door Heel,06:32:17,772,7,56,2,---,---,
Starboard Door Heel,06:32:47,---,---,---,---,---,---,
Starboard Door Heel,06:33:11,773,2,---,---,---,---,
Starboard Door Heel,06:33:40,---,---,---,---,---,---,
Starboard Door Heel,06:34:06,---,---,---,---,---,---,
Starboard Door Heel,06:34:32,---,---,---,---,---,---,
Starboard Door Heel,06:35:00,---,---,---,---,---,---,
Starboard Door Heel,06:35:28,---,---,---,---,---,---,
Starboard Door Heel,06:35:54,773,9,---,---,---,---,
Starboard Door Heel,06:36:18,772,7,---,---,---,---,
Starboard Door Heel,06:36:41,774,2,57,6,---,---,
Starboard Door Heel,06:37:06,771,4,55,6,---,---,
Starboard Door Heel,06:37:35,---,---,---,---,---,---,
Starboard Door Heel,06:37:58,771,8,---,---,---,---,
Starboard Door Heel,06:38:23,773,2,---,---,---,---,
Starboard Door Heel,06:38:48,771,9,55,5,---,---,
Starboard Door Heel,06:39:17,---,---,---,---,---,---,
Starboard Door Heel,06:39:40,773,8,---,---,---,---,
Starboard Door Heel,06:40:03,773,8,48,9,---,---,
Starboard Door Heel,06:40:28,772,3,47,7,---,---,
Starboard Door Heel,06:40:52,771,9,44,1,---,---,
Starboard Door Heel,06:41:17,773,2,52,4,---,---,
Starboard Door Heel,06:41:45,773,4,---,---,---,---,
Starboard Door Heel,06:42:08,773,5,42,7,---,---,
Starboard Door Heel,06:42:34,773,4,---,---,---,---,
Starboard Door Heel,06:43:00,773,2,---,---,---,---,
Starboard Door Heel,06:43:26,772,9,---,---,---,---,
Starboard Door Heel,06:43:52,773,9,52,0,---,---,
