[NOTUS TEXTFILE V3.3]
File Created: 26-nov-2019 16:09:22
Tow Date: 19-dic-2013 5:55:03


Transponder: C56S
Placement: Estribor

Code,Tiempo,Escalas(m),Datos1(Fa),Datos2(m),Latitude,Longitude,Sonda(m),Comment
C56S,05:55:13,---,---,---,---,---,---,
C56S,05:55:41,---,---,---,---,---,---,
C56S,05:56:06,599,2,25,8,---,---,---,---,
C56S,05:56:37,---,---,---,---,---,---,
C56S,05:57:06,---,---,---,---,---,---,
C56S,05:57:31,600,2,26,9,---,---,---,---,
C56S,05:58:00,---,---,---,---,---,---,
C56S,05:58:29,---,---,---,---,---,---,
C56S,05:58:56,600,8,---,---,---,---,---,
C56S,05:59:26,---,---,---,---,---,---,
C56S,05:59:54,---,---,---,---,---,---,
C56S,06:00:21,---,---,---,---,---,---,
C56S,06:00:50,---,---,---,---,---,---,
C56S,06:01:20,---,---,---,---,---,---,
C56S,06:01:49,---,---,---,---,---,---,
C56S,06:02:17,---,---,---,---,---,---,
C56S,06:02:46,---,---,---,---,---,---,
C56S,06:03:13,602,2,---,---,---,---,---,
C56S,06:03:43,---,---,---,---,---,---,
C56S,06:04:11,---,---,---,---,---,---,
C56S,06:04:40,---,---,---,---,---,---,
C56S,06:05:10,---,---,---,---,---,---,
C56S,06:05:37,---,---,---,---,---,---,
C56S,06:06:06,---,---,---,---,---,---,
C56S,06:06:35,---,---,---,---,---,---,
C56S,06:07:05,---,---,---,---,---,---,
C56S,06:07:34,---,---,---,---,---,---,
C56S,06:08:03,---,---,---,---,---,---,
C56S,06:08:33,---,---,---,---,---,---,
C56S,06:09:00,---,---,---,---,---,---,
C56S,06:09:27,---,---,---,---,---,---,
C56S,06:09:54,---,---,---,---,---,---,
C56S,06:10:23,---,---,---,---,---,---,
C56S,06:10:51,---,---,---,---,---,---,
C56S,06:11:18,---,---,---,---,---,---,
C56S,06:11:46,---,---,---,---,---,---,
C56S,06:12:13,---,---,---,---,---,---,
C56S,06:12:42,---,---,---,---,---,---,
C56S,06:13:10,---,---,---,---,---,---,
