Code,Tiempo,Escalas(m),Datos1(),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Capturas 1,05:56:24,---,---,---,---,---,---,
Capturas 1,05:56:48,907,3,---,---,---,---,
Capturas 1,05:57:14,906,1,---,---,---,---,
Capturas 1,05:57:35,905,9,---,---,---,---,
Capturas 1,05:58:03,---,---,---,---,---,---,
Capturas 1,05:58:28,---,---,---,---,---,---,
Capturas 1,05:58:49,905,1,Off,---,---,---,
Capturas 1,05:59:13,910,9,---,---,---,---,
Capturas 1,05:59:34,905,8,---,---,---,---,
Capturas 1,05:59:54,905,4,Off,---,---,---,
Capturas 1,06:00:18,908,4,Off,---,---,---,
Capturas 1,06:00:41,909,2,---,---,---,---,
Capturas 1,06:01:09,---,---,---,---,---,---,
Capturas 1,06:01:35,---,---,---,---,---,---,
Capturas 1,06:01:58,944,8,---,---,---,---,
Capturas 1,06:02:18,941,2,Off,---,---,---,
Capturas 1,06:02:43,941,4,Off,---,---,---,
Capturas 1,06:03:10,940,2,Off,---,---,---,
Capturas 1,06:03:32,942,0,Off,---,---,---,
Capturas 1,06:03:54,945,4,Off,---,---,---,
Capturas 1,06:04:20,940,6,Off,---,---,---,
Capturas 1,06:04:42,941,3,Off,---,---,---,
Capturas 1,06:05:05,942,6,---,---,---,---,
Capturas 1,06:05:26,942,2,Off,---,---,---,
Capturas 1,06:05:50,941,7,Off,---,---,---,
Capturas 1,06:06:12,943,0,Off,---,---,---,
Capturas 1,06:06:37,941,2,Off,---,---,---,
Capturas 1,06:06:59,941,3,Off,---,---,---,
Capturas 1,06:07:23,941,3,Off,---,---,---,
Capturas 1,06:07:47,941,2,Off,---,---,---,
Capturas 1,06:08:12,940,7,---,---,---,---,
Capturas 1,06:08:34,940,6,---,---,---,---,
Capturas 1,06:08:56,941,7,Off,---,---,---,
Capturas 1,06:09:21,941,1,Off,---,---,---,
Capturas 1,06:09:43,941,4,Off,---,---,---,
Capturas 1,06:10:06,941,6,Off,---,---,---,
Capturas 1,06:10:28,940,9,Off,---,---,---,
Capturas 1,06:10:51,941,0,Off,---,---,---,
Capturas 1,06:11:13,940,6,Off,---,---,---,
Capturas 1,06:11:38,940,4,Off,---,---,---,
Capturas 1,06:12:02,942,2,Off,---,---,---,
Capturas 1,06:12:26,941,6,Off,---,---,---,
Capturas 1,06:12:51,941,0,Off,---,---,---,
Capturas 1,06:13:13,941,6,Off,---,---,---,
Capturas 1,06:13:38,941,7,Off,---,---,---,
Capturas 1,06:14:02,940,1,Off,---,---,---,
Capturas 1,06:14:25,941,5,Off,---,---,---,
