[NOTUS TEXTFILE V3.3]
File Created: 26-nov-2019 16:17:27
Tow Date: 15-sep-2013 10:39:47


Transponder: C56S
Placement: Estribor

Code,Tiempo,Escalas(m),Datos1(Fa),Datos2(m),Latitude,Longitude,Sonda(m),Comment
C56S,10:39:54,851,4,---,---,---,---,---,
C56S,10:40:18,---,23,5,---,---,---,---,
C56S,10:40:43,598,2,25,5,---,---,---,---,
C56S,10:41:08,598,3,26,6,---,---,---,---,
C56S,10:41:34,598,5,27,3,---,---,---,---,
C56S,10:41:59,598,5,29,4,---,---,---,---,
C56S,10:42:24,598,3,30,9,---,---,---,---,
C56S,10:42:49,598,3,31,5,---,---,---,---,
C56S,10:43:17,598,5,31,0,---,---,---,---,
C56S,10:43:42,598,9,30,2,---,---,---,---,
C56S,10:44:07,598,6,30,3,---,---,---,---,
C56S,10:44:32,598,9,30,7,---,---,---,---,
C56S,10:44:57,598,6,30,8,---,---,---,---,
C56S,10:45:22,599,2,31,0,---,---,---,---,
C56S,10:45:47,598,7,31,3,---,---,---,---,
C56S,10:46:13,598,9,31,4,---,---,---,---,
C56S,10:46:37,599,5,31,6,---,---,---,---,
C56S,10:47:02,598,6,31,5,---,---,---,---,
C56S,10:47:27,598,5,30,8,---,---,---,---,
C56S,10:47:52,598,2,30,5,---,---,---,---,
C56S,10:48:17,598,8,31,4,---,---,---,---,
C56S,10:48:42,598,7,31,4,---,---,---,---,
C56S,10:49:07,598,7,31,0,---,---,---,---,
C56S,10:49:33,598,9,30,9,---,---,---,---,
C56S,10:49:58,598,6,30,7,---,---,---,---,
C56S,10:50:23,598,6,31,1,---,---,---,---,
C56S,10:50:48,598,7,30,6,---,---,---,---,
C56S,10:51:13,598,7,31,0,---,---,---,---,
C56S,10:51:38,598,7,31,1,---,---,---,---,
C56S,10:52:02,598,4,32,4,---,---,---,---,
C56S,10:52:27,598,4,31,4,---,---,---,---,
C56S,10:52:53,598,4,29,8,---,---,---,---,
C56S,10:53:18,599,2,30,2,---,---,---,---,
C56S,10:53:43,599,3,30,3,---,---,---,---,
C56S,10:54:08,599,7,30,8,---,---,---,---,
C56S,10:54:33,599,9,30,6,---,---,---,---,
