Code,Tiempo,Escalas(m),Datos1(°),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Babor,10:01:11,---,---,---,---,---,---,
Babor,10:01:37,---,---,---,---,---,---,
Babor,10:02:01,---,---,---,---,---,---,
Babor,10:02:27,---,---,---,---,---,---,
Babor,10:02:52,---,---,---,---,---,---,
Babor,10:03:18,---,---,---,---,---,---,
Babor,10:03:44,---,---,---,---,---,---,
Babor,10:04:10,---,---,---,---,---,---,
Babor,10:04:36,---,---,---,---,---,---,
Babor,10:05:01,---,---,---,---,---,---,
Babor,10:05:27,---,---,---,---,---,---,
Babor,10:05:53,---,---,---,---,---,---,
Babor,10:06:18,---,---,---,---,---,---,
Babor,10:06:42,---,---,---,---,---,---,
Babor,10:07:06,---,---,---,---,---,---,
Babor,10:07:32,---,---,---,---,---,---,
Babor,10:07:57,---,---,---,---,---,---,
Babor,10:08:27,---,---,---,---,---,---,
Babor,10:08:56,---,---,---,---,---,---,
Babor,10:09:23,---,---,---,---,---,---,
Babor,10:09:51,---,---,---,---,---,---,
Babor,10:10:19,---,---,---,---,---,---,
Babor,10:10:46,---,---,---,---,---,---,
Babor,10:11:12,---,---,---,---,---,---,
Babor,10:11:35,---,---,---,---,---,---,
Babor,10:11:59,---,---,---,---,---,---,
Babor,10:12:23,---,---,---,---,---,---,
Babor,10:12:48,---,---,---,---,---,---,
Babor,10:13:16,---,---,---,---,---,---,
Babor,10:13:40,---,---,---,---,---,---,
Babor,10:14:04,---,---,---,---,---,---,
Babor,10:14:31,---,---,---,---,---,---,
Babor,10:14:56,---,---,---,---,---,---,
Babor,10:15:21,---,---,---,---,---,---,
Babor,10:15:44,---,---,---,---,---,---,
Babor,10:16:10,---,---,---,---,---,---,
Babor,10:16:36,---,---,---,---,---,---,
Babor,10:17:00,---,---,---,---,---,---,
Babor,10:17:28,---,---,---,---,---,---,
Babor,10:17:56,---,---,---,---,---,---,
Babor,10:18:24,---,---,---,---,---,---,
Babor,10:18:49,---,---,---,---,---,---,
Babor,10:19:17,---,---,---,---,---,---,
Babor,10:19:45,---,---,---,---,---,---,
Babor,10:20:13,---,---,---,---,---,---,
Babor,10:20:39,---,---,---,---,---,---,
Babor,10:21:08,---,---,---,---,---,---,
Babor,10:21:36,---,---,---,---,---,---,
Babor,10:22:02,---,---,---,---,---,---,
Babor,10:22:28,---,---,---,---,---,---,
Babor,10:22:56,---,---,---,---,---,---,
Babor,10:23:22,---,---,---,---,---,---,
Babor,10:23:48,---,---,---,---,---,---,
Babor,10:24:15,---,---,---,---,---,---,
Babor,10:24:43,---,---,---,---,---,---,
Babor,10:25:11,---,---,---,---,---,---,
Babor,10:25:38,---,---,---,---,---,---,
Babor,10:26:08,---,---,---,---,---,---,
Babor,10:26:36,---,---,---,---,---,---,
Babor,10:27:03,---,---,---,---,---,---,
Babor,10:27:29,---,---,---,---,---,---,
Babor,10:27:57,---,---,---,---,---,---,
Babor,10:28:19,---,---,---,---,---,---,
Babor,10:28:47,---,---,---,---,---,---,
Babor,10:29:13,---,---,---,---,---,---,
Babor,10:29:41,---,---,---,---,---,---,
Babor,10:30:07,---,---,---,---,---,---,
Babor,10:30:34,---,---,---,---,---,---,
Babor,10:31:02,---,---,---,---,---,---,
Babor,10:31:25,---,---,---,---,---,---,
Babor,10:31:50,---,---,---,---,---,---,
