Code,Tiempo,Escalas(m),Datos1(m),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Abertura Vertical,02:29:29,---,---,---,---,---,---,
Abertura Vertical,02:29:54,---,---,---,---,---,---,
Abertura Vertical,02:30:19,---,---,---,---,---,---,
Abertura Vertical,02:30:44,---,---,---,---,---,---,
Abertura Vertical,02:31:09,---,---,---,---,---,---,
Abertura Vertical,02:31:34,---,---,---,---,---,---,
Abertura Vertical,02:31:59,---,---,---,---,---,---,
Abertura Vertical,02:32:26,---,---,---,---,---,---,
Abertura Vertical,02:32:51,---,---,---,---,---,---,
Abertura Vertical,02:33:16,---,---,---,---,---,---,
Abertura Vertical,02:33:41,---,---,---,---,---,---,
Abertura Vertical,02:34:07,---,---,---,---,---,---,
Abertura Vertical,02:34:32,---,---,---,---,---,---,
Abertura Vertical,02:34:57,---,---,---,---,---,---,
Abertura Vertical,02:35:23,---,---,---,---,---,---,
Abertura Vertical,02:35:48,---,---,---,---,---,---,
Abertura Vertical,02:36:13,---,---,---,---,---,---,
Abertura Vertical,02:36:39,---,---,---,---,---,---,
Abertura Vertical,02:37:01,1397,9,12,0,---,---,
Abertura Vertical,02:37:27,---,---,---,---,---,---,
Abertura Vertical,02:37:52,---,---,---,---,---,---,
Abertura Vertical,02:38:16,1397,4,---,---,---,---,
Abertura Vertical,02:38:41,---,---,---,---,---,---,
Abertura Vertical,02:39:03,1396,6,6,2,---,---,
Abertura Vertical,02:39:27,1396,6,5,9,---,---,
Abertura Vertical,02:39:51,1396,2,6,3,---,---,
Abertura Vertical,02:40:14,1396,3,6,1,---,---,
Abertura Vertical,02:40:37,1396,4,7,0,---,---,
Abertura Vertical,02:41:00,1396,3,5,9,---,---,
Abertura Vertical,02:41:23,1396,1,5,9,---,---,
Abertura Vertical,02:41:45,1396,5,6,0,---,---,
Abertura Vertical,02:42:08,1396,3,6,2,---,---,
Abertura Vertical,02:42:31,1397,2,5,9,---,---,
Abertura Vertical,02:42:54,1396,3,6,7,---,---,
Abertura Vertical,02:43:16,1396,7,6,2,---,---,
Abertura Vertical,02:43:39,1396,9,6,4,---,---,
Abertura Vertical,02:44:02,1397,1,6,5,---,---,
Abertura Vertical,02:44:25,1397,4,6,0,---,---,
Abertura Vertical,02:44:49,1398,0,6,1,---,---,
Abertura Vertical,02:45:11,1397,7,6,3,---,---,
Abertura Vertical,02:45:35,1397,7,6,0,---,---,
Abertura Vertical,02:45:58,1397,8,6,2,---,---,
Abertura Vertical,02:46:22,1398,7,6,1,---,---,
Abertura Vertical,02:46:45,1399,4,5,2,---,---,
Abertura Vertical,02:47:09,1400,2,4,5,---,---,
Abertura Vertical,02:47:33,1400,3,4,4,---,---,
Abertura Vertical,02:47:56,1400,8,4,6,---,---,
Abertura Vertical,02:48:20,1401,7,4,8,---,---,
Abertura Vertical,02:48:44,1402,2,5,3,---,---,
Abertura Vertical,02:49:07,1402,3,6,4,---,---,
Abertura Vertical,02:49:31,1403,2,6,1,---,---,
Abertura Vertical,02:49:55,1403,8,5,9,---,---,
Abertura Vertical,02:50:19,1404,0,5,3,---,---,
Abertura Vertical,02:50:42,1404,1,4,6,---,---,
Abertura Vertical,02:51:06,1403,6,4,5,---,---,
Abertura Vertical,02:51:30,1403,4,4,2,---,---,
Abertura Vertical,02:51:53,1402,7,4,4,---,---,
Abertura Vertical,02:52:17,1403,3,4,5,---,---,
Abertura Vertical,02:52:41,1402,9,4,2,---,---,
Abertura Vertical,02:53:05,1403,0,3,9,---,---,
Abertura Vertical,02:53:28,1402,3,4,1,---,---,
Abertura Vertical,02:53:52,1402,1,3,8,---,---,
Abertura Vertical,02:54:16,1401,6,3,8,---,---,
Abertura Vertical,02:54:40,1401,2,4,7,---,---,
Abertura Vertical,02:55:03,1401,2,4,1,---,---,
Abertura Vertical,02:55:27,1401,2,3,8,---,---,
Abertura Vertical,02:55:51,1401,1,4,0,---,---,
Abertura Vertical,02:56:14,1401,1,4,4,---,---,
Abertura Vertical,02:56:38,1401,6,4,7,---,---,
Abertura Vertical,02:57:01,1400,7,4,1,---,---,
Abertura Vertical,02:57:25,1400,4,4,4,---,---,
Abertura Vertical,02:57:49,1400,6,4,3,---,---,
Abertura Vertical,02:58:12,1400,7,4,8,---,---,
Abertura Vertical,02:58:36,1400,6,4,5,---,---,
Abertura Vertical,02:58:59,1400,4,4,9,---,---,
