Code,Tiempo,Escalas(m),Datos1(Fa),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Profundidad 1,02:29:32,85,6,---,---,---,---,
Profundidad 1,02:29:57,---,2,7,---,---,---,
Profundidad 1,02:30:22,203,0,12,2,---,---,
Profundidad 1,02:30:47,---,20,4,---,---,---,
Profundidad 1,02:31:12,333,8,28,4,---,---,
Profundidad 1,02:31:37,---,43,1,---,---,---,
Profundidad 1,02:32:03,487,9,54,8,---,---,
Profundidad 1,02:32:29,---,59,4,---,---,---,
Profundidad 1,02:32:54,656,4,69,1,---,---,
Profundidad 1,02:33:20,---,77,2,---,---,---,
Profundidad 1,02:33:45,824,7,81,1,---,---,
Profundidad 1,02:34:11,---,88,8,---,---,---,
Profundidad 1,02:34:37,1014,4,96,0,---,---,
Profundidad 1,02:35:01,---,109,2,---,---,---,
Profundidad 1,02:35:28,1100,8,115,1,---,---,
Profundidad 1,02:35:53,1104,0,119,4,---,---,
Profundidad 1,02:36:18,1100,7,129,6,---,---,
Profundidad 1,02:36:43,1101,1,133,4,---,---,
Profundidad 1,02:37:06,1101,0,140,4,---,---,
Profundidad 1,02:37:31,1100,6,148,9,---,---,
Profundidad 1,02:37:57,1101,2,154,1,---,---,
Profundidad 1,02:38:20,1100,6,160,6,---,---,
Profundidad 1,02:38:45,1100,7,166,5,---,---,
Profundidad 1,02:39:09,1100,7,172,7,---,---,
Profundidad 1,02:39:33,1101,0,176,5,---,---,
Profundidad 1,02:39:56,1101,0,182,1,---,---,
Profundidad 1,02:40:21,1100,3,---,---,---,---,
Profundidad 1,02:40:43,1100,7,---,---,---,---,
Profundidad 1,02:41:05,1100,5,197,8,---,---,
Profundidad 1,02:41:29,1100,7,---,---,---,---,
Profundidad 1,02:41:52,1100,6,---,---,---,---,
Profundidad 1,02:42:14,1100,9,---,---,---,---,
Profundidad 1,02:42:37,1100,7,---,---,---,---,
Profundidad 1,02:43:00,1100,5,---,---,---,---,
Profundidad 1,02:43:23,1100,7,---,---,---,---,
Profundidad 1,02:43:45,1101,9,---,---,---,---,
Profundidad 1,02:44:07,1101,8,224,8,---,---,
Profundidad 1,02:44:31,1100,5,228,9,---,---,
