Code,Tiempo,Escalas(m),Datos1(m),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Babor,02:24:15,---,---,---,---,---,---,
Babor,02:24:46,---,---,---,---,---,---,
Babor,02:25:21,---,---,---,---,---,---,
Babor,02:25:48,59,4,20,9,---,---,
Babor,02:26:20,---,41,7,---,---,---,
Babor,02:26:53,227,3,52,5,---,---,
Babor,02:27:25,---,64,1,---,---,---,
Babor,02:27:58,427,1,65,8,---,---,
Babor,02:28:31,---,71,0,---,---,---,
Babor,02:29:03,654,7,56,8,---,---,
Babor,02:29:36,---,59,5,---,---,---,
Babor,02:30:10,888,7,62,9,---,---,
Babor,02:30:42,---,65,0,---,---,---,
Babor,02:31:15,1111,0,66,3,---,---,
Babor,02:31:48,1160,7,65,6,---,---,
Babor,02:32:20,---,72,6,---,---,---,
Babor,02:32:52,1163,8,75,8,---,---,
Babor,02:33:25,1163,7,81,0,---,---,
Babor,02:33:54,1163,2,83,8,---,---,
Babor,02:34:23,1162,8,85,9,---,---,
Babor,02:34:53,1162,9,87,5,---,---,
Babor,02:35:24,1162,7,89,0,---,---,
Babor,02:35:55,1162,7,90,6,---,---,
Babor,02:36:26,1162,7,91,7,---,---,
Babor,02:36:57,1162,4,92,4,---,---,
Babor,02:37:27,1162,3,92,3,---,---,
Babor,02:37:58,1162,5,91,9,---,---,
Babor,02:38:27,1162,5,92,0,---,---,
Babor,02:38:57,1162,4,90,7,---,---,
Babor,02:39:26,1162,5,91,3,---,---,
Babor,02:39:56,1162,4,92,0,---,---,
Babor,02:40:26,1162,2,91,9,---,---,
Babor,02:40:55,1162,5,91,5,---,---,
Babor,02:41:25,1162,7,91,0,---,---,
Babor,02:41:54,1162,4,90,7,---,---,
Babor,02:42:24,1162,6,90,6,---,---,
Babor,02:42:53,1162,4,92,2,---,---,
Babor,02:43:23,1162,3,93,2,---,---,
Babor,02:43:52,1162,4,92,4,---,---,
Babor,02:44:22,1162,0,93,5,---,---,
Babor,02:44:51,1162,2,94,2,---,---,
Babor,02:45:21,1162,3,97,5,---,---,
Babor,02:45:51,1162,4,98,7,---,---,
Babor,02:46:20,1162,4,99,2,---,---,
Babor,02:46:50,1162,3,98,4,---,---,
Babor,02:47:19,1162,2,99,1,---,---,
Babor,02:47:49,1162,3,102,0,---,---,
Babor,02:48:19,1162,6,104,8,---,---,
Babor,02:48:48,1162,3,106,3,---,---,
Babor,02:49:19,1162,3,105,4,---,---,
Babor,02:49:49,1162,1,106,2,---,---,
Babor,02:50:18,1162,2,105,6,---,---,
