[NOTUS TEXTFILE V3.3]
File Created: 13-nov-2019 19:22:49
Tow Date: 14-sep-2011 2:28:20


Transponder: E48D
Placement: Estribor
Depth Calibration: 1500

Code,Tiempo,Escalas(m),Datos1(Fa),Datos2(m),Latitude,Longitude,Sonda(m),Comment
E48D,02:28:28,---,---,---,---,---,---,
E48D,02:28:50,138,4,---,---,---,---,---,
E48D,02:29:15,---,7,7,---,---,---,---,
E48D,02:29:41,282,4,22,8,---,---,---,---,
E48D,02:30:06,---,30,2,---,---,---,---,
E48D,02:30:32,431,6,---,---,---,---,---,
E48D,02:30:56,---,---,---,---,---,---,
E48D,02:31:19,586,4,56,5,---,---,---,---,
E48D,02:31:46,---,---,---,---,---,---,
E48D,02:32:10,743,9,---,---,---,---,---,
E48D,02:32:34,---,---,---,---,---,---,
E48D,02:32:59,910,8,---,---,---,---,---,
E48D,02:33:23,---,---,---,---,---,---,
E48D,02:33:47,1073,4,---,---,---,---,---,
E48D,02:34:11,1108,1,122,1,---,---,---,---,
E48D,02:34:37,---,129,1,---,---,---,---,
E48D,02:35:02,1108,9,135,4,---,---,---,---,
E48D,02:35:27,1109,3,140,8,---,---,---,---,
E48D,02:35:52,1109,3,147,0,---,---,---,---,
E48D,02:36:16,1109,6,151,2,---,---,---,---,
E48D,02:36:39,1109,6,155,8,---,---,---,---,
E48D,02:37:03,1109,2,164,4,---,---,---,---,
E48D,02:37:27,1109,3,168,8,---,---,---,---,
E48D,02:37:50,1109,2,176,0,---,---,---,---,
E48D,02:38:14,1109,0,182,1,---,---,---,---,
E48D,02:38:36,1108,9,186,8,---,---,---,---,
E48D,02:39:00,1108,9,191,8,---,---,---,---,
E48D,02:39:22,1109,0,196,1,---,---,---,---,
E48D,02:39:45,1108,9,199,7,---,---,---,---,
E48D,02:40:08,1109,0,205,6,---,---,---,---,
E48D,02:40:32,1109,2,209,1,---,---,---,---,
E48D,02:40:55,1109,0,212,5,---,---,---,---,
E48D,02:41:17,1108,6,216,1,---,---,---,---,
E48D,02:41:40,1108,3,216,5,---,---,---,---,
E48D,02:42:04,1108,4,222,2,---,---,---,---,
E48D,02:42:27,1108,5,226,6,---,---,---,---,
E48D,02:42:50,1108,3,231,4,---,---,---,---,
E48D,02:43:14,1109,1,234,6,---,---,---,---,
E48D,02:43:37,1108,4,237,4,---,---,---,---,
E48D,02:44:01,1108,3,242,1,---,---,---,---,
E48D,02:44:24,1108,6,243,0,---,---,---,---,
E48D,02:44:47,1108,3,246,8,---,---,---,---,
E48D,02:45:11,1108,2,249,2,---,---,---,---,
E48D,02:45:35,1108,4,252,7,---,---,---,---,
E48D,02:45:59,1108,1,253,9,---,---,---,---,
E48D,02:46:22,1107,9,257,3,---,---,---,---,
E48D,02:46:46,1108,0,258,4,---,---,---,---,
E48D,02:47:10,1107,7,259,6,---,---,---,---,
E48D,02:47:33,1107,7,260,9,---,---,---,---,
E48D,02:47:57,1107,8,263,2,---,---,---,---,
E48D,02:48:21,1107,7,263,0,---,---,---,---,
E48D,02:48:44,1107,8,264,4,---,---,---,---,
E48D,02:49:08,1107,5,263,5,---,---,---,---,
E48D,02:49:32,1107,7,265,6,---,---,---,---,
E48D,02:49:55,1107,7,266,4,---,---,---,---,
E48D,02:50:19,1107,5,266,7,---,---,---,---,
E48D,02:50:43,1107,2,268,4,---,---,---,---,
E48D,02:51:06,1107,5,267,7,---,---,---,---,
E48D,02:51:30,1107,4,269,2,---,---,---,---,
E48D,02:51:54,1107,1,269,2,---,---,---,---,
E48D,02:52:17,1107,4,271,7,---,---,---,---,
E48D,02:52:41,1107,5,272,6,---,---,---,---,
E48D,02:53:05,1107,1,271,7,---,---,---,---,
E48D,02:53:28,1107,7,272,5,---,---,---,---,
E48D,02:53:52,1107,3,272,4,---,---,---,---,
E48D,02:54:16,1107,1,275,0,---,---,---,---,
E48D,02:54:39,1107,7,275,1,---,---,---,---,
E48D,02:55:03,1107,4,274,9,---,---,---,---,
E48D,02:55:26,1107,4,275,8,---,---,---,---,
E48D,02:55:50,1107,3,277,4,---,---,---,---,
E48D,02:56:14,1107,0,279,9,---,---,---,---,
E48D,02:56:37,1107,0,279,7,---,---,---,---,
E48D,02:57:01,1106,7,282,2,---,---,---,---,
E48D,02:57:24,1106,7,282,0,---,---,---,---,
E48D,02:57:48,1106,7,283,2,---,---,---,---,
E48D,02:58:11,1106,8,284,5,---,---,---,---,
E48D,02:58:35,1106,7,285,6,---,---,---,---,
E48D,02:58:59,1106,6,286,6,---,---,---,---,
E48D,02:59:22,1106,7,290,3,---,---,---,---,
E48D,02:59:46,1106,6,291,4,---,---,---,---,
E48D,03:00:10,1107,2,292,4,---,---,---,---,
E48D,03:00:33,1106,4,293,9,---,---,---,---,
E48D,03:00:57,1106,4,295,2,---,---,---,---,
E48D,03:01:20,1106,6,296,0,---,---,---,---,
E48D,03:01:44,1106,6,296,3,---,---,---,---,
E48D,03:02:08,1106,6,296,1,---,---,---,---,
E48D,03:02:31,1106,2,297,7,---,---,---,---,
E48D,03:02:55,1106,7,298,8,---,---,---,---,
E48D,03:03:19,1106,4,299,6,---,---,---,---,
E48D,03:03:42,1106,3,300,6,---,---,---,---,
E48D,03:04:06,1106,3,300,7,---,---,---,---,
E48D,03:04:29,1106,3,300,7,---,---,---,---,
E48D,03:04:53,1106,3,303,2,---,---,---,---,
E48D,03:05:17,1106,4,302,9,---,---,---,---,
E48D,03:05:40,1106,0,302,6,---,---,---,---,
E48D,03:06:04,1106,2,304,3,---,---,---,---,
E48D,03:06:28,1106,2,305,3,---,---,---,---,
E48D,03:06:51,1106,4,304,1,---,---,---,---,
E48D,03:07:15,1106,0,304,4,---,---,---,---,
E48D,03:07:39,1106,2,304,2,---,---,---,---,
E48D,03:08:02,1106,0,306,9,---,---,---,---,
E48D,03:08:26,1106,3,305,3,---,---,---,---,
E48D,03:08:49,1106,3,304,3,---,---,---,---,
E48D,03:09:13,1106,1,304,5,---,---,---,---,
E48D,03:09:37,1106,2,308,5,---,---,---,---,
E48D,03:10:00,1106,1,306,6,---,---,---,---,
E48D,03:10:24,1106,4,307,7,---,---,---,---,
E48D,03:10:48,1106,4,307,8,---,---,---,---,
E48D,03:11:11,1106,2,309,1,---,---,---,---,
E48D,03:11:35,1106,2,310,3,---,---,---,---,
E48D,03:11:59,1106,3,304,3,---,---,---,---,
E48D,03:12:22,1106,4,304,4,---,---,---,---,
E48D,03:12:46,1106,1,309,1,---,---,---,---,
E48D,03:13:10,1106,3,306,6,---,---,---,---,
E48D,03:13:33,1106,4,306,8,---,---,---,---,
E48D,03:13:57,1106,3,306,9,---,---,---,---,
E48D,03:14:21,1106,2,307,9,---,---,---,---,
E48D,03:14:44,1106,6,304,8,---,---,---,---,
E48D,03:15:08,1106,6,304,5,---,---,---,---,
E48D,03:15:32,1106,2,307,3,---,---,---,---,
E48D,03:15:55,1106,8,303,8,---,---,---,---,
E48D,03:16:19,1106,1,308,0,---,---,---,---,
E48D,03:16:43,1106,4,308,8,---,---,---,---,
E48D,03:17:06,1106,1,309,1,---,---,---,---,
E48D,03:17:30,1106,3,308,9,---,---,---,---,
E48D,03:17:54,1106,1,309,4,---,---,---,---,
E48D,03:18:17,1106,4,306,6,---,---,---,---,
E48D,03:18:41,1106,3,307,8,---,---,---,---,
E48D,03:19:05,1106,2,307,7,---,---,---,---,
E48D,03:19:28,1106,4,308,8,---,---,---,---,
E48D,03:19:52,1106,2,309,2,---,---,---,---,
E48D,03:20:15,1106,5,309,1,---,---,---,---,
E48D,03:20:39,1106,4,307,8,---,---,---,---,
E48D,03:21:03,1106,2,306,9,---,---,---,---,
E48D,03:21:26,1106,4,306,7,---,---,---,---,
E48D,03:21:50,1106,3,307,8,---,---,---,---,
E48D,03:22:14,1106,1,307,0,---,---,---,---,
E48D,03:22:37,1106,4,306,7,---,---,---,---,
E48D,03:23:01,1106,5,307,8,---,---,---,---,
E48D,03:23:25,1106,5,306,7,---,---,---,---,
E48D,03:23:48,1106,2,308,6,---,---,---,---,
E48D,03:24:12,1106,4,306,6,---,---,---,---,
E48D,03:24:36,1106,2,309,7,---,---,---,---,
E48D,03:24:59,1106,3,307,8,---,---,---,---,
E48D,03:25:23,1106,3,307,8,---,---,---,---,
E48D,03:25:47,1106,4,308,9,---,---,---,---,
E48D,03:26:10,1106,3,309,1,---,---,---,---,
E48D,03:26:34,1106,2,310,2,---,---,---,---,
E48D,03:26:58,1106,3,306,8,---,---,---,---,
E48D,03:27:21,1106,3,308,6,---,---,---,---,
E48D,03:27:50,---,---,---,---,---,---,
E48D,03:28:20,---,---,---,---,---,---,
E48D,03:28:43,---,---,---,---,---,---,
E48D,03:29:06,---,---,---,---,---,---,
E48D,03:29:29,---,---,---,---,---,---,
E48D,03:29:51,667,5,308,3,---,---,---,---,
E48D,03:30:13,626,7,311,1,---,---,---,---,
E48D,03:30:37,605,9,310,0,---,---,---,---,
E48D,03:31:02,---,310,8,---,---,---,---,
E48D,03:31:25,634,6,310,8,---,---,---,---,
E48D,03:31:48,676,3,311,1,---,---,---,---,
E48D,03:32:12,---,310,7,---,---,---,---,
E48D,03:32:36,765,7,311,6,---,---,---,---,
E48D,03:32:59,806,7,311,3,---,---,---,---,
E48D,03:33:23,847,4,310,9,---,---,---,---,
E48D,03:33:47,874,2,305,0,---,---,---,---,
E48D,03:34:10,895,3,295,8,---,---,---,---,
E48D,03:34:37,---,---,---,---,---,---,
E48D,03:34:58,928,1,282,3,---,---,---,---,
E48D,03:35:21,941,8,277,9,---,---,---,---,
E48D,03:35:46,953,9,269,4,---,---,---,---,
E48D,03:36:09,964,2,263,4,---,---,---,---,
E48D,03:36:33,972,6,257,2,---,---,---,---,
E48D,03:36:57,979,1,251,5,---,---,---,---,
E48D,03:37:19,984,2,248,1,---,---,---,---,
E48D,03:37:43,989,3,244,1,---,---,---,---,
E48D,03:38:08,993,7,239,5,---,---,---,---,
