Code,Tiempo,Escalas(m),Datos1(Fa),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Estribor,02:28:28,---,---,---,---,---,---,
Estribor,02:28:50,138,4,---,---,---,---,
Estribor,02:29:15,---,7,7,---,---,---,
Estribor,02:29:41,282,4,22,8,---,---,
Estribor,02:30:06,---,30,2,---,---,---,
Estribor,02:30:32,431,6,---,---,---,---,
Estribor,02:30:56,---,---,---,---,---,---,
Estribor,02:31:19,586,4,56,5,---,---,
Estribor,02:31:46,---,---,---,---,---,---,
Estribor,02:32:10,743,9,---,---,---,---,
Estribor,02:32:34,---,---,---,---,---,---,
Estribor,02:32:59,910,8,---,---,---,---,
Estribor,02:33:23,---,---,---,---,---,---,
Estribor,02:33:47,1073,4,---,---,---,---,
Estribor,02:34:11,1108,1,122,1,---,---,
Estribor,02:34:37,---,129,1,---,---,---,
Estribor,02:35:02,1108,9,135,4,---,---,
Estribor,02:35:27,1109,3,140,8,---,---,
Estribor,02:35:52,1109,3,147,0,---,---,
Estribor,02:36:16,1109,6,151,2,---,---,
Estribor,02:36:39,1109,6,155,8,---,---,
Estribor,02:37:03,1109,2,164,4,---,---,
Estribor,02:37:27,1109,3,168,8,---,---,
Estribor,02:37:50,1109,2,176,0,---,---,
Estribor,02:38:14,1109,0,182,1,---,---,
Estribor,02:38:36,1108,9,186,8,---,---,
Estribor,02:39:00,1108,9,191,8,---,---,
Estribor,02:39:22,1109,0,196,1,---,---,
Estribor,02:39:45,1108,9,199,7,---,---,
Estribor,02:40:08,1109,0,205,6,---,---,
Estribor,02:40:32,1109,2,209,1,---,---,
Estribor,02:40:55,1109,0,212,5,---,---,
Estribor,02:41:17,1108,6,216,1,---,---,
Estribor,02:41:40,1108,3,216,5,---,---,
Estribor,02:42:04,1108,4,222,2,---,---,
Estribor,02:42:27,1108,5,226,6,---,---,
Estribor,02:42:50,1108,3,231,4,---,---,
Estribor,02:43:14,1109,1,234,6,---,---,
Estribor,02:43:37,1108,4,237,4,---,---,
Estribor,02:44:01,1108,3,242,1,---,---,
Estribor,02:44:24,1108,6,243,0,---,---,
Estribor,02:44:47,1108,3,246,8,---,---,
Estribor,02:45:11,1108,2,249,2,---,---,
Estribor,02:45:35,1108,4,252,7,---,---,
Estribor,02:45:59,1108,1,253,9,---,---,
Estribor,02:46:22,1107,9,257,3,---,---,
Estribor,02:46:46,1108,0,258,4,---,---,
Estribor,02:47:10,1107,7,259,6,---,---,
Estribor,02:47:33,1107,7,260,9,---,---,
Estribor,02:47:57,1107,8,263,2,---,---,
Estribor,02:48:21,1107,7,263,0,---,---,
Estribor,02:48:44,1107,8,264,4,---,---,
Estribor,02:49:08,1107,5,263,5,---,---,
Estribor,02:49:32,1107,7,265,6,---,---,
Estribor,02:49:55,1107,7,266,4,---,---,
Estribor,02:50:19,1107,5,266,7,---,---,
Estribor,02:50:43,1107,2,268,4,---,---,
Estribor,02:51:06,1107,5,267,7,---,---,
Estribor,02:51:30,1107,4,269,2,---,---,
Estribor,02:51:54,1107,1,269,2,---,---,
Estribor,02:52:17,1107,4,271,7,---,---,
Estribor,02:52:41,1107,5,272,6,---,---,
Estribor,02:53:05,1107,1,271,7,---,---,
Estribor,02:53:28,1107,7,272,5,---,---,
Estribor,02:53:52,1107,3,272,4,---,---,
Estribor,02:54:16,1107,1,275,0,---,---,
Estribor,02:54:39,1107,7,275,1,---,---,
Estribor,02:55:03,1107,4,274,9,---,---,
Estribor,02:55:26,1107,4,275,8,---,---,
Estribor,02:55:50,1107,3,277,4,---,---,
Estribor,02:56:14,1107,0,279,9,---,---,
Estribor,02:56:37,1107,0,279,7,---,---,
Estribor,02:57:01,1106,7,282,2,---,---,
Estribor,02:57:24,1106,7,282,0,---,---,
Estribor,02:57:48,1106,7,283,2,---,---,
Estribor,02:58:11,1106,8,284,5,---,---,
Estribor,02:58:35,1106,7,285,6,---,---,
Estribor,02:58:59,1106,6,286,6,---,---,
Estribor,02:59:22,1106,7,290,3,---,---,
Estribor,02:59:46,1106,6,291,4,---,---,
Estribor,03:00:10,1107,2,292,4,---,---,
Estribor,03:00:33,1106,4,293,9,---,---,
