Tiempo,Escalas(m)Babor,Datos1(°)Babor,Escalas(m)Cabecera altura,Datos1(m)Cabecera altura,Escalas(m)Estribor,Datos1(°)Estribor,Escalas(m)Alineamiento de Estribor,Datos1(m)Alineamiento de Estribor,Escalas(m)Abertura,Datos1(m)Abertura,Escalas(m)Starboard Temperature,Datos1(°C)Starboard Temperature
2019-11-27 00:00:00,1740.4,-10.7,,,1741.8,-2.1,1740.8,0.4,1740.5,110.4,1740.6,10.3
2019-11-27 00:04:00,1739.7,-11.7,,,1740.7,-2.1,1740.3,0.4,1739.8,111.2,1740.3,10.2
2019-11-27 00:08:00,1739.9,-12.7,,,1740.1,-0.1,1740.2,0.1,1740.0,111.3,1740.7,10.3
2019-11-27 00:12:00,1740.2,-12.7,,,1740.5,-1.2,1740.7,0.4,1740.5,111.3,1740.6,10.2
2019-11-27 00:16:00,1740.2,-12.2,,,1740.2,-0.5,1740.3,0.2,1740.8,113.1,1739.8,10.275
2019-11-27 00:20:00,1740.9,-13.2,,,1739.8,0.6,1739.9,0.4,1741.4,111.7,1739.4,10.3
2019-11-27 00:24:00,1741.2,-12.3,,,1740.1,0.5,1740.4,0.75,1741.1,113.0,1740.2,10.3
2019-11-27 00:28:00,1741.9,-11.0,,,1740.5,-1.3,1740.7,0.2,1741.4,115.2,1740.6,10.3
2019-11-27 00:32:00,1741.1,-13.8,,,1740.7,-1.3,1740.2,0.1,1741.6,113.1,1740.7,10.3
2019-11-27 00:36:00,1740.6,-13.4,,,1740.4,-1.2,1740.0,0.4,1741.2,112.6,1739.8,10.3
2019-11-27 00:40:00,1740.7,-14.4,,,1740.55,-0.04999999999999999,1740.0,0.5,1740.8,112.3,1739.8,10.3
2019-11-27 00:44:00,1740.4,-14.1,,,1740.7,-0.5,1740.0,1.0,1741.4,108.4,1740.1,10.3
2019-11-27 00:48:00,1741.2,-10.8,,,1739.7,0.4,1739.9,0.7,1741.3,112.9,1739.5,10.3
2019-11-27 00:52:00,1741.45,-11.9,,,1740.6,-0.1,1740.3,0.5,1742.1,114.1,1739.9,10.3
2019-11-27 00:56:00,1741.1,-11.9,,,1741.0,0.5,1740.6,0.6,1741.3,115.5,1740.4,10.3
2019-11-27 01:00:00,1741.2,-11.9,,,1740.4,0.5,1740.5,0.4,1741.5,110.5,1740.3,10.3
2019-11-27 01:04:00,1741.0,-12.2,,,1740.0,-0.3,1740.7,0.2,1742.0,122.1,1740.1,10.3
2019-11-27 01:08:00,1740.6,-12.3,,,1740.3,1.4,1740.9,0.4,1740.8,124.7,1740.4,10.3
2019-11-27 01:12:00,1740.0,-10.6,,,1740.8,-0.1,1740.5,1.7,1740.8,115.5,1740.1,10.4
2019-11-27 01:16:00,1739.7,-11.3,,,1740.7,-0.8,1740.2,0.0,1740.1,114.5,1739.9,10.4
2019-11-27 01:20:00,1740.0,-13.1,,,1740.1,0.5,1740.2,1.0,1740.5,112.9,1739.8,10.4
