Tiempo,Escalas(m),Datos1(°)
2019-11-28 03:27:08,1124.0,52.4
2019-11-28 03:28:56,1582.9,60.4
2019-11-28 03:31:18,1726.8,63.8
2019-11-28 03:32:13,1730.0,67.2
2019-11-28 03:32:38,1730.7,70.6
2019-11-28 03:33:35,1732.3,74.0
2019-11-28 03:34:26,1731.4,77.4
2019-11-28 03:34:52,1731.8,80.8
2019-11-28 03:35:19,1730.7,46.0
2019-11-28 03:35:45,1730.5,11.2
2019-11-28 03:36:09,1730.1,8.983333333333333
2019-11-28 03:36:35,1730.1,6.766666666666667
2019-11-28 03:37:56,1730.0,4.550000000000001
2019-11-28 03:38:23,1728.4,2.333333333333334
2019-11-28 03:54:28,1733.6,0.11666666666666714
2019-11-28 03:55:24,1732.9,-2.1
2019-11-28 03:56:22,1733.9,0.0
2019-11-28 03:57:49,1733.6,-0.6
2019-11-28 04:03:01,1732.6,0.0
2019-11-28 04:03:29,1732.6,-1.3
2019-11-28 04:03:57,1733.2,-2.1
2019-11-28 04:05:26,1733.8,98.6
2019-11-28 04:06:23,1733.5,98.7
