Tiempo,Escalas(m),Datos1(m)
2019-11-28 19:15:52,2991.1,129.225
2019-11-28 19:21:05,1743.2,129.4125
2019-11-28 19:23:02,1743.2,129.6
2019-11-28 19:23:28,1743.3,129.9
2019-11-28 19:28:09,1743.9,121.2
2019-11-28 19:30:01,1745.2,115.7
2019-11-28 19:30:29,1744.6,114.8
2019-11-28 19:31:26,1744.7,113.6
2019-11-28 19:37:33,1744.1,125.5
2019-11-28 19:38:57,1743.9,121.3
2019-11-28 19:40:51,1742.8,123.7
2019-11-28 19:44:42,1839.1,124.0125
2019-11-28 19:46:38,1776.5,124.325
2019-11-28 19:51:26,1456.2,124.6375
2019-11-28 19:55:42,1138.9,124.95
2019-11-28 20:00:51,1961.4,125.2625
