Code,Tiempo,Escalas(m),Datos1(°),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Starboard Door Heel,06:05:25,588,8,43,2,---,---,
Starboard Door Heel,06:05:48,594,7,49,2,---,---,
Starboard Door Heel,06:06:15,590,0,---,---,---,---,
Starboard Door Heel,06:06:41,588,8,---,---,---,---,
Starboard Door Heel,06:07:06,588,5,---,---,---,---,
Starboard Door Heel,06:07:29,588,9,---,---,---,---,
Starboard Door Heel,06:07:53,589,1,41,7,---,---,
Starboard Door Heel,06:08:19,---,29,9,---,---,---,
Starboard Door Heel,06:08:41,589,3,---,---,---,---,
Starboard Door Heel,06:09:09,---,---,---,---,---,---,
Starboard Door Heel,06:09:35,---,---,---,---,---,---,
Starboard Door Heel,06:09:57,589,2,46,9,---,---,
Starboard Door Heel,06:10:20,589,2,60,5,---,---,
Starboard Door Heel,06:10:44,589,3,---,---,---,---,
Starboard Door Heel,06:11:08,589,1,45,5,---,---,
Starboard Door Heel,06:11:35,---,---,---,---,---,---,
Starboard Door Heel,06:11:58,589,1,---,---,---,---,
Starboard Door Heel,06:12:20,589,5,45,9,---,---,
Starboard Door Heel,06:12:43,589,0,49,8,---,---,
Starboard Door Heel,06:13:06,---,---,---,---,---,---,
Starboard Door Heel,06:13:30,589,5,44,3,---,---,
Starboard Door Heel,06:13:52,589,2,44,1,---,---,
Starboard Door Heel,06:14:16,590,1,48,1,---,---,
Starboard Door Heel,06:14:39,588,5,50,7,---,---,
Starboard Door Heel,06:15:02,589,7,57,2,---,---,
Starboard Door Heel,06:15:26,589,9,42,2,---,---,
Starboard Door Heel,06:15:56,---,---,---,---,---,---,
Starboard Door Heel,06:16:19,589,5,44,5,---,---,
Starboard Door Heel,06:16:44,589,8,45,5,---,---,
Starboard Door Heel,06:17:08,589,9,38,0,---,---,
Starboard Door Heel,06:17:31,590,0,45,7,---,---,
Starboard Door Heel,06:17:55,589,6,41,9,---,---,
Starboard Door Heel,06:18:21,589,6,---,---,---,---,
Starboard Door Heel,06:18:47,---,---,---,---,---,---,
Starboard Door Heel,06:19:09,588,8,49,8,---,---,
Starboard Door Heel,06:19:32,589,6,41,5,---,---,
Starboard Door Heel,06:19:55,589,8,43,6,---,---,
Starboard Door Heel,06:20:20,589,7,---,---,---,---,
Starboard Door Heel,06:20:43,590,1,36,3,---,---,
Starboard Door Heel,06:21:07,589,6,51,7,---,---,
Starboard Door Heel,06:21:31,589,3,---,---,---,---,
Starboard Door Heel,06:21:54,595,6,50,1,---,---,
Starboard Door Heel,06:22:18,589,9,36,8,---,---,
Starboard Door Heel,06:22:43,589,4,---,---,---,---,
Starboard Door Heel,06:23:08,---,---,---,---,---,---,
Starboard Door Heel,06:23:29,589,9,40,8,---,---,
Starboard Door Heel,06:23:53,589,9,40,9,---,---,
Starboard Door Heel,06:24:17,589,4,---,---,---,---,
Starboard Door Heel,06:24:40,589,6,44,7,---,---,
Starboard Door Heel,06:25:06,589,0,---,---,---,---,
Starboard Door Heel,06:25:29,589,4,44,0,---,---,
Starboard Door Heel,06:25:52,589,9,44,0,---,---,
Starboard Door Heel,06:26:16,---,28,6,---,---,---,
Starboard Door Heel,06:26:40,589,7,---,---,---,---,
Starboard Door Heel,06:27:05,589,4,47,7,---,---,
Starboard Door Heel,06:27:31,589,9,---,---,---,---,
Starboard Door Heel,06:27:53,589,9,38,1,---,---,
Starboard Door Heel,06:28:16,589,4,47,5,---,---,
Starboard Door Heel,06:28:40,589,6,37,6,---,---,
Starboard Door Heel,06:29:03,591,2,44,8,---,---,
Starboard Door Heel,06:29:32,---,---,---,---,---,---,
Starboard Door Heel,06:29:53,589,6,45,9,---,---,
Starboard Door Heel,06:30:18,589,7,38,4,---,---,
Starboard Door Heel,06:30:42,589,7,40,4,---,---,
Starboard Door Heel,06:31:06,---,---,---,---,---,---,
Starboard Door Heel,06:31:29,589,5,44,3,---,---,
Starboard Door Heel,06:31:53,589,4,47,9,---,---,
Starboard Door Heel,06:32:16,589,8,36,2,---,---,
Starboard Door Heel,06:32:40,590,3,45,1,---,---,
Starboard Door Heel,06:33:05,598,2,---,---,---,---,
Starboard Door Heel,06:33:27,605,4,41,7,---,---,
Starboard Door Heel,06:33:55,---,---,---,---,---,---,
Starboard Door Heel,06:34:18,620,3,45,2,---,---,
Starboard Door Heel,06:34:41,625,5,48,0,---,---,
Starboard Door Heel,06:35:06,625,5,---,---,---,---,
Starboard Door Heel,06:35:33,---,---,---,---,---,---,
Starboard Door Heel,06:35:54,625,3,45,6,---,---,
Starboard Door Heel,06:36:23,---,---,---,---,---,---,
Starboard Door Heel,06:36:47,626,0,---,---,---,---,
Starboard Door Heel,06:37:14,---,---,---,---,---,---,
Starboard Door Heel,06:37:36,625,9,---,---,---,---,
