Code,Tiempo,Escalas(m),Datos1(),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Capturas 1,05:07:50,852,2,Off,---,---,---,
Capturas 1,05:08:16,852,3,Off,---,---,---,
Capturas 1,05:08:41,854,4,Off,---,---,---,
Capturas 1,05:09:10,---,---,---,---,---,---,
Capturas 1,05:09:33,852,4,Off,---,---,---,
Capturas 1,05:09:59,852,8,---,---,---,---,
Capturas 1,05:10:22,856,3,Off,---,---,---,
Capturas 1,05:10:50,---,---,---,---,---,---,
Capturas 1,05:11:17,---,---,---,---,---,---,
Capturas 1,05:11:43,---,---,---,---,---,---,
Capturas 1,05:12:08,850,1,Off,---,---,---,
Capturas 1,05:12:36,---,---,---,---,---,---,
Capturas 1,05:13:03,---,---,---,---,---,---,
Capturas 1,05:13:29,---,---,---,---,---,---,
Capturas 1,05:13:57,---,---,---,---,---,---,
Capturas 1,05:14:24,---,---,---,---,---,---,
Capturas 1,05:14:47,854,8,---,---,---,---,
Capturas 1,05:15:11,853,9,---,---,---,---,
Capturas 1,05:15:35,854,3,---,---,---,---,
Capturas 1,05:16:02,---,---,---,---,---,---,
Capturas 1,05:16:25,853,9,Off,---,---,---,
Capturas 1,05:16:50,853,2,Off,---,---,---,
Capturas 1,05:17:14,853,0,Off,---,---,---,
Capturas 1,05:17:38,853,5,Off,---,---,---,
Capturas 1,05:18:03,853,4,Off,---,---,---,
Capturas 1,05:18:28,852,7,Off,---,---,---,
Capturas 1,05:18:53,852,8,Off,---,---,---,
Capturas 1,05:19:18,852,9,Off,---,---,---,
Capturas 1,05:19:43,853,6,Off,---,---,---,
Capturas 1,05:20:12,---,---,---,---,---,---,
Capturas 1,05:20:35,852,6,Off,---,---,---,
Capturas 1,05:21:01,852,5,Off,---,---,---,
Capturas 1,05:21:27,852,4,Off,---,---,---,
Capturas 1,05:21:51,853,1,Off,---,---,---,
Capturas 1,05:22:15,852,9,Off,---,---,---,
Capturas 1,05:22:40,853,1,Off,---,---,---,
Capturas 1,05:23:05,852,9,Off,---,---,---,
Capturas 1,05:23:30,853,5,Off,---,---,---,
Capturas 1,05:23:57,853,5,Off,---,---,---,
Capturas 1,05:24:22,854,2,Off,---,---,---,
Capturas 1,05:24:47,854,4,Off,---,---,---,
Capturas 1,05:25:12,853,6,Off,---,---,---,
