Code,Tiempo,Escalas(m),Datos1(°),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Starboard Door Heel,05:07:56,713,6,47,0,---,---,
Starboard Door Heel,05:08:22,714,0,46,6,---,---,
Starboard Door Heel,05:08:47,714,1,45,1,---,---,
Starboard Door Heel,05:09:14,713,7,45,4,---,---,
Starboard Door Heel,05:09:39,713,8,44,7,---,---,
Starboard Door Heel,05:10:03,714,5,45,2,---,---,
Starboard Door Heel,05:10:28,713,8,45,5,---,---,
Starboard Door Heel,05:10:54,712,4,49,6,---,---,
Starboard Door Heel,05:11:21,714,5,38,6,---,---,
Starboard Door Heel,05:11:51,---,---,---,---,---,---,
Starboard Door Heel,05:12:14,713,3,44,6,---,---,
Starboard Door Heel,05:12:40,714,0,44,4,---,---,
Starboard Door Heel,05:13:06,714,0,46,2,---,---,
Starboard Door Heel,05:13:36,---,---,---,---,---,---,
Starboard Door Heel,05:14:02,713,8,---,---,---,---,
Starboard Door Heel,05:14:28,717,9,---,---,---,---,
Starboard Door Heel,05:14:52,713,7,---,---,---,---,
Starboard Door Heel,05:15:16,713,7,---,---,---,---,
Starboard Door Heel,05:15:40,713,9,---,---,---,---,
Starboard Door Heel,05:16:07,713,6,---,---,---,---,
Starboard Door Heel,05:16:31,714,5,50,1,---,---,
Starboard Door Heel,05:16:57,713,5,---,---,---,---,
Starboard Door Heel,05:17:21,713,8,---,---,---,---,
Starboard Door Heel,05:17:44,713,5,46,8,---,---,
Starboard Door Heel,05:18:09,713,4,45,2,---,---,
Starboard Door Heel,05:18:34,713,4,47,4,---,---,
Starboard Door Heel,05:18:59,713,0,49,1,---,---,
Starboard Door Heel,05:19:24,713,6,50,5,---,---,
Starboard Door Heel,05:19:49,713,6,44,9,---,---,
Starboard Door Heel,05:20:16,713,0,46,9,---,---,
Starboard Door Heel,05:20:41,713,8,46,7,---,---,
Starboard Door Heel,05:21:07,714,6,45,3,---,---,
Starboard Door Heel,05:21:32,713,8,43,8,---,---,
Starboard Door Heel,05:21:57,717,7,---,---,---,---,
Starboard Door Heel,05:22:21,713,8,38,1,---,---,
Starboard Door Heel,05:22:46,713,5,44,9,---,---,
Starboard Door Heel,05:23:11,713,6,46,0,---,---,
Starboard Door Heel,05:23:36,713,7,48,2,---,---,
Starboard Door Heel,05:24:02,713,8,44,9,---,---,
Starboard Door Heel,05:24:27,713,3,46,8,---,---,
Starboard Door Heel,05:24:53,714,0,47,2,---,---,
Starboard Door Heel,05:25:18,713,6,---,---,---,---,
Starboard Door Heel,05:25:46,---,---,---,---,---,---,
Starboard Door Heel,05:26:09,713,7,43,7,---,---,
Starboard Door Heel,05:26:35,713,7,---,---,---,---,
Starboard Door Heel,05:26:58,713,6,41,9,---,---,
Starboard Door Heel,05:27:24,713,6,---,---,---,---,
Starboard Door Heel,05:27:47,714,0,46,7,---,---,
Starboard Door Heel,05:28:12,713,4,43,1,---,---,
Starboard Door Heel,05:28:37,713,2,47,6,---,---,
Starboard Door Heel,05:29:05,713,6,---,---,---,---,
Starboard Door Heel,05:29:28,714,1,48,8,---,---,
Starboard Door Heel,05:29:54,714,0,45,0,---,---,
Starboard Door Heel,05:30:23,---,---,---,---,---,---,
Starboard Door Heel,05:30:51,---,---,---,---,---,---,
Starboard Door Heel,05:31:14,713,8,45,0,---,---,
Starboard Door Heel,05:31:41,714,1,---,---,---,---,
Starboard Door Heel,05:32:09,---,---,---,---,---,---,
Starboard Door Heel,05:32:37,---,---,---,---,---,---,
Starboard Door Heel,05:33:04,---,---,---,---,---,---,
Starboard Door Heel,05:33:30,---,---,---,---,---,---,
Starboard Door Heel,05:33:53,715,1,47,0,---,---,
Starboard Door Heel,05:34:22,---,---,---,---,---,---,
Starboard Door Heel,05:34:46,713,5,---,---,---,---,
Starboard Door Heel,05:35:08,714,7,48,4,---,---,
Starboard Door Heel,05:35:35,713,2,---,---,---,---,
Starboard Door Heel,05:35:58,713,4,42,1,---,---,
Starboard Door Heel,05:36:23,713,4,43,7,---,---,
Starboard Door Heel,05:36:48,712,9,46,7,---,---,
Starboard Door Heel,05:37:17,---,---,---,---,---,---,
Starboard Door Heel,05:37:43,713,6,45,7,---,---,
Starboard Door Heel,05:38:09,713,7,42,6,---,---,
Starboard Door Heel,05:38:41,---,---,---,---,---,---,
Starboard Door Heel,05:39:05,714,7,48,7,---,---,
Starboard Door Heel,05:39:35,---,---,---,---,---,---,
Starboard Door Heel,05:40:00,---,---,---,---,---,---,
Starboard Door Heel,05:40:25,713,9,50,1,---,---,
Starboard Door Heel,05:40:50,713,4,46,1,---,---,
Starboard Door Heel,05:41:20,---,---,---,---,---,---,
Starboard Door Heel,05:41:45,713,7,---,---,---,---,
Starboard Door Heel,05:42:10,714,6,45,9,---,---,
Starboard Door Heel,05:42:33,713,8,48,2,---,---,
Starboard Door Heel,05:42:57,713,6,46,5,---,---,
Starboard Door Heel,05:43:21,715,7,46,9,---,---,
Starboard Door Heel,05:43:48,714,3,45,8,---,---,
Starboard Door Heel,05:44:14,713,9,48,7,---,---,
Starboard Door Heel,05:44:39,712,4,46,2,---,---,
Starboard Door Heel,05:45:05,713,7,44,5,---,---,
Starboard Door Heel,05:45:29,713,3,44,4,---,---,
Starboard Door Heel,05:45:58,---,---,---,---,---,---,
