Code,Tiempo,Escalas(m),Datos1(Fa),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Estribor,06:03:09,699,8,40,1,---,---,
Estribor,06:03:13,699,7,40,1,---,---,
Estribor,06:03:35,699,6,39,8,---,---,
Estribor,06:04:03,---,---,---,---,---,---,
Estribor,06:04:26,700,6,37,8,---,---,
Estribor,06:04:51,701,3,---,---,---,---,
Estribor,06:05:15,---,---,---,---,---,---,
Estribor,06:05:37,700,5,---,---,---,---,
Estribor,06:06:00,700,6,---,---,---,---,
Estribor,06:06:23,700,2,---,---,---,---,
Estribor,06:06:45,701,0,---,---,---,---,
Estribor,06:07:05,701,0,33,3,---,---,
Estribor,06:07:28,700,4,---,---,---,---,
Estribor,06:07:50,701,0,---,---,---,---,
Estribor,06:08:15,702,0,---,---,---,---,
Estribor,06:08:38,---,---,---,---,---,---,
Estribor,06:08:59,700,8,---,---,---,---,
Estribor,06:09:24,---,---,---,---,---,---,
Estribor,06:09:49,---,---,---,---,---,---,
Estribor,06:10:12,700,7,---,---,---,---,
Estribor,06:10:35,700,4,---,---,---,---,
Estribor,06:10:59,700,7,---,---,---,---,
Estribor,06:11:21,703,6,---,---,---,---,
Estribor,06:11:42,701,6,31,8,---,---,
Estribor,06:12:07,700,9,33,9,---,---,
Estribor,06:12:31,---,---,---,---,---,---,
Estribor,06:12:55,---,---,---,---,---,---,
Estribor,06:13:19,702,6,32,5,---,---,
Estribor,06:13:43,701,8,---,---,---,---,
Estribor,06:14:06,---,---,---,---,---,---,
Estribor,06:14:27,700,7,33,3,---,---,
Estribor,06:14:49,704,4,---,---,---,---,
Estribor,06:15:12,702,4,---,---,---,---,
Estribor,06:15:33,700,9,32,7,---,---,
Estribor,06:16:02,---,---,---,---,---,---,
Estribor,06:16:24,700,4,---,---,---,---,
Estribor,06:16:50,---,---,---,---,---,---,
Estribor,06:17:09,705,4,---,---,---,---,
Estribor,06:17:31,701,1,---,---,---,---,
Estribor,06:17:52,700,7,---,---,---,---,
Estribor,06:18:17,700,9,---,---,---,---,
Estribor,06:18:42,700,9,---,---,---,---,
Estribor,06:19:03,701,3,---,---,---,---,
Estribor,06:19:23,701,9,32,8,---,---,
Estribor,06:19:48,---,---,---,---,---,---,
Estribor,06:20:07,700,7,32,3,---,---,
Estribor,06:20:31,701,0,32,1,---,---,
Estribor,06:20:55,701,1,---,---,---,---,
Estribor,06:21:15,701,3,31,7,---,---,
Estribor,06:21:38,701,0,31,3,---,---,
Estribor,06:22:05,---,---,---,---,---,---,
Estribor,06:22:31,701,0,---,---,---,---,
Estribor,06:22:51,699,6,---,---,---,---,
Estribor,06:23:17,---,---,---,---,---,---,
Estribor,06:23:42,---,---,---,---,---,---,
Estribor,06:24:06,---,---,---,---,---,---,
Estribor,06:24:29,702,0,30,6,---,---,
Estribor,06:24:54,701,6,---,---,---,---,
Estribor,06:25:15,701,3,31,0,---,---,
Estribor,06:25:40,---,---,---,---,---,---,
Estribor,06:26:06,---,---,---,---,---,---,
Estribor,06:26:29,---,---,---,---,---,---,
Estribor,06:26:51,701,4,30,7,---,---,
Estribor,06:27:15,701,4,31,0,---,---,
Estribor,06:27:39,700,5,33,7,---,---,
Estribor,06:28:04,704,6,28,4,---,---,
Estribor,06:28:33,---,---,---,---,---,---,
Estribor,06:29:01,---,---,---,---,---,---,
Estribor,06:29:26,700,5,---,---,---,---,
Estribor,06:29:49,700,6,30,7,---,---,
Estribor,06:30:13,699,6,30,2,---,---,
Estribor,06:30:38,699,0,30,6,---,---,
Estribor,06:31:05,699,3,30,9,---,---,
Estribor,06:31:27,699,5,31,4,---,---,
Estribor,06:31:53,699,2,31,6,---,---,
Estribor,06:32:23,---,---,---,---,---,---,
Estribor,06:32:48,698,9,31,1,---,---,
Estribor,06:33:17,700,4,---,---,---,---,
Estribor,06:33:38,701,4,30,0,---,---,
Estribor,06:34:00,700,4,30,7,---,---,
Estribor,06:34:29,---,---,---,---,---,---,
Estribor,06:34:56,---,---,---,---,---,---,
Estribor,06:35:22,---,---,---,---,---,---,
Estribor,06:35:47,---,---,---,---,---,---,
Estribor,06:36:14,---,---,---,---,---,---,
Estribor,06:36:39,---,---,---,---,---,---,
Estribor,06:37:02,700,5,---,---,---,---,
Estribor,06:37:22,706,0,---,---,---,---,
Estribor,06:37:43,701,2,---,---,---,---,
Estribor,06:38:10,704,8,---,---,---,---,
Estribor,06:38:32,705,5,30,6,---,---,
Estribor,06:38:57,701,8,---,---,---,---,
Estribor,06:39:21,701,1,32,3,---,---,
Estribor,06:39:50,---,---,---,---,---,---,
Estribor,06:40:16,---,---,---,---,---,---,
Estribor,06:40:39,701,0,32,0,---,---,
Estribor,06:41:06,---,---,---,---,---,---,
Estribor,06:41:32,---,---,---,---,---,---,
Estribor,06:41:54,701,3,32,0,---,---,
Estribor,06:42:17,701,3,31,5,---,---,
Estribor,06:42:40,701,3,31,8,---,---,
Estribor,06:43:07,701,0,---,---,---,---,
Estribor,06:43:28,700,7,33,1,---,---,
Estribor,06:43:50,700,5,32,9,---,---,
Estribor,06:44:15,701,3,---,---,---,---,
Estribor,06:44:36,701,9,33,3,---,---,
Estribor,06:45:03,---,---,---,---,---,---,
Estribor,06:45:32,---,---,---,---,---,---,
Estribor,06:45:59,---,---,---,---,---,---,
Estribor,06:46:23,702,2,---,---,---,---,
Estribor,06:46:47,700,7,35,3,---,---,
Estribor,06:47:13,701,2,33,1,---,---,
Estribor,06:47:38,701,0,---,---,---,---,
Estribor,06:48:06,---,---,---,---,---,---,
Estribor,06:48:27,700,3,30,8,---,---,
Estribor,06:48:58,---,---,---,---,---,---,
Estribor,06:49:18,700,5,33,0,---,---,
Estribor,06:49:41,701,5,---,---,---,---,
Estribor,06:50:04,701,3,30,4,---,---,
Estribor,06:50:27,700,5,30,6,---,---,
Estribor,06:50:52,702,1,---,---,---,---,
Estribor,06:51:15,701,1,---,---,---,---,
Estribor,06:51:34,700,6,31,4,---,---,
Estribor,06:51:57,702,5,---,---,---,---,
Estribor,06:52:22,700,7,---,---,---,---,
Estribor,06:52:42,701,1,30,7,---,---,
Estribor,06:53:05,701,3,30,8,---,---,
Estribor,06:53:29,702,4,30,4,---,---,
Estribor,06:53:52,700,2,---,---,---,---,
Estribor,06:54:14,700,6,31,5,---,---,
Estribor,06:54:36,700,2,33,7,---,---,
Estribor,06:55:00,702,8,30,4,---,---,
Estribor,06:55:24,701,3,---,---,---,---,
Estribor,06:55:49,700,8,31,5,---,---,
Estribor,06:56:13,701,0,32,3,---,---,
Estribor,06:56:38,700,9,---,---,---,---,
Estribor,06:56:58,701,0,34,4,---,---,
Estribor,06:57:22,700,4,32,0,---,---,
Estribor,06:57:47,703,3,---,---,---,---,
Estribor,06:58:07,701,0,32,0,---,---,
Estribor,06:58:33,700,6,33,2,---,---,
Estribor,06:58:56,700,7,32,2,---,---,
Estribor,06:59:21,705,0,29,6,---,---,
Estribor,06:59:49,702,2,---,---,---,---,
Estribor,07:00:14,---,---,---,---,---,---,
