Code,Tiempo,Escalas(m),Datos1(Fa),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Estribor,06:39:14,---,---,---,---,---,---,
Estribor,06:39:36,663,5,29,0,---,---,
Estribor,06:40:00,663,9,29,8,---,---,
Estribor,06:40:25,663,5,29,7,---,---,
Estribor,06:40:50,663,6,29,7,---,---,
Estribor,06:41:15,663,8,30,8,---,---,
Estribor,06:41:41,662,3,---,---,---,---,
Estribor,06:42:07,---,---,---,---,---,---,
Estribor,06:42:34,---,---,---,---,---,---,
Estribor,06:42:58,663,8,---,---,---,---,
Estribor,06:43:24,---,---,---,---,---,---,
Estribor,06:43:52,---,---,---,---,---,---,
Estribor,06:44:14,663,7,29,1,---,---,
Estribor,06:44:45,---,---,---,---,---,---,
Estribor,06:45:11,---,---,---,---,---,---,
Estribor,06:45:34,664,7,29,4,---,---,
Estribor,06:46:00,663,5,---,---,---,---,
Estribor,06:46:22,664,4,28,8,---,---,
Estribor,06:46:47,663,8,28,3,---,---,
Estribor,06:47:11,663,8,29,2,---,---,
Estribor,06:47:36,664,2,28,2,---,---,
Estribor,06:48:01,664,3,28,9,---,---,
Estribor,06:48:26,664,3,29,0,---,---,
Estribor,06:48:51,664,1,29,1,---,---,
Estribor,06:49:16,667,6,27,2,---,---,
Estribor,06:49:41,666,1,28,4,---,---,
Estribor,06:50:06,663,7,29,9,---,---,
Estribor,06:50:31,663,6,30,2,---,---,
Estribor,06:50:56,663,6,30,4,---,---,
Estribor,06:51:21,664,4,31,1,---,---,
Estribor,06:51:47,663,9,---,---,---,---,
Estribor,06:52:10,664,0,30,9,---,---,
Estribor,06:52:35,664,1,29,1,---,---,
Estribor,06:53:01,663,9,---,---,---,---,
Estribor,06:53:27,663,7,---,---,---,---,
Estribor,06:53:49,663,8,29,0,---,---,
Estribor,06:54:13,663,7,27,9,---,---,
Estribor,06:54:38,669,9,25,3,---,---,
Estribor,06:55:04,663,6,---,---,---,---,
Estribor,06:55:31,---,---,---,---,---,---,
Estribor,06:55:57,664,7,---,---,---,---,
Estribor,06:56:20,663,9,27,3,---,---,
Estribor,06:56:45,663,9,27,3,---,---,
Estribor,06:57:10,663,5,27,5,---,---,
Estribor,06:57:36,663,9,27,2,---,---,
Estribor,06:58:02,664,2,26,4,---,---,
Estribor,06:58:27,664,3,26,3,---,---,
Estribor,06:58:53,664,5,26,6,---,---,
Estribor,06:59:18,664,4,28,3,---,---,
Estribor,06:59:47,---,---,---,---,---,---,
Estribor,07:00:12,665,1,---,---,---,---,
Estribor,07:00:37,663,7,27,8,---,---,
Estribor,07:01:03,664,1,---,---,---,---,
Estribor,07:01:29,666,5,25,2,---,---,
Estribor,07:01:55,666,1,25,3,---,---,
Estribor,07:02:20,663,4,---,---,---,---,
Estribor,07:02:47,---,---,---,---,---,---,
Estribor,07:03:15,---,---,---,---,---,---,
Estribor,07:03:42,---,---,---,---,---,---,
Estribor,07:04:08,663,7,---,---,---,---,
Estribor,07:04:36,---,---,---,---,---,---,
Estribor,07:05:02,662,9,27,1,---,---,
Estribor,07:05:28,663,1,26,9,---,---,
Estribor,07:05:58,---,---,---,---,---,---,
Estribor,07:06:26,---,---,---,---,---,---,
Estribor,07:06:52,663,5,---,---,---,---,
Estribor,07:07:21,---,---,---,---,---,---,
Estribor,07:07:50,---,---,---,---,---,---,
Estribor,07:08:16,663,0,27,3,---,---,
Estribor,07:08:44,663,8,26,9,---,---,
Estribor,07:09:13,---,---,---,---,---,---,
Estribor,07:09:42,---,---,---,---,---,---,
Estribor,07:10:09,665,2,---,---,---,---,
Estribor,07:10:37,---,---,---,---,---,---,
Estribor,07:11:05,---,---,---,---,---,---,
Estribor,07:11:30,662,3,27,6,---,---,
Estribor,07:12:00,---,---,---,---,---,---,
Estribor,07:12:28,---,---,---,---,---,---,
Estribor,07:12:52,662,2,27,5,---,---,
Estribor,07:13:20,---,---,---,---,---,---,
Estribor,07:13:46,---,---,---,---,---,---,
Estribor,07:14:13,---,---,---,---,---,---,
Estribor,07:14:40,---,---,---,---,---,---,
Estribor,07:15:07,---,---,---,---,---,---,
Estribor,07:15:35,---,---,---,---,---,---,
Estribor,07:16:01,---,---,---,---,---,---,
Estribor,07:16:29,---,---,---,---,---,---,
Estribor,07:16:53,665,1,---,---,---,---,
Estribor,07:17:17,663,6,70,1,---,---,
Estribor,07:17:47,---,---,---,---,---,---,
Estribor,07:18:11,662,8,---,---,---,---,
Estribor,07:18:34,663,1,28,8,---,---,
Estribor,07:19:03,---,---,---,---,---,---,
Estribor,07:19:28,---,---,---,---,---,---,
Estribor,07:19:51,663,1,27,9,---,---,
Estribor,07:20:18,664,4,27,3,---,---,
Estribor,07:20:43,664,1,27,7,---,---,
Estribor,07:21:10,667,2,---,---,---,---,
Estribor,07:21:35,663,1,28,1,---,---,
Estribor,07:21:58,662,8,30,7,---,---,
Estribor,07:22:30,---,---,---,---,---,---,
Estribor,07:22:55,663,5,---,---,---,---,
Estribor,07:23:21,---,---,---,---,---,---,
Estribor,07:23:48,---,---,---,---,---,---,
Estribor,07:24:14,---,---,---,---,---,---,
Estribor,07:24:38,664,3,---,---,---,---,
