Code,Tiempo,Escalas(m),Datos1(Fa),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Estribor,05:05:07,---,---,---,---,---,---,
Estribor,05:05:31,---,---,---,---,---,---,
Estribor,05:05:55,587,9,---,---,---,---,
Estribor,05:06:17,588,2,32,3,---,---,
Estribor,05:06:40,588,4,32,1,---,---,
Estribor,05:07:05,589,4,31,5,---,---,
Estribor,05:07:29,589,4,30,9,---,---,
Estribor,05:07:53,589,6,31,4,---,---,
Estribor,05:08:16,591,9,29,6,---,---,
Estribor,05:08:40,589,2,32,4,---,---,
Estribor,05:09:04,589,5,32,2,---,---,
Estribor,05:09:27,589,3,31,6,---,---,
Estribor,05:09:51,589,2,31,1,---,---,
Estribor,05:10:14,589,7,31,0,---,---,
Estribor,05:10:38,589,2,31,2,---,---,
Estribor,05:11:01,589,4,30,4,---,---,
Estribor,05:11:24,588,7,30,4,---,---,
Estribor,05:11:46,588,4,30,4,---,---,
Estribor,05:12:10,588,4,30,3,---,---,
Estribor,05:12:33,588,6,30,9,---,---,
Estribor,05:12:56,588,6,30,0,---,---,
Estribor,05:13:22,588,5,29,2,---,---,
Estribor,05:13:45,589,2,29,4,---,---,
Estribor,05:14:09,589,5,29,8,---,---,
Estribor,05:14:32,589,5,30,2,---,---,
Estribor,05:14:56,588,7,30,4,---,---,
Estribor,05:15:19,588,9,29,2,---,---,
Estribor,05:15:42,588,7,28,9,---,---,
Estribor,05:16:07,588,7,28,6,---,---,
Estribor,05:16:31,589,5,29,2,---,---,
Estribor,05:16:55,589,9,28,8,---,---,
Estribor,05:17:18,589,3,28,6,---,---,
Estribor,05:17:42,589,4,29,4,---,---,
Estribor,05:18:07,589,5,29,2,---,---,
Estribor,05:18:30,590,3,28,4,---,---,
Estribor,05:18:56,589,5,29,2,---,---,
Estribor,05:19:19,589,4,29,1,---,---,
Estribor,05:19:43,589,7,29,2,---,---,
Estribor,05:20:06,589,2,29,2,---,---,
Estribor,05:20:30,589,0,29,0,---,---,
Estribor,05:20:55,589,3,28,9,---,---,
Estribor,05:21:20,589,3,28,2,---,---,
Estribor,05:21:43,589,2,28,6,---,---,
Estribor,05:22:06,589,3,28,7,---,---,
Estribor,05:22:30,589,5,28,4,---,---,
Estribor,05:22:54,589,2,28,3,---,---,
Estribor,05:23:17,589,0,28,1,---,---,
Estribor,05:23:41,589,4,28,2,---,---,
Estribor,05:24:05,590,1,28,0,---,---,
Estribor,05:24:28,589,1,28,7,---,---,
Estribor,05:24:52,589,2,28,6,---,---,
Estribor,05:25:15,589,0,28,3,---,---,
Estribor,05:25:39,588,7,29,2,---,---,
Estribor,05:26:03,588,8,28,6,---,---,
Estribor,05:26:26,588,5,28,4,---,---,
Estribor,05:26:50,588,7,28,6,---,---,
Estribor,05:27:14,589,3,28,6,---,---,
Estribor,05:27:37,589,6,29,2,---,---,
Estribor,05:28:01,589,3,27,0,---,---,
Estribor,05:28:25,589,0,---,---,---,---,
Estribor,05:28:48,589,6,25,9,---,---,
