Code,Tiempo,Escalas(m),Datos1(m),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Cabecera altura,03:04:51,1324,5,22,0,---,---,
Cabecera altura,03:05:23,---,---,---,---,---,---,
Cabecera altura,03:05:51,---,---,---,---,---,---,
Cabecera altura,03:06:19,---,---,---,---,---,---,
Cabecera altura,03:06:47,---,---,---,---,---,---,
Cabecera altura,03:07:16,---,---,---,---,---,---,
Cabecera altura,03:07:44,---,---,---,---,---,---,
Cabecera altura,03:08:14,---,---,---,---,---,---,
Cabecera altura,03:08:42,---,---,---,---,---,---,
Cabecera altura,03:09:10,---,---,---,---,---,---,
Cabecera altura,03:09:38,---,---,---,---,---,---,
Cabecera altura,03:10:04,---,---,---,---,---,---,
Cabecera altura,03:10:30,---,---,---,---,---,---,
Cabecera altura,03:10:58,---,---,---,---,---,---,
Cabecera altura,03:11:24,---,---,---,---,---,---,
Cabecera altura,03:11:50,---,---,---,---,---,---,
Cabecera altura,03:12:16,---,---,---,---,---,---,
Cabecera altura,03:12:42,---,---,---,---,---,---,
Cabecera altura,03:13:09,---,---,---,---,---,---,
Cabecera altura,03:13:36,---,---,---,---,---,---,
Cabecera altura,03:14:01,1854,6,---,---,---,---,
Cabecera altura,03:14:28,1853,9,22,8,---,---,
Cabecera altura,03:14:55,---,---,---,---,---,---,
Cabecera altura,03:15:22,---,---,---,---,---,---,
Cabecera altura,03:15:50,---,---,---,---,---,---,
Cabecera altura,03:16:17,---,---,---,---,---,---,
Cabecera altura,03:16:42,---,---,---,---,---,---,
Cabecera altura,03:17:08,---,---,---,---,---,---,
Cabecera altura,03:17:34,---,---,---,---,---,---,
Cabecera altura,03:18:01,---,---,---,---,---,---,
Cabecera altura,03:18:27,---,---,---,---,---,---,
Cabecera altura,03:18:54,---,---,---,---,---,---,
Cabecera altura,03:19:21,---,---,---,---,---,---,
Cabecera altura,03:19:49,---,---,---,---,---,---,
Cabecera altura,03:20:15,---,---,---,---,---,---,
Cabecera altura,03:20:42,---,---,---,---,---,---,
Cabecera altura,03:21:09,---,---,---,---,---,---,
Cabecera altura,03:21:39,---,---,---,---,---,---,
Cabecera altura,03:22:06,1778,6,---,---,---,---,
Cabecera altura,03:22:34,---,---,---,---,---,---,
Cabecera altura,03:23:02,---,---,---,---,---,---,
Cabecera altura,03:23:33,---,---,---,---,---,---,
Cabecera altura,03:23:59,---,85,8,---,---,---,
Cabecera altura,03:24:25,---,---,---,---,---,---,
Cabecera altura,03:24:53,---,---,---,---,---,---,
Cabecera altura,03:25:16,1855,9,29,5,---,---,
Cabecera altura,03:25:45,---,---,---,---,---,---,
Cabecera altura,03:26:12,---,---,---,---,---,---,
Cabecera altura,03:26:40,---,---,---,---,---,---,
Cabecera altura,03:27:06,---,---,---,---,---,---,
Cabecera altura,03:27:31,---,---,---,---,---,---,
Cabecera altura,03:27:58,---,---,---,---,---,---,
Cabecera altura,03:28:25,2048,9,---,---,---,---,
Cabecera altura,03:28:52,---,---,---,---,---,---,
Cabecera altura,03:29:17,---,---,---,---,---,---,
Cabecera altura,03:29:43,---,---,---,---,---,---,
Cabecera altura,03:30:08,---,---,---,---,---,---,
Cabecera altura,03:30:33,---,---,---,---,---,---,
Cabecera altura,03:30:58,---,---,---,---,---,---,
Cabecera altura,03:31:25,---,---,---,---,---,---,
Cabecera altura,03:31:53,---,---,---,---,---,---,
Cabecera altura,03:32:18,---,---,---,---,---,---,
Cabecera altura,03:32:44,---,---,---,---,---,---,
Cabecera altura,03:33:09,---,---,---,---,---,---,
Cabecera altura,03:33:35,---,---,---,---,---,---,
Cabecera altura,03:34:00,---,---,---,---,---,---,
Cabecera altura,03:34:25,---,---,---,---,---,---,
Cabecera altura,03:34:50,---,---,---,---,---,---,
Cabecera altura,03:35:16,---,---,---,---,---,---,
Cabecera altura,03:35:41,---,---,---,---,---,---,
Cabecera altura,03:36:06,---,---,---,---,---,---,
Cabecera altura,03:36:33,---,---,---,---,---,---,
Cabecera altura,03:36:58,---,---,---,---,---,---,
Cabecera altura,03:37:23,---,---,---,---,---,---,
Cabecera altura,03:37:49,---,---,---,---,---,---,
Cabecera altura,03:38:14,735,2,---,---,---,---,
