Code,Tiempo,Escalas(m),Datos1(m),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Abertura,23:12:12,1797,4,---,---,---,---,
Abertura,23:12:39,---,---,---,---,---,---,
Abertura,23:13:07,1797,9,---,---,---,---,
Abertura,23:13:32,---,---,---,---,---,---,
Abertura,23:13:59,---,---,---,---,---,---,
Abertura,23:14:27,---,---,---,---,---,---,
Abertura,23:14:51,2030,2,---,---,---,---,
Abertura,23:15:17,---,---,---,---,---,---,
Abertura,23:15:43,1796,3,70,5,---,---,
Abertura,23:16:07,---,---,---,---,---,---,
Abertura,23:16:34,1796,3,68,9,---,---,
Abertura,23:17:01,1795,8,---,---,---,---,
Abertura,23:17:30,---,---,---,---,---,---,
Abertura,23:17:55,1791,7,---,---,---,---,
Abertura,23:18:22,1789,2,---,---,---,---,
Abertura,23:18:47,1787,9,110,1,---,---,
Abertura,23:19:13,1787,7,---,---,---,---,
Abertura,23:19:39,---,---,---,---,---,---,
Abertura,23:20:05,2011,5,---,---,---,---,
Abertura,23:20:30,---,111,7,---,---,---,
Abertura,23:21:00,---,---,---,---,---,---,
Abertura,23:21:24,1789,3,118,9,---,---,
Abertura,23:21:48,---,---,---,---,---,---,
Abertura,23:22:10,275,4,---,---,---,---,
Abertura,23:22:34,---,---,---,---,---,---,
Abertura,23:22:57,939,5,---,---,---,---,
Abertura,23:23:24,---,---,---,---,---,---,
Abertura,23:23:52,---,---,---,---,---,---,
Abertura,23:24:15,1796,2,138,4,---,---,
Abertura,23:24:41,1797,4,---,---,---,---,
Abertura,23:25:06,1797,6,142,8,---,---,
Abertura,23:25:30,---,---,---,---,---,---,
Abertura,23:25:57,1290,9,---,---,---,---,
Abertura,23:26:21,---,---,---,---,---,---,
Abertura,23:26:49,---,---,---,---,---,---,
Abertura,23:27:14,---,---,---,---,---,---,
Abertura,23:27:39,2838,2,---,---,---,---,
Abertura,23:28:01,---,137,3,---,---,---,
Abertura,23:28:24,---,---,---,---,---,---,
Abertura,23:28:50,1800,6,137,2,---,---,
Abertura,23:29:11,---,---,---,---,---,---,
Abertura,23:29:37,1038,4,---,---,---,---,
Abertura,23:30:03,---,135,2,---,---,---,
Abertura,23:30:32,---,---,---,---,---,---,
Abertura,23:30:55,1801,2,131,4,---,---,
Abertura,23:31:21,---,---,---,---,---,---,
Abertura,23:31:43,---,---,---,---,---,---,
Abertura,23:32:08,---,---,---,---,---,---,
Abertura,23:32:34,2151,8,---,---,---,---,
Abertura,23:33:01,---,---,---,---,---,---,
Abertura,23:33:26,---,---,---,---,---,---,
Abertura,23:33:47,---,132,6,---,---,---,
Abertura,23:34:10,952,7,---,---,---,---,
Abertura,23:34:32,---,---,---,---,---,---,
Abertura,23:34:57,1802,1,130,6,---,---,
Abertura,23:35:21,1802,7,130,0,---,---,
Abertura,23:35:45,1803,0,128,2,---,---,
Abertura,23:36:08,1802,5,124,2,---,---,
Abertura,23:36:31,1802,8,122,3,---,---,
Abertura,23:36:54,---,---,---,---,---,---,
Abertura,23:37:18,1803,2,117,7,---,---,
Abertura,23:37:43,---,---,---,---,---,---,
Abertura,23:38:09,---,---,---,---,---,---,
Abertura,23:38:33,1803,1,121,1,---,---,
Abertura,23:38:58,1803,4,117,4,---,---,
Abertura,23:39:19,---,---,---,---,---,---,
Abertura,23:39:47,1804,2,114,5,---,---,
Abertura,23:40:12,---,---,---,---,---,---,
Abertura,23:40:38,1803,1,111,6,---,---,
Abertura,23:41:00,1803,5,110,0,---,---,
Abertura,23:41:19,---,---,---,---,---,---,
Abertura,23:41:44,1803,1,---,---,---,---,
Abertura,23:42:09,1803,5,109,3,---,---,
Abertura,23:42:33,---,---,---,---,---,---,
Abertura,23:42:57,1803,5,107,0,---,---,
Abertura,23:43:18,1803,5,104,3,---,---,
Abertura,23:43:42,1803,8,100,6,---,---,
Abertura,23:44:04,1803,9,100,4,---,---,
Abertura,23:44:27,1803,9,103,3,---,---,
Abertura,23:44:50,1803,7,104,9,---,---,
Abertura,23:45:15,1802,9,105,0,---,---,
Abertura,23:45:36,1803,2,105,6,---,---,
Abertura,23:45:59,1803,5,106,1,---,---,
Abertura,23:46:27,---,---,---,---,---,---,
Abertura,23:46:52,---,---,---,---,---,---,
Abertura,23:47:17,1803,4,107,3,---,---,
Abertura,23:47:42,1803,1,109,7,---,---,
Abertura,23:48:07,1802,5,109,4,---,---,
Abertura,23:48:30,1803,0,109,6,---,---,
Abertura,23:48:57,---,---,---,---,---,---,
Abertura,23:49:17,1803,2,109,4,---,---,
Abertura,23:49:41,1803,2,112,4,---,---,
Abertura,23:50:06,---,---,---,---,---,---,
Abertura,23:50:28,1802,8,111,0,---,---,
Abertura,23:50:52,1803,1,110,6,---,---,
Abertura,23:51:15,1803,6,108,6,---,---,
Abertura,23:51:38,---,---,---,---,---,---,
Abertura,23:52:04,1803,2,107,3,---,---,
Abertura,23:52:27,1803,5,---,---,---,---,
