Code,Tiempo,Escalas(m),Datos1(°),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Estribor,14:45:53,---,---,---,---,---,---,
Estribor,14:46:20,---,---,---,---,---,---,
Estribor,14:46:44,1676,2,4,7,---,---,
Estribor,14:47:11,---,---,---,---,---,---,
Estribor,14:47:35,1675,1,4,1,---,---,
Estribor,14:48:01,1675,6,3,9,---,---,
Estribor,14:48:31,---,---,---,---,---,---,
Estribor,14:48:59,---,---,---,---,---,---,
Estribor,14:49:28,---,---,---,---,---,---,
Estribor,14:49:58,---,---,---,---,---,---,
Estribor,14:50:25,1669,3,31,4,---,---,
Estribor,14:50:54,---,---,---,---,---,---,
Estribor,14:51:23,---,---,---,---,---,---,
Estribor,14:51:51,---,---,---,---,---,---,
Estribor,14:52:19,---,---,---,---,---,---,
Estribor,14:52:48,---,---,---,---,---,---,
Estribor,14:53:18,---,---,---,---,---,---,
Estribor,14:53:47,---,---,---,---,---,---,
Estribor,14:54:14,---,---,---,---,---,---,
Estribor,14:54:43,---,---,---,---,---,---,
Estribor,14:55:11,---,---,---,---,---,---,
Estribor,14:55:38,1674,7,-0,9,---,---,
Estribor,14:56:07,---,---,---,---,---,---,
Estribor,14:56:29,1676,3,-1,6,---,---,
Estribor,14:56:56,1676,4,-0,6,---,---,
Estribor,14:57:25,---,---,---,---,---,---,
Estribor,14:57:52,1677,5,-1,2,---,---,
Estribor,14:58:18,1677,5,-1,9,---,---,
Estribor,14:58:44,1678,4,---,---,---,---,
Estribor,14:59:11,1681,0,---,---,---,---,
Estribor,14:59:38,1678,2,-1,6,---,---,
Estribor,15:00:07,---,---,---,---,---,---,
Estribor,15:00:32,1678,5,---,---,---,---,
Estribor,15:00:59,1678,8,-1,5,---,---,
Estribor,15:01:24,1679,5,-2,1,---,---,
Estribor,15:01:49,1678,9,-1,8,---,---,
Estribor,15:02:17,1679,3,-2,0,---,---,
Estribor,15:02:44,1679,7,-1,4,---,---,
Estribor,15:03:10,1679,4,-2,1,---,---,
Estribor,15:03:37,---,---,---,---,---,---,
Estribor,15:04:07,---,---,---,---,---,---,
Estribor,15:04:33,---,---,---,---,---,---,
Estribor,15:04:59,1679,6,-1,7,---,---,
Estribor,15:05:27,1679,3,-2,0,---,---,
Estribor,15:05:52,1680,0,-2,4,---,---,
Estribor,15:06:19,1679,7,-2,7,---,---,
Estribor,15:06:45,1679,4,-2,5,---,---,
Estribor,15:07:11,1679,1,-1,1,---,---,
Estribor,15:07:37,1679,1,-1,7,---,---,
Estribor,15:08:02,1679,3,-2,0,---,---,
Estribor,15:08:29,---,---,---,---,---,---,
Estribor,15:08:57,---,---,---,---,---,---,
Estribor,15:09:24,---,---,---,---,---,---,
Estribor,15:09:48,1679,3,-1,6,---,---,
Estribor,15:10:15,---,---,---,---,---,---,
Estribor,15:10:42,1679,7,-2,7,---,---,
Estribor,15:11:10,1679,1,-2,2,---,---,
Estribor,15:11:38,---,---,---,---,---,---,
Estribor,15:12:03,1678,8,-1,6,---,---,
Estribor,15:12:31,---,---,---,---,---,---,
Estribor,15:12:55,1679,4,-1,7,---,---,
Estribor,15:13:25,---,---,---,---,---,---,
Estribor,15:13:51,1679,7,-1,6,---,---,
Estribor,15:14:18,---,---,---,---,---,---,
Estribor,15:14:46,---,---,---,---,---,---,
Estribor,15:15:13,---,---,---,---,---,---,
Estribor,15:15:37,1678,7,-2,0,---,---,
Estribor,15:16:04,---,---,---,---,---,---,
Estribor,15:16:34,---,---,---,---,---,---,
Estribor,15:17:02,---,---,---,---,---,---,
Estribor,15:17:29,1679,6,-2,1,---,---,
Estribor,15:17:58,---,---,---,---,---,---,
Estribor,15:18:27,---,---,---,---,---,---,
Estribor,15:18:52,1678,7,-0,7,---,---,
Estribor,15:19:18,1678,8,-1,0,---,---,
Estribor,15:19:46,---,---,---,---,---,---,
Estribor,15:20:13,---,---,---,---,---,---,
Estribor,15:20:40,1678,3,-0,5,---,---,
Estribor,15:21:07,1678,9,-1,4,---,---,
Estribor,15:21:33,1679,3,-2,1,---,---,
Estribor,15:21:58,1679,2,-2,0,---,---,
Estribor,15:22:27,---,---,---,---,---,---,
Estribor,15:22:55,---,---,---,---,---,---,
Estribor,15:23:23,---,---,---,---,---,---,
Estribor,15:23:51,---,---,---,---,---,---,
Estribor,15:24:17,---,---,---,---,---,---,
Estribor,15:24:43,1679,2,-1,0,---,---,
Estribor,15:25:13,---,---,---,---,---,---,
Estribor,15:25:40,---,---,---,---,---,---,
Estribor,15:26:09,---,---,---,---,---,---,
Estribor,15:26:35,1679,4,-2,2,---,---,
Estribor,15:27:03,1679,6,-2,3,---,---,
Estribor,15:27:31,1679,4,-2,0,---,---,
Estribor,15:27:59,1679,2,-1,1,---,---,
Estribor,15:28:29,---,---,---,---,---,---,
Estribor,15:28:56,1679,2,-1,6,---,---,
Estribor,15:29:24,1679,1,-2,1,---,---,
Estribor,15:29:53,---,---,---,---,---,---,
Estribor,15:30:18,1679,2,-1,6,---,---,
Estribor,15:30:47,---,---,---,---,---,---,
Estribor,15:31:15,---,---,---,---,---,---,
Estribor,15:31:43,---,---,---,---,---,---,
Estribor,15:32:07,1679,7,-2,1,---,---,
Estribor,15:32:37,---,---,---,---,---,---,
Estribor,15:33:05,---,---,---,---,---,---,
Estribor,15:33:32,---,---,---,---,---,---,
Estribor,15:33:59,---,---,---,---,---,---,
Estribor,15:34:26,---,---,---,---,---,---,
Estribor,15:34:51,1679,4,-3,6,---,---,
Estribor,15:35:18,---,---,---,---,---,---,
Estribor,15:35:46,---,---,---,---,---,---,
Estribor,15:36:14,---,---,---,---,---,---,
Estribor,15:36:40,1678,7,-0,4,---,---,
Estribor,15:37:09,---,---,---,---,---,---,
Estribor,15:37:38,---,---,---,---,---,---,
Estribor,15:38:07,---,---,---,---,---,---,
Estribor,15:38:35,---,---,---,---,---,---,
Estribor,15:39:02,---,---,---,---,---,---,
Estribor,15:39:31,---,---,---,---,---,---,
Estribor,15:39:59,---,---,---,---,---,---,
Estribor,15:40:26,---,---,---,---,---,---,
Estribor,15:40:52,---,---,---,---,---,---,
Estribor,15:41:20,---,---,---,---,---,---,
Estribor,15:41:48,---,---,---,---,---,---,
Estribor,15:42:15,---,---,---,---,---,---,
Estribor,15:42:40,1683,8,-0,8,---,---,
Estribor,15:43:06,1678,8,-0,6,---,---,
Estribor,15:43:33,---,---,---,---,---,---,
Estribor,15:44:01,---,---,---,---,---,---,
Estribor,15:44:30,---,---,---,---,---,---,
Estribor,15:45:00,---,---,---,---,---,---,
Estribor,15:45:29,---,---,---,---,---,---,
Estribor,15:45:55,1679,2,-2,0,---,---,
Estribor,15:46:22,---,---,---,---,---,---,
Estribor,15:46:49,1679,4,-2,2,---,---,
Estribor,15:47:20,---,---,---,---,---,---,
Estribor,15:47:48,---,---,---,---,---,---,
Estribor,15:48:15,---,---,---,---,---,---,
Estribor,15:48:45,---,---,---,---,---,---,
Estribor,15:49:13,---,---,---,---,---,---,
Estribor,15:49:38,1679,6,-1,1,---,---,
Estribor,15:50:06,1679,6,---,---,---,---,
Estribor,15:50:34,---,---,---,---,---,---,
Estribor,15:51:00,1678,8,-1,0,---,---,
Estribor,15:51:28,---,---,---,---,---,---,
Estribor,15:51:53,1678,8,-1,9,---,---,
Estribor,15:52:20,1679,0,---,---,---,---,
Estribor,15:52:46,1679,0,-1,6,---,---,
Estribor,15:53:13,---,---,---,---,---,---,
Estribor,15:53:39,1679,3,-1,1,---,---,
Estribor,15:54:08,---,---,---,---,---,---,
Estribor,15:54:37,---,---,---,---,---,---,
Estribor,15:55:06,---,---,---,---,---,---,
Estribor,15:55:36,---,---,---,---,---,---,
Estribor,15:56:04,---,---,---,---,---,---,
Estribor,15:56:30,---,---,---,---,---,---,
Estribor,15:57:00,---,---,---,---,---,---,
Estribor,15:57:29,---,---,---,---,---,---,
Estribor,15:57:55,1679,3,-1,1,---,---,
Estribor,15:58:21,1679,2,-1,9,---,---,
Estribor,15:58:48,1679,0,-1,6,---,---,
Estribor,15:59:13,1679,2,-1,5,---,---,
Estribor,15:59:39,---,---,---,---,---,---,
Estribor,16:00:03,1679,3,-1,7,---,---,
Estribor,16:00:29,1679,3,-2,8,---,---,
Estribor,16:00:56,1679,3,-1,5,---,---,
Estribor,16:01:26,---,---,---,---,---,---,
Estribor,16:01:53,1678,9,-1,0,---,---,
Estribor,16:02:18,1679,3,-1,6,---,---,
Estribor,16:02:45,1678,8,-0,9,---,---,
Estribor,16:03:11,1679,0,-2,8,---,---,
Estribor,16:03:40,---,---,---,---,---,---,
Estribor,16:04:04,1679,0,-2,4,---,---,
Estribor,16:04:32,---,---,---,---,---,---,
Estribor,16:04:57,---,---,---,---,---,---,
Estribor,16:05:22,1679,1,-1,4,---,---,
Estribor,16:05:47,1679,0,-1,9,---,---,
Estribor,16:06:16,---,---,---,---,---,---,
Estribor,16:06:43,---,---,---,---,---,---,
Estribor,16:07:12,---,---,---,---,---,---,
Estribor,16:07:38,1678,8,-1,5,---,---,
Estribor,16:08:03,1679,4,-1,5,---,---,
Estribor,16:08:29,1679,1,-1,4,---,---,
Estribor,16:08:58,---,---,---,---,---,---,
Estribor,16:09:24,1678,8,-1,4,---,---,
Estribor,16:09:54,---,---,---,---,---,---,
Estribor,16:10:15,---,---,---,---,---,---,
Estribor,16:12:25,1679,4,-1,4,---,---,
Estribor,16:16:03,---,---,---,---,---,---,
Estribor,16:18:15,---,---,---,---,---,---,
Estribor,16:20:53,1678,1,-1,8,---,---,
Estribor,16:23:36,---,---,---,---,---,---,
Estribor,16:25:45,1677,8,-0,8,---,---,
Estribor,16:28:53,1677,4,-0,6,---,---,
Estribor,16:32:01,1678,0,-0,3,---,---,
Estribor,16:35:09,1677,6,0,1,---,---,
Estribor,16:38:20,---,---,---,---,---,---,
Estribor,16:41:00,---,---,---,---,---,---,
Estribor,16:43:40,---,---,---,---,---,---,
Estribor,16:45:52,---,---,---,---,---,---,
Estribor,16:48:02,1676,7,-0,1,---,---,
Estribor,16:50:44,---,---,---,---,---,---,
Estribor,16:53:25,---,---,---,---,---,---,
Estribor,16:55:34,1677,5,-1,1,---,---,
Estribor,16:59:13,---,---,---,---,---,---,
Estribor,17:01:53,---,---,---,---,---,---,
Estribor,17:04:30,1676,9,-1,0,---,---,
Estribor,17:07:13,---,---,---,---,---,---,
Estribor,17:09:53,---,---,---,---,---,---,
Estribor,17:12:03,1676,7,-1,2,---,---,
Estribor,17:15:11,1676,6,-0,7,---,---,
Estribor,17:18:21,---,---,---,---,---,---,
Estribor,17:21:01,---,---,---,---,---,---,
Estribor,17:24:07,1677,4,-1,7,---,---,
Estribor,17:26:47,1676,8,0,0,---,---,
Estribor,17:29:55,1677,9,-0,9,---,---,
Estribor,17:32:37,---,---,---,---,---,---,
Estribor,17:35:15,1677,9,-0,9,---,---,
Estribor,17:37:55,1678,2,-0,7,---,---,
Estribor,17:40:35,1676,6,0,2,---,---,
Estribor,17:43:15,1677,7,-0,1,---,---,
Estribor,17:46:26,---,---,---,---,---,---,
Estribor,17:49:06,---,---,---,---,---,---,
Estribor,17:51:18,---,---,---,---,---,---,
Estribor,17:53:28,1676,4,-0,2,---,---,
Estribor,17:56:08,1676,0,-1,1,---,---,
Estribor,17:58:50,---,---,---,---,---,---,
Estribor,18:01:30,---,---,---,---,---,---,
Estribor,18:03:40,1676,6,0,1,---,---,
Estribor,18:06:23,---,---,---,---,---,---,
Estribor,18:08:33,1676,6,-0,2,---,---,
Estribor,18:11:15,---,---,---,---,---,---,
Estribor,18:13:25,1676,7,-0,7,---,---,
Estribor,18:16:06,1676,5,---,---,---,---,
Estribor,18:18:17,1677,5,0,0,---,---,
Estribor,18:21:00,---,---,---,---,---,---,
Estribor,18:23:38,1678,5,-0,1,---,---,
Estribor,18:26:18,1677,0,-0,6,---,---,
Estribor,18:29:00,---,---,---,---,---,---,
Estribor,18:31:10,1677,2,-1,6,---,---,
Estribor,18:33:52,---,---,---,---,---,---,
Estribor,18:36:05,---,---,---,---,---,---,
Estribor,18:38:17,---,---,---,---,---,---,
Estribor,18:40:29,---,---,---,---,---,---,
Estribor,18:43:09,---,---,---,---,---,---,
Estribor,18:45:21,---,---,---,---,---,---,
Estribor,18:47:34,---,---,---,---,---,---,
Estribor,18:50:39,1677,1,-0,5,---,---,
Estribor,18:53:22,---,---,---,---,---,---,
Estribor,18:56:30,---,---,---,---,---,---,
Estribor,18:58:42,---,---,---,---,---,---,
Estribor,19:01:22,---,---,---,---,---,---,
Estribor,19:03:34,---,---,---,---,---,---,
Estribor,19:05:47,---,---,---,---,---,---,
Estribor,19:07:59,---,---,---,---,---,---,
Estribor,19:10:09,1676,8,0,3,---,---,
Estribor,19:13:17,1677,2,-0,5,---,---,
Estribor,19:15:59,---,---,---,---,---,---,
Estribor,19:18:11,---,---,---,---,---,---,
Estribor,19:20:23,---,---,---,---,---,---,
Estribor,19:22:33,1676,9,0,4,---,---,
Estribor,19:25:44,---,---,---,---,---,---,
Estribor,19:27:53,1677,2,0,3,---,---,
Estribor,19:30:36,---,---,---,---,---,---,
Estribor,19:32:48,---,---,---,---,---,---,
Estribor,19:35:54,1677,4,-0,9,---,---,
Estribor,19:38:34,1677,0,-0,5,---,---,
Estribor,19:41:42,1677,2,-0,4,---,---,
Estribor,19:44:50,1677,5,0,0,---,---,
Estribor,19:47:58,1677,5,0,2,---,---,
Estribor,19:51:06,1678,1,-0,4,---,---,
Estribor,19:53:46,1677,8,-1,6,---,---,
Estribor,19:56:28,---,---,---,---,---,---,
Estribor,19:59:08,---,---,---,---,---,---,
Estribor,20:01:21,---,---,---,---,---,---,
Estribor,20:03:33,---,---,---,---,---,---,
Estribor,20:05:45,---,---,---,---,---,---,
Estribor,20:07:55,1678,7,-0,9,---,---,
Estribor,20:10:35,1678,5,-0,8,---,---,
Estribor,20:13:15,1678,2,-1,4,---,---,
Estribor,20:16:23,1677,8,-1,0,---,---,
Estribor,20:19:03,1678,4,-0,5,---,---,
Estribor,20:21:43,1677,2,-1,4,---,---,
Estribor,20:24:23,1677,5,-1,5,---,---,
Estribor,20:27:31,1677,7,-1,1,---,---,
Estribor,20:30:11,1677,8,-1,3,---,---,
Estribor,20:33:21,---,---,---,---,---,---,
Estribor,20:35:59,1676,7,-0,8,---,---,
Estribor,20:38:39,1676,9,-0,1,---,---,
Estribor,20:41:22,---,---,---,---,---,---,
Estribor,20:43:32,1677,9,-0,4,---,---,
Estribor,20:46:12,1677,8,-1,0,---,---,
Estribor,20:48:52,1678,1,-0,5,---,---,
Estribor,20:52:00,1678,5,-1,3,---,---,
Estribor,20:54:40,1679,1,-1,6,---,---,
Estribor,20:57:20,1678,6,-1,0,---,---,
Estribor,21:00:28,1678,5,-1,9,---,---,
Estribor,21:03:08,1678,1,-1,3,---,---,
Estribor,21:05:50,---,---,---,---,---,---,
Estribor,21:08:02,---,---,---,---,---,---,
Estribor,21:10:12,1677,6,-0,9,---,---,
Estribor,21:12:52,1677,6,-0,8,---,---,
Estribor,21:15:32,1677,5,-0,8,---,---,
Estribor,21:18:12,1678,2,-1,8,---,---,
Estribor,21:21:20,1678,1,-0,7,---,---,
Estribor,21:24:31,---,---,---,---,---,---,
Estribor,21:27:08,1678,7,-0,9,---,---,
Estribor,21:29:48,1678,1,-1,3,---,---,
Estribor,21:32:29,1645,7,51,5,---,---,
Estribor,21:33:08,1585,0,51,9,---,---,
Estribor,21:33:35,---,---,---,---,---,---,
Estribor,21:34:04,---,---,---,---,---,---,
Estribor,21:34:34,---,---,---,---,---,---,
Estribor,21:35:03,---,---,---,---,---,---,
Estribor,21:35:33,---,---,---,---,---,---,
Estribor,21:36:02,---,---,---,---,---,---,
Estribor,21:36:31,---,---,---,---,---,---,
Estribor,21:37:01,---,---,---,---,---,---,
Estribor,21:37:30,---,---,---,---,---,---,
Estribor,21:37:59,---,---,---,---,---,---,
Estribor,21:38:29,---,---,---,---,---,---,
Estribor,21:38:56,1288,1,---,---,---,---,
Estribor,21:39:26,---,---,---,---,---,---,
Estribor,21:39:55,---,---,---,---,---,---,
Estribor,21:40:24,---,---,---,---,---,---,
Estribor,21:40:54,---,---,---,---,---,---,
Estribor,21:41:23,---,---,---,---,---,---,
Estribor,21:41:53,---,---,---,---,---,---,
Estribor,21:42:22,---,---,---,---,---,---,
Estribor,21:42:51,---,---,---,---,---,---,
Estribor,21:43:21,---,---,---,---,---,---,
Estribor,21:43:50,---,---,---,---,---,---,
Estribor,21:44:20,---,---,---,---,---,---,
Estribor,21:44:49,---,---,---,---,---,---,
Estribor,21:45:18,---,---,---,---,---,---,
Estribor,21:45:48,---,---,---,---,---,---,
Estribor,21:46:17,---,---,---,---,---,---,
Estribor,21:46:46,---,---,---,---,---,---,
Estribor,21:47:16,---,---,---,---,---,---,
Estribor,21:47:42,1311,1,13,9,---,---,
Estribor,21:48:13,---,---,---,---,---,---,
Estribor,21:48:43,---,---,---,---,---,---,
Estribor,21:49:12,---,---,---,---,---,---,
Estribor,21:49:41,---,---,---,---,---,---,
Estribor,21:50:11,---,---,---,---,---,---,
Estribor,21:50:40,---,---,---,---,---,---,
Estribor,21:51:09,---,---,---,---,---,---,
Estribor,21:51:39,---,---,---,---,---,---,
Estribor,21:52:07,1613,6,---,---,---,---,
Estribor,21:52:37,---,---,---,---,---,---,
Estribor,21:53:06,---,---,---,---,---,---,
Estribor,21:53:35,---,---,---,---,---,---,
Estribor,21:54:05,---,---,---,---,---,---,
Estribor,21:54:34,---,---,---,---,---,---,
Estribor,21:55:03,---,---,---,---,---,---,
Estribor,21:55:33,---,---,---,---,---,---,
Estribor,21:56:02,---,---,---,---,---,---,
Estribor,21:56:32,---,---,---,---,---,---,
Estribor,21:57:01,---,---,---,---,---,---,
Estribor,21:57:30,---,---,---,---,---,---,
Estribor,21:58:00,---,---,---,---,---,---,
Estribor,21:58:29,---,---,---,---,---,---,
Estribor,21:58:59,---,---,---,---,---,---,
Estribor,21:59:28,---,---,---,---,---,---,
Estribor,21:59:57,---,---,---,---,---,---,
Estribor,22:00:27,---,---,---,---,---,---,
Estribor,22:00:56,---,---,---,---,---,---,
Estribor,22:01:25,---,---,---,---,---,---,
Estribor,22:01:55,---,---,---,---,---,---,
Estribor,22:02:24,---,---,---,---,---,---,
Estribor,22:02:54,---,---,---,---,---,---,
Estribor,22:03:23,---,---,---,---,---,---,
Estribor,22:03:52,---,---,---,---,---,---,
Estribor,22:04:20,---,---,---,---,---,---,
Estribor,22:04:46,1620,0,55,6,---,---,
Estribor,22:05:12,1577,3,56,0,---,---,
Estribor,22:05:39,1560,2,56,6,---,---,
Estribor,22:06:04,---,56,6,---,---,---,
Estribor,22:06:33,---,---,---,---,---,---,
Estribor,22:07:02,---,---,---,---,---,---,
Estribor,22:07:32,---,---,---,---,---,---,
Estribor,22:08:01,---,---,---,---,---,---,
Estribor,22:08:30,---,---,---,---,---,---,
Estribor,22:09:00,---,---,---,---,---,---,
Estribor,22:09:29,---,---,---,---,---,---,
Estribor,22:09:58,---,---,---,---,---,---,
Estribor,22:10:28,---,---,---,---,---,---,
Estribor,22:10:57,---,---,---,---,---,---,
Estribor,22:11:27,---,---,---,---,---,---,
Estribor,22:11:56,---,---,---,---,---,---,
Estribor,22:12:25,---,---,---,---,---,---,
Estribor,22:12:55,---,---,---,---,---,---,
Estribor,22:13:24,---,---,---,---,---,---,
Estribor,22:13:54,---,---,---,---,---,---,
Estribor,22:14:23,---,---,---,---,---,---,
Estribor,22:14:52,---,---,---,---,---,---,
Estribor,22:15:22,---,---,---,---,---,---,
Estribor,22:15:51,---,---,---,---,---,---,
Estribor,22:16:20,---,---,---,---,---,---,
Estribor,22:16:50,---,---,---,---,---,---,
Estribor,22:17:19,---,---,---,---,---,---,
Estribor,22:17:49,---,---,---,---,---,---,
Estribor,22:18:18,---,---,---,---,---,---,
Estribor,22:18:46,---,---,---,---,---,---,
Estribor,22:19:15,---,---,---,---,---,---,
Estribor,22:19:45,---,---,---,---,---,---,
