Code,Tiempo,Escalas(m),Datos1(°C),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Starboard Temperature,12:36:47,1549,1,11,1,---,---,
Starboard Temperature,12:37:24,1549,1,11,0,---,---,
Starboard Temperature,12:38:01,1549,9,11,1,---,---,
Starboard Temperature,12:38:38,---,-4,9,---,---,---,
Starboard Temperature,12:39:15,1549,0,11,1,---,---,
Starboard Temperature,12:39:51,1492,7,-4,4,---,---,
Starboard Temperature,12:40:29,---,---,---,---,---,---,
Starboard Temperature,12:41:07,1549,0,11,1,---,---,
Starboard Temperature,12:41:44,1549,1,11,0,---,---,
Starboard Temperature,12:42:21,1549,0,---,---,---,---,
Starboard Temperature,12:42:59,1548,8,11,0,---,---,
Starboard Temperature,12:43:36,1549,0,11,0,---,---,
Starboard Temperature,12:44:13,1549,1,10,9,---,---,
Starboard Temperature,12:44:50,1549,2,11,0,---,---,
Starboard Temperature,12:45:27,1549,0,---,---,---,---,
Starboard Temperature,12:46:04,1550,0,11,0,---,---,
Starboard Temperature,12:46:43,---,---,---,---,---,---,
Starboard Temperature,12:47:19,1548,9,11,0,---,---,
Starboard Temperature,12:47:57,1549,2,---,---,---,---,
Starboard Temperature,12:48:33,1549,2,11,0,---,---,
Starboard Temperature,12:49:10,1549,1,11,0,---,---,
Starboard Temperature,12:49:47,1549,5,11,0,---,---,
Starboard Temperature,12:50:24,1549,8,11,1,---,---,
Starboard Temperature,12:51:03,---,---,---,---,---,---,
Starboard Temperature,12:51:39,1549,4,11,0,---,---,
Starboard Temperature,12:52:16,1549,8,10,9,---,---,
Starboard Temperature,12:52:53,1549,9,10,9,---,---,
Starboard Temperature,12:53:30,1549,8,10,9,---,---,
Starboard Temperature,12:54:07,1549,7,11,0,---,---,
Starboard Temperature,12:54:44,1549,8,10,9,---,---,
Starboard Temperature,12:55:21,1549,3,11,0,---,---,
Starboard Temperature,12:55:58,1550,4,10,8,---,---,
Starboard Temperature,12:56:35,1550,0,10,9,---,---,
Starboard Temperature,12:57:12,1549,5,10,9,---,---,
Starboard Temperature,12:57:50,1549,7,10,9,---,---,
Starboard Temperature,12:58:29,1549,6,---,---,---,---,
Starboard Temperature,12:59:07,1550,0,10,9,---,---,
Starboard Temperature,12:59:44,1549,7,10,9,---,---,
Starboard Temperature,13:00:22,1549,5,10,9,---,---,
Starboard Temperature,13:00:59,1549,8,10,9,---,---,
Starboard Temperature,13:01:36,1549,9,10,9,---,---,
Starboard Temperature,13:02:13,1549,1,10,9,---,---,
Starboard Temperature,13:02:50,1548,8,10,9,---,---,
Starboard Temperature,13:03:27,1550,1,10,9,---,---,
Starboard Temperature,13:04:04,1549,4,10,9,---,---,
Starboard Temperature,13:04:40,1549,3,10,9,---,---,
Starboard Temperature,13:05:17,1549,3,10,9,---,---,
Starboard Temperature,13:05:54,1549,1,10,9,---,---,
Starboard Temperature,13:06:31,1549,1,10,9,---,---,
Starboard Temperature,13:07:08,1548,9,10,8,---,---,
Starboard Temperature,13:07:45,1549,4,10,9,---,---,
Starboard Temperature,13:08:22,1549,6,10,9,---,---,
Starboard Temperature,13:08:59,1549,4,10,8,---,---,
Starboard Temperature,13:09:35,1549,6,10,8,---,---,
Starboard Temperature,13:10:12,1549,6,10,9,---,---,
Starboard Temperature,13:10:49,1549,2,10,8,---,---,
Starboard Temperature,13:11:26,1549,2,10,8,---,---,
Starboard Temperature,13:12:03,1549,2,10,8,---,---,
Starboard Temperature,13:12:40,1549,0,10,8,---,---,
Starboard Temperature,13:13:17,1549,3,10,8,---,---,
Starboard Temperature,13:13:54,1549,4,10,8,---,---,
Starboard Temperature,13:14:31,1549,3,10,8,---,---,
Starboard Temperature,13:15:07,1549,0,10,8,---,---,
Starboard Temperature,13:15:47,---,---,---,---,---,---,
Starboard Temperature,13:16:23,1549,4,10,8,---,---,
Starboard Temperature,13:17:00,1549,4,10,8,---,---,
Starboard Temperature,13:17:37,1549,4,10,8,---,---,
Starboard Temperature,13:18:14,1549,6,10,8,---,---,
Starboard Temperature,13:18:50,1549,3,10,7,---,---,
Starboard Temperature,13:19:27,1549,8,10,8,---,---,
Starboard Temperature,13:20:04,1549,8,10,8,---,---,
Starboard Temperature,13:20:41,1549,2,10,8,---,---,
Starboard Temperature,13:21:18,1549,4,10,8,---,---,
Starboard Temperature,13:21:55,1549,5,10,8,---,---,
Starboard Temperature,13:22:32,1549,6,10,8,---,---,
Starboard Temperature,13:23:09,1549,8,10,8,---,---,
Starboard Temperature,13:23:46,1549,7,10,8,---,---,
Starboard Temperature,13:24:23,1549,2,10,8,---,---,
Starboard Temperature,13:25:00,1549,1,10,8,---,---,
Starboard Temperature,13:25:37,1549,4,10,7,---,---,
Starboard Temperature,13:26:14,1549,2,10,8,---,---,
Starboard Temperature,13:26:51,1549,3,10,8,---,---,
Starboard Temperature,13:27:28,1549,8,10,7,---,---,
Starboard Temperature,13:28:05,1550,0,10,8,---,---,
Starboard Temperature,13:28:42,1549,6,10,8,---,---,
Starboard Temperature,13:29:19,1549,4,10,8,---,---,
Starboard Temperature,13:29:56,1549,6,10,8,---,---,
Starboard Temperature,13:30:32,1550,0,10,8,---,---,
Starboard Temperature,13:31:09,1549,6,10,8,---,---,
Starboard Temperature,13:31:46,1549,8,10,7,---,---,
Starboard Temperature,13:32:23,1550,2,10,7,---,---,
Starboard Temperature,13:33:00,1550,4,10,7,---,---,
Starboard Temperature,13:33:37,1550,1,10,7,---,---,
Starboard Temperature,13:34:14,1550,1,10,8,---,---,
Starboard Temperature,13:34:51,1550,4,10,7,---,---,
Starboard Temperature,13:35:29,1550,6,10,7,---,---,
Starboard Temperature,13:36:06,1550,1,10,7,---,---,
Starboard Temperature,13:36:43,1550,1,10,7,---,---,
Starboard Temperature,13:37:21,1550,0,10,7,---,---,
Starboard Temperature,13:37:58,1550,5,10,7,---,---,
Starboard Temperature,13:38:35,1550,4,10,7,---,---,
Starboard Temperature,13:39:12,1550,9,10,8,---,---,
Starboard Temperature,13:39:49,1550,3,10,7,---,---,
Starboard Temperature,13:40:26,1550,9,10,7,---,---,
Starboard Temperature,13:41:04,1549,9,10,7,---,---,
Starboard Temperature,13:41:41,1550,2,10,7,---,---,
Starboard Temperature,13:42:18,1550,0,10,7,---,---,
Starboard Temperature,13:42:55,1550,2,10,7,---,---,
Starboard Temperature,13:43:32,1550,4,10,7,---,---,
Starboard Temperature,13:44:09,1550,1,10,7,---,---,
Starboard Temperature,13:44:47,1551,0,10,7,---,---,
Starboard Temperature,13:45:24,1550,1,10,7,---,---,
Starboard Temperature,13:46:01,1550,0,10,7,---,---,
Starboard Temperature,13:46:38,1550,1,10,7,---,---,
