[NOTUS TEXTFILE V3.3]
File Created: 26-nov-2019 17:37:45
Tow Date: 21-mar-2016 4:16:49


Transponder: E16G
Placement: Estribor

Code,Tiempo,Escalas(m),Datos1(°),Datos2(m),Latitude,Longitude,Sonda(m),Comment
E16G,04:16:56,---,---,---,---,---,---,
E16G,04:17:48,---,---,---,---,---,---,
E16G,04:18:40,---,---,---,---,---,---,
E16G,04:19:32,---,---,---,---,---,---,
E16G,04:20:25,---,---,---,---,---,---,
E16G,04:20:47,---,---,---,---,---,---,
E16G,04:21:07,---,---,---,---,---,---,
E16G,04:21:59,---,---,---,---,---,---,
E16G,04:22:51,---,---,---,---,---,---,
E16G,04:23:43,---,---,---,---,---,---,
E16G,04:24:36,---,---,---,---,---,---,
E16G,04:25:28,---,---,---,---,---,---,
E16G,04:26:20,---,---,---,---,---,---,
E16G,04:27:12,---,---,---,---,---,---,
E16G,04:28:04,---,---,---,---,---,---,
E16G,04:28:57,---,---,---,---,---,---,
E16G,04:29:49,---,---,---,---,---,---,
E16G,04:30:49,---,---,---,---,---,---,
E16G,04:31:41,---,---,---,---,---,---,
E16G,04:32:33,---,---,---,---,---,---,
E16G,04:33:25,---,---,---,---,---,---,
E16G,04:34:18,---,---,---,---,---,---,
E16G,04:35:10,---,---,---,---,---,---,
E16G,04:36:02,---,---,---,---,---,---,
E16G,04:36:54,---,---,---,---,---,---,
E16G,04:37:46,---,---,---,---,---,---,
E16G,04:38:39,---,---,---,---,---,---,
E16G,04:39:31,---,---,---,---,---,---,
E16G,04:40:23,---,---,---,---,---,---,
E16G,04:41:15,---,---,---,---,---,---,
E16G,04:42:07,---,---,---,---,---,---,
E16G,04:43:00,---,---,---,---,---,---,
E16G,04:43:52,---,---,---,---,---,---,
E16G,04:44:44,---,---,---,---,---,---,
E16G,04:45:36,---,---,---,---,---,---,
E16G,04:46:28,---,---,---,---,---,---,
E16G,04:47:21,---,---,---,---,---,---,
E16G,04:48:12,---,---,---,---,---,---,
E16G,04:49:05,---,---,---,---,---,---,
E16G,04:49:57,---,---,---,---,---,---,
E16G,04:50:47,1723,4,0,0,---,---,---,---,
E16G,04:51:49,---,---,---,---,---,---,
E16G,04:52:41,---,---,---,---,---,---,
E16G,04:53:33,---,---,---,---,---,---,
E16G,04:54:26,---,---,---,---,---,---,
E16G,04:55:18,---,---,---,---,---,---,
E16G,04:56:10,---,---,---,---,---,---,
E16G,04:57:02,---,---,---,---,---,---,
E16G,04:57:54,---,---,---,---,---,---,
E16G,04:58:47,---,---,---,---,---,---,
E16G,04:59:39,---,---,---,---,---,---,
E16G,05:00:31,---,---,---,---,---,---,
E16G,05:01:23,---,---,---,---,---,---,
E16G,05:02:15,---,---,---,---,---,---,
E16G,05:03:08,---,---,---,---,---,---,
E16G,05:04:00,---,---,---,---,---,---,
E16G,05:04:52,---,---,---,---,---,---,
E16G,05:05:44,---,---,---,---,---,---,
E16G,05:06:36,---,---,---,---,---,---,
E16G,05:07:29,---,---,---,---,---,---,
E16G,05:08:21,---,---,---,---,---,---,
E16G,05:09:13,---,---,---,---,---,---,
E16G,05:10:05,---,---,---,---,---,---,
E16G,05:10:57,---,---,---,---,---,---,
E16G,05:11:50,---,---,---,---,---,---,
E16G,05:12:42,---,---,---,---,---,---,
E16G,05:13:34,---,---,---,---,---,---,
E16G,05:14:26,---,---,---,---,---,---,
E16G,05:15:18,---,---,---,---,---,---,
E16G,05:16:11,---,---,---,---,---,---,
E16G,05:17:03,---,---,---,---,---,---,
E16G,05:17:55,---,---,---,---,---,---,
E16G,05:18:47,---,---,---,---,---,---,
E16G,05:19:39,---,---,---,---,---,---,
E16G,05:20:31,---,---,---,---,---,---,
E16G,05:21:24,---,---,---,---,---,---,
E16G,05:22:16,---,---,---,---,---,---,
E16G,05:23:06,1723,5,5,2,---,---,---,---,
E16G,05:24:08,---,---,---,---,---,---,
E16G,05:25:00,---,---,---,---,---,---,
E16G,05:25:53,---,---,---,---,---,---,
E16G,05:26:45,---,---,---,---,---,---,
E16G,05:27:37,---,---,---,---,---,---,
E16G,05:28:29,---,---,---,---,---,---,
E16G,05:29:21,---,---,---,---,---,---,
E16G,05:30:14,---,---,---,---,---,---,
E16G,05:31:06,---,---,---,---,---,---,
E16G,05:31:58,---,---,---,---,---,---,
E16G,05:32:52,---,---,---,---,---,---,
E16G,05:33:44,---,---,---,---,---,---,
E16G,05:34:34,1722,6,-0,6,---,---,---,---,
E16G,05:35:36,---,---,---,---,---,---,
E16G,05:36:26,1722,7,-1,2,---,---,---,---,
E16G,05:37:26,1722,8,-0,7,---,---,---,---,
E16G,05:38:29,---,---,---,---,---,---,
E16G,05:39:18,1723,0,0,4,---,---,---,---,
E16G,05:40:21,---,---,---,---,---,---,
E16G,05:41:13,---,---,---,---,---,---,
E16G,05:42:05,---,---,---,---,---,---,
E16G,05:42:57,---,---,---,---,---,---,
E16G,05:43:50,---,---,---,---,---,---,
E16G,05:44:42,---,---,---,---,---,---,
E16G,05:45:34,---,---,---,---,---,---,
E16G,05:46:26,---,---,---,---,---,---,
E16G,05:47:18,---,---,---,---,---,---,
E16G,05:48:11,---,---,---,---,---,---,
E16G,05:49:03,---,---,---,---,---,---,
E16G,05:49:55,---,---,---,---,---,---,
E16G,05:50:47,---,---,---,---,---,---,
E16G,05:51:39,---,---,---,---,---,---,
E16G,05:52:32,---,---,---,---,---,---,
E16G,05:53:24,---,---,---,---,---,---,
E16G,05:54:16,---,---,---,---,---,---,
E16G,05:55:08,---,---,---,---,---,---,
E16G,05:56:00,---,---,---,---,---,---,
E16G,05:56:53,---,---,---,---,---,---,
E16G,05:57:45,---,---,---,---,---,---,
E16G,05:58:37,---,---,---,---,---,---,
