Code,Tiempo,Escalas(m),Datos1(m),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Alineamiento de Estribor,06:03:14,1598,6,0,5,---,---,
Alineamiento de Estribor,06:03:51,1598,6,0,5,---,---,
Alineamiento de Estribor,06:04:28,1598,0,0,4,---,---,
Alineamiento de Estribor,06:05:05,1598,1,0,5,---,---,
Alineamiento de Estribor,06:05:42,1597,6,1,1,---,---,
Alineamiento de Estribor,06:06:19,1597,5,0,1,---,---,
Alineamiento de Estribor,06:06:58,1596,2,0,5,---,---,
Alineamiento de Estribor,06:07:36,1593,7,0,7,---,---,
Alineamiento de Estribor,06:08:15,1591,2,0,5,---,---,
Alineamiento de Estribor,06:08:51,1588,7,0,7,---,---,
Alineamiento de Estribor,06:09:29,1586,3,0,1,---,---,
Alineamiento de Estribor,06:10:05,1583,8,0,6,---,---,
Alineamiento de Estribor,06:10:44,1582,4,0,2,---,---,
Alineamiento de Estribor,06:11:21,1583,3,0,5,---,---,
Alineamiento de Estribor,06:11:58,1583,9,0,6,---,---,
Alineamiento de Estribor,06:12:35,1584,4,0,8,---,---,
Alineamiento de Estribor,06:13:12,1586,7,0,6,---,---,
Alineamiento de Estribor,06:13:49,1588,0,0,6,---,---,
Alineamiento de Estribor,06:14:27,1589,7,0,3,---,---,
Alineamiento de Estribor,06:15:07,1591,9,0,3,---,---,
Alineamiento de Estribor,06:15:46,---,---,---,---,---,---,
Alineamiento de Estribor,06:16:23,1594,0,0,5,---,---,
Alineamiento de Estribor,06:17:04,---,---,---,---,---,---,
Alineamiento de Estribor,06:17:41,1596,1,0,8,---,---,
Alineamiento de Estribor,06:18:20,---,---,---,---,---,---,
Alineamiento de Estribor,06:18:59,1597,3,0,6,---,---,
Alineamiento de Estribor,06:19:40,---,---,---,---,---,---,
Alineamiento de Estribor,06:20:16,1597,7,0,5,---,---,
Alineamiento de Estribor,06:20:53,1598,3,0,6,---,---,
Alineamiento de Estribor,06:21:33,---,---,---,---,---,---,
Alineamiento de Estribor,06:22:09,1598,8,0,5,---,---,
Alineamiento de Estribor,06:22:46,1599,2,0,8,---,---,
Alineamiento de Estribor,06:23:23,1599,0,1,0,---,---,
Alineamiento de Estribor,06:24:01,1599,1,0,7,---,---,
Alineamiento de Estribor,06:24:38,1599,1,0,9,---,---,
Alineamiento de Estribor,06:25:15,1599,0,0,6,---,---,
Alineamiento de Estribor,06:25:52,1599,4,0,6,---,---,
Alineamiento de Estribor,06:26:28,1599,5,0,6,---,---,
Alineamiento de Estribor,06:27:05,1599,6,1,0,---,---,
Alineamiento de Estribor,06:27:42,1599,1,0,6,---,---,
Alineamiento de Estribor,06:28:19,1599,4,0,7,---,---,
Alineamiento de Estribor,06:28:56,1599,5,0,5,---,---,
Alineamiento de Estribor,06:29:34,1599,7,---,---,---,---,
Alineamiento de Estribor,06:30:11,1600,3,0,1,---,---,
Alineamiento de Estribor,06:30:48,1599,4,0,7,---,---,
Alineamiento de Estribor,06:31:25,1599,7,0,5,---,---,
Alineamiento de Estribor,06:32:02,1600,0,0,1,---,---,
Alineamiento de Estribor,06:32:42,---,---,---,---,---,---,
Alineamiento de Estribor,06:33:18,1599,8,0,4,---,---,
Alineamiento de Estribor,06:33:57,---,---,---,---,---,---,
Alineamiento de Estribor,06:34:35,1599,6,0,6,---,---,
Alineamiento de Estribor,06:35:12,1599,6,0,6,---,---,
Alineamiento de Estribor,06:35:49,1599,8,0,4,---,---,
Alineamiento de Estribor,06:36:26,1599,8,1,2,---,---,
Alineamiento de Estribor,06:37:05,---,---,---,---,---,---,
Alineamiento de Estribor,06:37:42,1599,1,0,7,---,---,
Alineamiento de Estribor,06:38:19,1599,9,---,---,---,---,
Alineamiento de Estribor,06:38:56,1598,9,0,5,---,---,
Alineamiento de Estribor,06:39:34,1599,0,---,---,---,---,
Alineamiento de Estribor,06:40:10,1599,5,0,6,---,---,
Alineamiento de Estribor,06:40:47,1599,4,0,7,---,---,
Alineamiento de Estribor,06:41:24,1599,7,0,5,---,---,
Alineamiento de Estribor,06:42:02,1599,5,---,---,---,---,
Alineamiento de Estribor,06:42:38,1599,7,0,4,---,---,
Alineamiento de Estribor,06:43:15,1599,7,0,6,---,---,
Alineamiento de Estribor,06:43:52,1600,1,4,5,---,---,
