Code,Tiempo,Escalas(m),Datos1(°),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Babor,06:02:49,1596,8,---,---,---,---,
Babor,06:03:27,1597,3,---,---,---,---,
Babor,06:04:04,1596,5,---,---,---,---,
Babor,06:04:40,1596,4,-1,0,---,---,
Babor,06:05:17,---,38,0,---,---,---,
Babor,06:05:55,1595,7,---,---,---,---,
Babor,06:06:32,1595,8,---,---,---,---,
Babor,06:07:10,---,40,2,---,---,---,
Babor,06:07:48,1591,7,34,5,---,---,
Babor,06:08:26,1589,0,28,2,---,---,
Babor,06:09:03,1586,7,47,0,---,---,
Babor,06:09:40,1585,4,33,4,---,---,
Babor,06:10:20,---,---,---,---,---,---,
Babor,06:10:56,1582,7,42,9,---,---,
Babor,06:11:33,1585,1,31,7,---,---,
Babor,06:12:10,1585,7,---,---,---,---,
Babor,06:12:46,1586,6,25,9,---,---,
Babor,06:13:24,---,52,0,---,---,---,
Babor,06:14:02,1652,2,55,1,---,---,
Babor,06:14:41,---,---,---,---,---,---,
Babor,06:15:18,1593,2,2,5,---,---,
Babor,06:15:56,1594,0,-7,1,---,---,
Babor,06:16:35,1595,0,-5,5,---,---,
Babor,06:17:15,1595,8,-7,8,---,---,
Babor,06:17:53,1596,4,-3,1,---,---,
Babor,06:18:35,---,---,---,---,---,---,
Babor,06:19:12,1597,3,-5,1,---,---,
Babor,06:19:51,---,---,---,---,---,---,
Babor,06:20:27,1597,9,-9,6,---,---,
Babor,06:21:04,1597,6,-11,8,---,---,
Babor,06:21:44,1598,4,-6,7,---,---,
Babor,06:22:21,1598,6,-10,8,---,---,
Babor,06:22:58,1598,8,-10,9,---,---,
Babor,06:23:35,1598,4,-12,3,---,---,
Babor,06:24:13,1598,7,-10,5,---,---,
Babor,06:24:50,1598,3,-8,2,---,---,
Babor,06:25:26,1598,3,-11,9,---,---,
Babor,06:26:03,1598,9,-11,4,---,---,
Babor,06:26:40,1599,2,-10,6,---,---,
Babor,06:27:17,1598,0,-5,1,---,---,
Babor,06:27:54,1598,2,-11,4,---,---,
Babor,06:28:31,1598,4,-11,4,---,---,
Babor,06:29:07,1598,1,-9,2,---,---,
Babor,06:29:44,1598,0,-10,6,---,---,
Babor,06:30:23,1597,7,-7,8,---,---,
Babor,06:31:00,1598,0,-12,1,---,---,
Babor,06:31:36,1598,2,-12,7,---,---,
Babor,06:32:16,---,---,---,---,---,---,
Babor,06:32:53,1598,2,-10,1,---,---,
Babor,06:33:30,1598,2,-11,6,---,---,
Babor,06:34:11,---,---,---,---,---,---,
Babor,06:34:46,1598,2,-11,0,---,---,
Babor,06:35:23,1598,4,-10,5,---,---,
Babor,06:36:00,1598,0,-10,0,---,---,
Babor,06:36:37,1597,6,-11,3,---,---,
Babor,06:37:15,1597,3,-11,2,---,---,
Babor,06:37:54,1597,4,-11,4,---,---,
Babor,06:38:31,1597,3,-11,1,---,---,
Babor,06:39:08,1597,2,-12,1,---,---,
Babor,06:39:45,1597,2,-11,7,---,---,
Babor,06:40:22,1597,3,-11,1,---,---,
Babor,06:40:58,1597,2,-11,2,---,---,
Babor,06:41:35,1597,5,-10,0,---,---,
Babor,06:42:12,1597,5,-11,3,---,---,
Babor,06:42:50,1597,6,---,---,---,---,
Babor,06:43:26,1597,8,-10,1,---,---,
Babor,06:44:03,1597,5,-8,3,---,---,
Babor,06:44:42,1597,4,-8,9,---,---,
Babor,06:45:21,1598,1,---,---,---,---,
Babor,06:45:57,1597,8,-10,1,---,---,
Babor,06:46:34,1597,5,-10,7,---,---,
Babor,06:47:11,1597,2,-11,6,---,---,
Babor,06:47:49,1597,1,---,---,---,---,
Babor,06:48:26,1596,8,-12,0,---,---,
Babor,06:49:03,1596,4,-9,0,---,---,
Babor,06:49:40,1595,8,-11,8,---,---,
Babor,06:50:17,1596,0,-12,8,---,---,
Babor,06:50:54,1596,1,---,---,---,---,
Babor,06:51:30,1596,0,-12,9,---,---,
Babor,06:52:07,1596,6,-11,6,---,---,
Babor,06:52:44,1596,2,-11,6,---,---,
Babor,06:53:21,1596,7,-11,6,---,---,
Babor,06:53:59,1596,5,-12,7,---,---,
Babor,06:54:36,1596,8,-10,3,---,---,
Babor,06:55:13,1596,6,-13,7,---,---,
Babor,06:55:49,1596,7,-11,7,---,---,
Babor,06:56:26,1597,4,-10,5,---,---,
Babor,06:57:06,---,---,---,---,---,---,
Babor,06:57:42,1597,5,-10,0,---,---,
Babor,06:58:20,1597,6,-12,6,---,---,
Babor,06:58:57,1597,4,-11,8,---,---,
Babor,06:59:35,1598,3,---,---,---,---,
Babor,07:00:12,1598,7,---,---,---,---,
Babor,07:00:51,1598,7,---,---,---,---,
Babor,07:01:29,1599,6,---,---,---,---,
Babor,07:02:06,1599,1,---,---,---,---,
Babor,07:02:43,1600,0,-13,6,---,---,
Babor,07:03:21,1599,9,---,---,---,---,
Babor,07:03:56,1599,5,-10,4,---,---,
Babor,07:04:33,1599,5,---,---,---,---,
Babor,07:05:11,1599,5,---,---,---,---,
Babor,07:05:49,---,---,---,---,---,---,
Babor,07:06:26,1599,8,---,---,---,---,
Babor,07:07:03,1600,0,---,---,---,---,
Babor,07:07:41,1599,9,---,---,---,---,
Babor,07:08:18,1599,9,---,---,---,---,
Babor,07:08:54,1599,7,---,---,---,---,
Babor,07:09:32,1599,5,---,---,---,---,
Babor,07:10:08,1600,9,---,---,---,---,
Babor,07:10:45,1599,6,---,---,---,---,
Babor,07:11:20,1598,9,-13,3,---,---,
Babor,07:11:58,1599,5,---,---,---,---,
Babor,07:12:35,1599,4,---,---,---,---,
Babor,07:13:13,1599,4,---,---,---,---,
Babor,07:13:50,1600,6,---,---,---,---,
Babor,07:14:29,---,---,---,---,---,---,
Babor,07:15:06,1599,9,---,---,---,---,
Babor,07:15:43,1599,3,---,---,---,---,
Babor,07:16:19,1598,9,-12,1,---,---,
Babor,07:16:56,1599,1,---,---,---,---,
Babor,07:17:34,1598,8,---,---,---,---,
Babor,07:18:11,1598,8,---,---,---,---,
Babor,07:18:47,1598,7,-14,3,---,---,
Babor,07:19:23,1598,8,-10,5,---,---,
Babor,07:20:00,1598,9,-12,4,---,---,
Babor,07:20:35,1599,1,-11,9,---,---,
Babor,07:21:13,1598,6,---,---,---,---,
Babor,07:21:50,1598,7,---,---,---,---,
Babor,07:22:29,---,---,---,---,---,---,
Babor,07:23:05,1599,2,-12,3,---,---,
Babor,07:23:43,1599,7,---,---,---,---,
Babor,07:24:20,1599,1,---,---,---,---,
Babor,07:24:57,1599,2,-11,3,---,---,
Babor,07:25:34,1599,2,-13,9,---,---,
Babor,07:26:13,1599,4,---,---,---,---,
Babor,07:26:49,1599,5,-13,0,---,---,
Babor,07:27:26,1599,7,-11,7,---,---,
Babor,07:28:03,1599,8,-11,7,---,---,
Babor,07:28:41,1599,4,---,---,---,---,
Babor,07:29:17,1599,6,-12,8,---,---,
Babor,07:29:55,1599,3,---,---,---,---,
Babor,07:30:32,1599,1,---,---,---,---,
Babor,07:31:10,1599,2,---,---,---,---,
Babor,07:31:47,1599,4,---,---,---,---,
Babor,07:32:24,1598,8,---,---,---,---,
Babor,07:33:01,1599,2,---,---,---,---,
Babor,07:33:38,1599,1,-11,3,---,---,
Babor,07:34:16,1598,7,---,---,---,---,
Babor,07:34:53,1599,1,---,---,---,---,
Babor,07:35:30,1598,8,---,---,---,---,
Babor,07:36:07,1598,9,---,---,---,---,
Babor,07:36:44,1599,0,-11,2,---,---,
Babor,07:37:21,1599,0,-13,2,---,---,
Babor,07:37:58,1599,1,-11,8,---,---,
Babor,07:38:34,1599,2,-12,6,---,---,
Babor,07:39:11,1598,8,-12,8,---,---,
Babor,07:39:49,1599,2,---,---,---,---,
Babor,07:40:26,1599,6,---,---,---,---,
Babor,07:41:03,1599,4,-13,8,---,---,
Babor,07:41:41,1599,2,---,---,---,---,
Babor,07:42:18,1599,1,---,---,---,---,
