Code,Tiempo,Escalas(m),Datos1(°),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Babor,07:27:26,---,---,---,---,---,---,
Babor,07:27:51,---,---,---,---,---,---,
Babor,07:28:16,---,---,---,---,---,---,
Babor,07:28:41,---,---,---,---,---,---,
Babor,07:29:06,---,---,---,---,---,---,
Babor,07:29:32,---,---,---,---,---,---,
Babor,07:29:56,---,---,---,---,---,---,
Babor,07:30:22,---,---,---,---,---,---,
Babor,07:30:47,---,---,---,---,---,---,
Babor,07:31:11,---,---,---,---,---,---,
Babor,07:31:36,---,---,---,---,---,---,
Babor,07:32:01,---,---,---,---,---,---,
Babor,07:32:26,---,---,---,---,---,---,
Babor,07:32:53,---,---,---,---,---,---,
Babor,07:33:18,---,---,---,---,---,---,
Babor,07:33:43,---,---,---,---,---,---,
Babor,07:34:08,---,---,---,---,---,---,
Babor,07:34:33,---,---,---,---,---,---,
Babor,07:34:58,---,---,---,---,---,---,
Babor,07:35:24,---,---,---,---,---,---,
Babor,07:35:49,---,---,---,---,---,---,
Babor,07:36:14,---,---,---,---,---,---,
Babor,07:36:39,---,---,---,---,---,---,
Babor,07:37:04,---,---,---,---,---,---,
Babor,07:37:29,---,---,---,---,---,---,
Babor,07:37:54,---,---,---,---,---,---,
Babor,07:38:21,---,---,---,---,---,---,
Babor,07:38:46,---,---,---,---,---,---,
Babor,07:39:11,---,---,---,---,---,---,
Babor,07:39:36,---,---,---,---,---,---,
Babor,07:40:01,---,---,---,---,---,---,
Babor,07:40:27,---,---,---,---,---,---,
Babor,07:40:54,---,---,---,---,---,---,
Babor,07:41:19,---,---,---,---,---,---,
Babor,07:41:44,---,---,---,---,---,---,
Babor,07:42:08,---,---,---,---,---,---,
Babor,07:42:33,---,---,---,---,---,---,
Babor,07:42:58,---,---,---,---,---,---,
Babor,07:43:23,---,---,---,---,---,---,
Babor,07:43:48,---,---,---,---,---,---,
Babor,07:44:13,---,---,---,---,---,---,
Babor,07:44:38,---,---,---,---,---,---,
Babor,07:45:03,---,---,---,---,---,---,
Babor,07:45:28,---,---,---,---,---,---,
Babor,07:45:53,---,---,---,---,---,---,
Babor,07:46:23,---,---,---,---,---,---,
Babor,07:46:52,---,---,---,---,---,---,
Babor,07:47:20,---,---,---,---,---,---,
Babor,07:47:49,---,---,---,---,---,---,
Babor,07:48:16,---,---,---,---,---,---,
Babor,07:48:44,---,---,---,---,---,---,
Babor,07:49:12,---,---,---,---,---,---,
Babor,07:49:38,---,---,---,---,---,---,
Babor,07:50:06,---,---,---,---,---,---,
Babor,07:50:31,---,---,---,---,---,---,
Babor,07:51:01,---,---,---,---,---,---,
Babor,07:51:27,---,---,---,---,---,---,
Babor,07:51:52,---,---,---,---,---,---,
Babor,07:52:17,---,---,---,---,---,---,
Babor,07:52:42,---,---,---,---,---,---,
Babor,07:53:07,---,---,---,---,---,---,
Babor,07:53:33,---,---,---,---,---,---,
Babor,07:54:01,---,---,---,---,---,---,
Babor,07:54:28,---,---,---,---,---,---,
Babor,07:54:56,---,---,---,---,---,---,
Babor,07:55:24,---,---,---,---,---,---,
Babor,07:55:52,---,---,---,---,---,---,
Babor,07:56:20,---,---,---,---,---,---,
Babor,07:56:48,---,---,---,---,---,---,
Babor,07:57:16,---,---,---,---,---,---,
Babor,07:57:46,---,---,---,---,---,---,
Babor,07:58:13,---,---,---,---,---,---,
Babor,07:58:41,---,---,---,---,---,---,
Babor,07:59:09,---,---,---,---,---,---,
Babor,07:59:37,---,---,---,---,---,---,
Babor,08:00:05,---,---,---,---,---,---,
Babor,08:00:33,---,---,---,---,---,---,
Babor,08:01:01,---,---,---,---,---,---,
Babor,08:01:29,---,---,---,---,---,---,
Babor,08:01:54,---,---,---,---,---,---,
Babor,08:02:22,---,---,---,---,---,---,
Babor,08:02:50,---,---,---,---,---,---,
Babor,08:03:18,---,---,---,---,---,---,
Babor,08:03:46,---,---,---,---,---,---,
Babor,08:04:15,---,---,---,---,---,---,
Babor,08:04:45,---,---,---,---,---,---,
Babor,08:05:14,---,---,---,---,---,---,
Babor,08:05:43,---,---,---,---,---,---,
Babor,08:06:13,---,---,---,---,---,---,
Babor,08:06:42,---,---,---,---,---,---,
Babor,08:07:12,---,---,---,---,---,---,
Babor,08:07:41,---,---,---,---,---,---,
Babor,08:08:10,---,---,---,---,---,---,
Babor,08:08:40,---,---,---,---,---,---,
Babor,08:09:09,---,---,---,---,---,---,
Babor,08:09:39,---,---,---,---,---,---,
Babor,08:10:08,---,---,---,---,---,---,
Babor,08:10:37,---,---,---,---,---,---,
Babor,08:11:07,---,---,---,---,---,---,
Babor,08:11:36,---,---,---,---,---,---,
Babor,08:12:05,---,---,---,---,---,---,
Babor,08:12:35,---,---,---,---,---,---,
Babor,08:13:04,---,---,---,---,---,---,
Babor,08:13:34,---,---,---,---,---,---,
Babor,08:14:03,---,---,---,---,---,---,
Babor,08:14:31,---,---,---,---,---,---,
Babor,08:15:00,---,---,---,---,---,---,
Babor,08:15:30,---,---,---,---,---,---,
Babor,08:15:59,---,---,---,---,---,---,
Babor,08:16:28,---,---,---,---,---,---,
Babor,08:16:58,---,---,---,---,---,---,
Babor,08:17:27,---,---,---,---,---,---,
Babor,08:17:55,---,---,---,---,---,---,
Babor,08:18:24,---,---,---,---,---,---,
Babor,08:18:53,---,---,---,---,---,---,
Babor,08:19:23,---,---,---,---,---,---,
Babor,08:19:52,---,---,---,---,---,---,
Babor,08:20:21,---,---,---,---,---,---,
Babor,08:20:51,---,---,---,---,---,---,
Babor,08:21:20,---,---,---,---,---,---,
Babor,08:21:48,---,---,---,---,---,---,
Babor,08:22:16,---,---,---,---,---,---,
Babor,08:22:44,---,---,---,---,---,---,
Babor,08:23:11,---,---,---,---,---,---,
Babor,08:23:37,---,---,---,---,---,---,
Babor,08:24:04,---,---,---,---,---,---,
Babor,08:24:29,---,---,---,---,---,---,
Babor,08:24:54,---,---,---,---,---,---,
Babor,08:25:21,---,---,---,---,---,---,
Babor,08:25:47,---,---,---,---,---,---,
Babor,08:26:14,---,---,---,---,---,---,
Babor,08:26:40,---,---,---,---,---,---,
Babor,08:27:06,---,---,---,---,---,---,
Babor,08:27:32,---,---,---,---,---,---,
Babor,08:27:57,---,---,---,---,---,---,
Babor,08:28:22,---,---,---,---,---,---,
Babor,08:28:47,---,---,---,---,---,---,
Babor,08:29:12,---,---,---,---,---,---,
Babor,08:29:36,---,---,---,---,---,---,
Babor,08:30:04,---,---,---,---,---,---,
Babor,08:30:28,---,---,---,---,---,---,
Babor,08:30:54,---,---,---,---,---,---,
Babor,08:31:19,---,---,---,---,---,---,
Babor,08:31:44,---,---,---,---,---,---,
Babor,08:32:10,---,---,---,---,---,---,
Babor,08:32:37,---,---,---,---,---,---,
Babor,08:33:05,---,---,---,---,---,---,
Babor,08:33:30,---,---,---,---,---,---,
Babor,08:33:56,---,---,---,---,---,---,
Babor,08:34:21,---,---,---,---,---,---,
Babor,08:34:48,---,---,---,---,---,---,
Babor,08:35:12,---,---,---,---,---,---,
Babor,08:35:37,---,---,---,---,---,---,
Babor,08:36:05,---,---,---,---,---,---,
Babor,08:36:31,---,---,---,---,---,---,
Babor,08:36:56,---,---,---,---,---,---,
Babor,08:37:22,---,---,---,---,---,---,
Babor,08:37:47,---,---,---,---,---,---,
Babor,08:38:12,---,---,---,---,---,---,
Babor,08:38:37,---,---,---,---,---,---,
Babor,08:39:05,---,---,---,---,---,---,
